file	references
app/common/analyticsUtil.coffee	underscore|moment
app/common/chroma.js	bluebird|p-throttle|p-whilst|packages/chroma-js
app/common/discord.js	app/common/logger.coffee|app/common/eventbus.js|app/common/event_types.js
app/common/eventbus.js	underscore
app/common/landing.js	bluebird|url|query-string|underscore|debug|app/common/storage.js
app/common/logger.coffee	underscore|moment
app/common/session2.coffee	debug|events|bluebird|firebase|isomorphic-fetch|moment|app/common/storage.js|i18next
app/common/storage.js	store2
app/common/utils/utils_audio.js	underscore
app/common/utils/utils_engine.js	underscore|app/common/config.js|app/common/logger.coffee
app/common/utils/utils_firebase.js	js-base64
app/common/utils/utils_game_session.coffee	app/common/config.js|app/common/utils/utils_position.js|app/common/utils/utils_javascript.js|app/sdk/cards/cardType.coffee|app/sdk/gameType.coffee|underscore
app/common/utils/utils_javascript.js	underscore|i18next
app/common/utils/utils_pointer.js	underscore
app/common/utils/utils_position.js	underscore|app/common/config.js|app/common/logger.coffee
app/common/utils/utils_resources.js	underscore
app/common/utils/utils_ui.js	underscore|app/common/eventbus.js|app/common/event_types.js|app/common/logger.coffee|app/common/config.js|app/sdk.coffee|app/audio/audio_engine.js|app/common/utils/utils_engine.js
app/data/fx.js	app/data/resources.js
app/data/game_tips.js	underscore|i18next
app/data/packages_predefined.js	app/data/resources.js
app/data/resources.js	underscore
app/data/utils/node_fx_converter.js	mkdirp|fs|path|app/data/resources.js|app/common/config.js|node_modules/string
app/data/utils/refactor_animations.js	bluebird|underscore|scripts/helpers|app/data/resources.js|app/common/config.js|app/data/common/resources
app/data/utils/refactor_card_factory.js	bluebird|underscore|scripts/helpers|app/data/resources.js|mkdirp|fs|path|string|app/common/config.js
app/data.coffee	app/common/logger.coffee|underscore|app/data/fx.js
app/index.coffee	app/localization/index.coffee|i18next|app/application.coffee
app/index.register.coffee	app/localization/index.coffee|i18next|app/register.coffee
app/localization/index.coffee	bluebird|i18next|i18next-xhr-backend|i18next-browser-languagedetector|app/common/storage.js
app/register.coffee	ua-parser-js|firebase|bluebird|moment|semver|query-string|app/common/storage.js|app/common/logger.coffee|app/common/landing.js|app/common/session2.coffee|app/common/config.js|app/data/resources.js|app/data/packages|app/common/eventbus.js|app/common/event_types.js|app/sdk|app/common/analytics.coffee|app/common/analyticsUtil.coffee|app/common/utils/utils_javascript.js|app/common/utils/utils_env.js|app/common/utils/utils_pointer.js|app/audio/audio_engine.js|app/common/openUrl.js|i18next|app/ui/managers/package_manager.js|app/ui/managers/navigation_manager.js|app/ui/views/helpers.js|app/ui/views/item/loader.js|app/ui/views/item/utility_loading_login_menu.js|app/ui/views/item/utility_main_menu.js|app/ui/views/item/utility_matchmaking_menu.js|app/ui/views/item/utility_game_menu.js|app/ui/views/item/esc_game_menu.js|app/ui/views/item/esc_main_menu.js|app/ui/views/item/login_menu.js|app/ui/views/item/select_username.js|app/view/Scene.js|app/view/layers/game/GameLayer.js|app/ui/views/item/confirm_dialog.js|app/ui/views/item/prompt_dialog.js|app/ui/views/item/activity_dialog.js|app/ui/views/item/error_dialog.js|app/ui/views/item/announcement_modal.js|app/common/analyticsTracker.coffee|app/ui/extensions/handlebars_template_helpers.js
app/replay/replayEngine.coffee	app/sdk|app/view/Scene.js|app/common/eventbus.js|app/common/event_types.js|app/common/logger.coffee|app/common/config.js|app/ui/managers/navigation_manager.js
app/sdk/achievements/achievementsFactory.coffee	app/common/logger.coffee|app/sdk/achievements/armoryBasedAchievements/namasteAchievement.coffee|app/sdk/achievements/armoryBasedAchievements/bronzeStarterBundleAchievement.coffee|app/sdk/achievements/armoryBasedAchievements/silverStarterBundleAchievement.coffee|app/sdk/achievements/armoryBasedAchievements/goldStarterBundleAchievement.coffee|app/sdk/achievements/referralBasedAchievements/firstReferralPurchaseAchievement.coffee|app/sdk/achievements/craftingBasedAchievements/welcomeToCraftingAchievement.coffee|app/sdk/achievements/gameBasedAchievements/bestOfFriendsAchievement.coffee|app/sdk/achievements/gameBasedAchievements/enteringGauntletAchievement.coffee|app/sdk/achievements/gameBasedAchievements/helpingHandAchievement.coffee|app/sdk/achievements/gameBasedAchievements/theArtOfWarAchievement.coffee|app/sdk/achievements/gameBasedAchievements/homeTurfAchievement.coffee|app/sdk/achievements/factionProgressBasedAchievements/bloodbornAchievement.coffee|app/sdk/achievements/factionProgressBasedAchievements/worldExplorerAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/collectorSupremeAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/swornSisterAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/sunSisterAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/lightningSisterAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/sandSisterAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/shadowSisterAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/earthSisterAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/windSisterAchievement.coffee|app/sdk/achievements/inventoryBasedAchievements/firstLootCrateAchievement.coffee|app/sdk/achievements/questBasedAchievements/epicQuestorAchievement.coffee|app/sdk/achievements/questBasedAchievements/indomitableSpiritAchievement.coffee|app/sdk/achievements/questBasedAchievements/legendaryQuestorAchievement.coffee|app/sdk/achievements/questBasedAchievements/journeymanQuestorAchievement.coffee|app/sdk/achievements/rankBasedAchievements/silverDivisionAchievement.coffee|app/sdk/achievements/loginBasedAchievements/bnPromoAchievement.coffee|app/sdk/achievements/loginBasedAchievements/midAugLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/midNov2017LoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/frostfire2017LoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/frostfire2017BonusLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/earlyFeb2018LoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/coreshatterLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/memorialDayLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/fathersDayLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/fourthOfJulyLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/summerLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/laborDayLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/halloweenLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/thanksgivingLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/christmasLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/newPlayerGoldLoginAchievement.coffee|app/sdk/achievements/loginBasedAchievements/newPlayerSpiritLoginAchievement.coffee|app/sdk/achievements/wartechAchievements/wartechGeneralFaction1Achievement.coffee|app/sdk/achievements/wartechAchievements/wartechGeneralFaction2Achievement.coffee|app/sdk/achievements/wartechAchievements/wartechGeneralFaction3Achievement.coffee|app/sdk/achievements/wartechAchievements/wartechGeneralFaction4Achievement.coffee|app/sdk/achievements/wartechAchievements/wartechGeneralFaction5Achievement.coffee|app/sdk/achievements/wartechAchievements/wartechGeneralFaction6Achievement.coffee|app/sdk/achievements/orbOpeningAchievements/mythronOrb1Achievement.coffee|app/sdk/achievements/orbOpeningAchievements/mythronOrb2Achievement.coffee|app/sdk/achievements/orbOpeningAchievements/mythronOrb3Achievement.coffee|app/sdk/achievements/orbOpeningAchievements/mythronOrb4Achievement.coffee|app/sdk/achievements/orbOpeningAchievements/mythronOrb5Achievement.coffee|app/sdk/achievements/orbOpeningAchievements/mythronOrb6Achievement.coffee|app/sdk/achievements/orbOpeningAchievements/mythronOrb7Achievement.coffee|underscore
app/sdk/achievements/armoryBasedAchievements/bronzeStarterBundleAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardsLookup.coffee|i18next
app/sdk/achievements/armoryBasedAchievements/goldStarterBundleAchievement.coffee	app/sdk/achievements/achievement.coffee|i18next
app/sdk/achievements/armoryBasedAchievements/namasteAchievement.coffee	app/sdk/achievements/achievement.coffee|i18next
app/sdk/achievements/armoryBasedAchievements/silverStarterBundleAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardsLookup.coffee|i18next
app/sdk/achievements/craftingBasedAchievements/welcomeToCraftingAchievement.coffee	app/sdk/achievements/achievement.coffee|i18next
app/sdk/achievements/factionProgressBasedAchievements/bloodbornAchievement.coffee	app/sdk/achievements/achievement.coffee|i18next
app/sdk/achievements/factionProgressBasedAchievements/worldExplorerAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/factionFactory.coffee|underscore|i18next
app/sdk/achievements/gameBasedAchievements/bestOfFriendsAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|i18next
app/sdk/achievements/gameBasedAchievements/enteringGauntletAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|i18next
app/sdk/achievements/gameBasedAchievements/helpingHandAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|i18next
app/sdk/achievements/gameBasedAchievements/homeTurfAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|app/sdk/cosmetics/cosmeticsLookup.coffee|app/sdk/cosmetics/cosmeticsTypeLookup.coffee|underscore
app/sdk/achievements/gameBasedAchievements/theArtOfWarAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|i18next
app/sdk/achievements/inventoryBasedAchievements/collectorSupremeAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/cards/cardsLookupComplete.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cards/cardSetLookup.coffee|underscore|i18next
app/sdk/achievements/inventoryBasedAchievements/earthSisterAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardFactory.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/gameSession.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cards/cardSetLookup.coffee|app/sdk/cards/cardsLookupComplete.coffee|underscore|i18next
app/sdk/achievements/inventoryBasedAchievements/firstLootCrateAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardFactory.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/gameSession.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cosmetics/cosmeticsChestTypeLookup.coffee|i18next|underscore
app/sdk/achievements/inventoryBasedAchievements/lightningSisterAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardFactory.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/gameSession.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cards/cardSetLookup.coffee|app/sdk/cards/cardsLookupComplete.coffee|underscore|i18next
app/sdk/achievements/inventoryBasedAchievements/sandSisterAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardFactory.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/gameSession.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cards/cardSetLookup.coffee|app/sdk/cards/cardsLookupComplete.coffee|underscore|i18next
app/sdk/achievements/inventoryBasedAchievements/shadowSisterAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardFactory.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/gameSession.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cards/cardSetLookup.coffee|app/sdk/cards/cardsLookupComplete.coffee|underscore|i18next
app/sdk/achievements/inventoryBasedAchievements/sunSisterAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardFactory.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/gameSession.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cards/cardSetLookup.coffee|app/sdk/cards/cardsLookupComplete.coffee|underscore|i18next
app/sdk/achievements/inventoryBasedAchievements/swornSisterAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardFactory.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/gameSession.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cards/cardSetLookup.coffee|app/sdk/cards/cardsLookupComplete.coffee|app/common/logger.coffee|underscore|i18next
app/sdk/achievements/inventoryBasedAchievements/windSisterAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardFactory.coffee|app/sdk/cards/factionsLookup.coffee|app/sdk/gameSession.coffee|app/sdk/cards/rarityLookup.coffee|app/sdk/cards/cardSetLookup.coffee|app/sdk/cards/cardsLookupComplete.coffee|underscore|i18next
app/sdk/achievements/loginBasedAchievements/bnPromoAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee
app/sdk/achievements/loginBasedAchievements/christmasLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/coreshatterLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/earlyFeb2018LoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/fathersDayLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/fourthOfJulyLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/frostfire2017BonusLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee
app/sdk/achievements/loginBasedAchievements/frostfire2017LoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee
app/sdk/achievements/loginBasedAchievements/halloweenLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/laborDayLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/memorialDayLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/midAugLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee
app/sdk/achievements/loginBasedAchievements/midNov2017LoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee
app/sdk/achievements/loginBasedAchievements/newPlayerGoldLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment
app/sdk/achievements/loginBasedAchievements/newPlayerSpiritLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment
app/sdk/achievements/loginBasedAchievements/summerLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/loginBasedAchievements/thanksgivingLoginAchievement.coffee	app/sdk/achievements/achievement.coffee|moment|app/sdk/giftCrates/giftCrateLookup.coffee|i18next
app/sdk/achievements/orbOpeningAchievements/mythronOrb1Achievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardSetLookup.coffee|i18next
app/sdk/achievements/orbOpeningAchievements/mythronOrb2Achievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardSetLookup.coffee|i18next
app/sdk/achievements/orbOpeningAchievements/mythronOrb3Achievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardSetLookup.coffee|i18next
app/sdk/achievements/orbOpeningAchievements/mythronOrb4Achievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardSetLookup.coffee|i18next
app/sdk/achievements/orbOpeningAchievements/mythronOrb5Achievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardSetLookup.coffee|i18next
app/sdk/achievements/orbOpeningAchievements/mythronOrb6Achievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardSetLookup.coffee|i18next
app/sdk/achievements/orbOpeningAchievements/mythronOrb7Achievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cards/cardSetLookup.coffee|i18next
app/sdk/achievements/questBasedAchievements/epicQuestorAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/quests/questFactory.coffee|i18next
app/sdk/achievements/questBasedAchievements/indomitableSpiritAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/quests/questFactory.coffee|i18next
app/sdk/achievements/questBasedAchievements/journeymanQuestorAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/quests/questFactory.coffee|i18next
app/sdk/achievements/questBasedAchievements/legendaryQuestorAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/quests/questFactory.coffee|i18next
app/sdk/achievements/rankBasedAchievements/silverDivisionAchievement.coffee	app/sdk/achievements/achievement.coffee|i18next
app/sdk/achievements/referralBasedAchievements/firstReferralPurchaseAchievement.coffee	app/sdk/achievements/achievement.coffee|app/sdk/cosmetics/cosmeticsLookup.coffee|i18next
app/sdk/achievements/wartechAchievements/wartechGeneralFaction1Achievement.coffee	i18next|app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|app/sdk/cards/cardsLookupComplete.coffee|app/sdk/cards/factionsLookup.coffee|app/common/utils/utils_game_session.coffee
app/sdk/achievements/wartechAchievements/wartechGeneralFaction2Achievement.coffee	i18next|app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|app/sdk/cards/cardsLookupComplete.coffee|app/sdk/cards/factionsLookup.coffee|app/common/utils/utils_game_session.coffee
app/sdk/achievements/wartechAchievements/wartechGeneralFaction3Achievement.coffee	i18next|app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|app/sdk/cards/cardsLookupComplete.coffee|app/sdk/cards/factionsLookup.coffee|app/common/utils/utils_game_session.coffee
app/sdk/achievements/wartechAchievements/wartechGeneralFaction4Achievement.coffee	i18next|app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|app/sdk/cards/cardsLookupComplete.coffee|app/sdk/cards/factionsLookup.coffee|app/common/utils/utils_game_session.coffee
app/sdk/achievements/wartechAchievements/wartechGeneralFaction5Achievement.coffee	i18next|app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|app/sdk/cards/cardsLookupComplete.coffee|app/sdk/cards/factionsLookup.coffee|app/common/utils/utils_game_session.coffee
app/sdk/achievements/wartechAchievements/wartechGeneralFaction6Achievement.coffee	i18next|app/sdk/achievements/achievement.coffee|app/sdk/gameType.coffee|app/sdk/cards/cardsLookupComplete.coffee|app/sdk/cards/factionsLookup.coffee|app/common/utils/utils_game_session.coffee
app/sdk/actions/action.coffee	app/sdk/object.coffee|app/common/config.js|app/common/utils/utils_javascript.js|app/sdk/cards/cardType.coffee|app/common/logger.coffee|underscore
app/sdk/actions/actionFactory.coffee	app/common/logger.coffee|app/sdk/actions/action.coffee|app/sdk/actions/damageAction.coffee|app/sdk/actions/damageAsAttackAction.coffee|app/sdk/actions/attackAction.coffee|app/sdk/actions/dieAction.coffee|app/sdk/actions/moveAction.coffee|app/sdk/actions/applyCardToBoardAction.coffee|app/sdk/actions/playCardAction.coffee|app/sdk/actions/playCardSilentlyAction.coffee|app/sdk/actions/playCardAsTransformAction.coffee|app/sdk/actions/playCardFromHandAction.coffee|app/sdk/actions/playSignatureCardAction.coffee|app/sdk/actions/cloneEntityAction.coffee|app/sdk/actions/cloneEntityAsTransformAction.coffee|app/sdk/actions/replaceCardFromHandAction.coffee|app/sdk/actions/teleportAction.coffee|app/sdk/actions/swapUnitsAction.coffee|app/sdk/actions/removeAction.coffee|app/sdk/actions/healAction.coffee|app/sdk/actions/refreshExhaustionAction.coffee|app/sdk/actions/swapGeneralAction.coffee|app/sdk/actions/swapUnitAllegianceAction.coffee|app/sdk/actions/drawStartingHandAction.coffee|app/sdk/actions/resignAction.coffee|app/sdk/actions/startTurnAction.coffee|app/sdk/actions/endTurnAction.coffee|app/sdk/actions/bonusManaAction.coffee|app/sdk/actions/stopBufferingEventsAction.coffee|app/sdk/actions/endFollowupAction.coffee|app/sdk/actions/putCardInHandAction.coffee|app/sdk/actions/refreshArtifactChargesAction.coffee|app/sdk/actions/applyExhaustionAction.coffee|app/sdk/actions/removeArtifactsAction.coffee|app/sdk/actions/removeRandomArtifactAction.coffee|app/sdk/actions/killAction.coffee|app/sdk/actions/drawCardAction.coffee|app/sdk/actions/generateSignatureCardAction.coffee|app/sdk/actions/rollbackToSnapshotAction.coffee|app/sdk/actions/putCardInDeckAction.coffee|app/sdk/actions/takeAnotherTurnAction.coffee|app/sdk/actions/setExhaustionAction.coffee|app/sdk/actions/bonusManaCoreAction.coffee|app/sdk/actions/removeCardFromHandAction.coffee|app/sdk/actions/trueDamageAction.coffee|app/sdk/actions/hurtingDamageAction.coffee|app/sdk/actions/teleportInFrontOfUnitAction.coffee|app/sdk/actions/randomTeleportAction.coffee|app/sdk/actions/randomDamageAction.coffee|app/sdk/actions/drawToXCardsAction.coffee|app/sdk/actions/applyModifierAction.coffee|app/sdk/actions/removeModifierAction.coffee|app/sdk/actions/removeCardFromDeckAction.coffee|app/sdk/actions/randomPlayCardSilentlyAction.coffee|app/sdk/actions/activateSignatureCardAction.coffee|app/sdk/actions/teleportBehindUnitAction.coffee|app/sdk/actions/revealHiddenCardAction.coffee|app/sdk/actions/setDamageAction.coffee|app/sdk/actions/restoreManaAction.coffee|app/sdk/actions/fightAction.coffee|app/sdk/actions/removeManaCoreAction.coffee|app/sdk/actions/forcedAttackAction.coffee|app/sdk/actions/restoreChargeToAllArtifactsAction.coffee|app/sdk/actions/burnCardAction.coffee|colors
app/sdk/actions/activateSignatureCardAction.coffee	app/sdk/actions/action.coffee
app/sdk/actions/applyCardToBoardAction.coffee	app/common/config.js|app/common/logger.coffee|app/common/utils/utils_javascript.js|app/sdk/actions/action.coffee|app/sdk/cards/cardType.coffee|underscore
app/sdk/actions/applyExhaustionAction.coffee	app/sdk/actions/action.coffee|app/sdk/cards/cardType.coffee
app/sdk/actions/applyModifierAction.coffee	app/common/logger.coffee|app/common/utils/utils_javascript.js|app/sdk/actions/action.coffee|underscore
app/sdk/actions/attackAction.coffee	app/common/config.js|app/sdk/actions/damageAction.coffee|app/sdk/cards/cardType.coffee|underscore
app/sdk/actions/bonusManaAction.coffee	app/common/logger.coffee|app/sdk/actions/action.coffee|app/sdk/cards/cardType.coffee|app/common/config.js|app/sdk/playerModifiers/playerModifierManaModifier.coffee
app/sdk/actions/bonusManaCoreAction.coffee	app/common/logger.coffee|app/sdk/actions/action.coffee|app/common/config.js
app/sdk/actions/burnCardAction.coffee	app/sdk/actions/drawCardAction.coffee
app/sdk/actions/cloneEntityAction.coffee	app/common/logger.coffee|app/sdk/actions/playCardSilentlyAction.coffee
app/sdk/actions/cloneEntityAsTransformAction.coffee	app/common/logger.coffee|app/common/utils/utils_javascript.js|app/sdk/actions/cloneEntityAction.coffee|app/sdk/cards/cardType.coffee|underscore
app/sdk/actions/damageAction.coffee	app/common/logger.coffee|app/sdk/actions/action.coffee|colors|app/sdk/cards/cardType.coffee|underscore
app/sdk/actions/damageAsAttackAction.coffee	app/sdk/actions/damageAction.coffee
