function_name	file	parameters	line_number
ActionStateRecord#setupToRecordStateOnEvent	app/common/actionStateRecord.coffee	eventType, propertiesToRecord	184
ActionStateRecord#teardownRecordingStateOnAllEvents	app/common/actionStateRecord.coffee		216
ActionStateRecord#recordStateEvenIfNotChanged	app/common/actionStateRecord.coffee	actionIndex	231
ActionStateRecord#recordStateAtLastActionRecorded	app/common/actionStateRecord.coffee		246
ActionStateRecord#_recordProperties	app/common/actionStateRecord.coffee	eventType, actionIndex, ignoreChanged=false	257
ActionStateRecord#onStateRecordingActionEvent	app/common/actionStateRecord.coffee	event	308
Analytics._getAnalyticsModules	app/common/analytics.coffee		25
Analytics.identify	app/common/analytics.coffee	id,params,utmParams	34
Analytics.page	app/common/analytics.coffee	title,params	39
Analytics.screen	app/common/analytics.coffee	title,params	44
Analytics.track	app/common/analytics.coffee	eventName,params,trackOptions, priority	58
Analytics.trackMonetizationEvent	app/common/analytics.coffee	productSku,price, priority	71
Analytics.reset	app/common/analytics.coffee		85
Analytics.setGroupPriority	app/common/analytics.coffee	groupPriority	90
Analytics.clearGroupPriority	app/common/analytics.coffee		93
Analytics.toggleLoggingEnabled	app/common/analytics.coffee		97
LoggerAnalyticsModule.isActive	app/common/analyticsModules/loggerAnalyticsModule.coffee		9
LoggerAnalyticsModule.identify	app/common/analyticsModules/loggerAnalyticsModule.coffee	id,params	15
LoggerAnalyticsModule.page	app/common/analyticsModules/loggerAnalyticsModule.coffee	title,params	18
LoggerAnalyticsModule.screen	app/common/analyticsModules/loggerAnalyticsModule.coffee	title,params	21
LoggerAnalyticsModule.track	app/common/analyticsModules/loggerAnalyticsModule.coffee	eventName,params	24
LoggerAnalyticsModule.reset	app/common/analyticsModules/loggerAnalyticsModule.coffee		27
AnalyticsTracker.submitGameOverAnalytics	app/common/analyticsTracker.coffee	gameSession,gameOverData	16
AnalyticsTracker.sendAnalyticsForExplicitAction	app/common/analyticsTracker.coffee	action	83
AnalyticsTracker.sendAnalyticsForCompletedTurn	app/common/analyticsTracker.coffee	turn	122
AnalyticsTracker._sendAnalyticsForCurrentGameSession	app/common/analyticsTracker.coffee	gameSession	136
AnalyticsUtil.convertDaysSeenOnFromArrayToObject	app/common/analyticsUtil.coffee	daysSeenOn,dataTarget	15
AnalyticsUtil.recordedDayIndexForRegistrationAndSeenOn	app/common/analyticsUtil.coffee	registrationMoment,seenOnMoment	32
AnalyticsUtil.nameForSeenOnDay	app/common/analyticsUtil.coffee	dayIndex	42
sleep	app/common/chroma.js	timeMs	8
flashTurnTimer	app/common/chroma.js	timePct, color	12
flashAction	app/common/chroma.js	color, delay, times	33
flashActionThrottled	app/common/chroma.js	color, delay, times	51
setAll	app/common/chroma.js	color	55
discordOnReady	app/common/discord.js	...args	30
discordOnDisconnected	app/common/discord.js	...args	33
discordOnError	app/common/discord.js	...args	36
discordOnSpectateGame	app/common/discord.js	...args	39
discordOnJoinGame	app/common/discord.js	...args	43
discordOnTick	app/common/discord.js	...args	46
discordUpdatePresence	app/common/discord.js	presence	49
Events	app/common/eventbus.js		7
eventsApi	app/common/eventbus.js	obj, action, name, rest	122
triggerEvents	app/common/eventbus.js	events, args	151
generatePushID	app/common/generate_push_id.js	function (	11
isNewUser	app/common/landing.js		9
isNewSignup	app/common/landing.js		24
shouldRedirect	app/common/landing.js		33
redirect	app/common/landing.js		49
redirectToGame	app/common/landing.js	options	60
firePixels	app/common/landing.js		79
addPixelsToHead	app/common/landing.js		100
createScriptElement	app/common/landing.js		130
Logger.startRecording	app/common/logger.coffee		26
Logger.recordingFilter	app/common/logger.coffee		29
Logger.record	app/common/logger.coffee		31
Logger.endRecording	app/common/logger.coffee		38
Logger.log	app/common/logger.coffee		44
Logger.debug	app/common/logger.coffee		46
Logger.warn	app/common/logger.coffee		48
Logger.error	app/common/logger.coffee		50
Logger.group	app/common/logger.coffee		52
Logger.groupEnd	app/common/logger.coffee		54
Logger.module	app/common/logger.coffee	name	57
Logger#log	app/common/logger.coffee		61
Logger#debug	app/common/logger.coffee		62
Logger#error	app/common/logger.coffee		63
Logger#warn	app/common/logger.coffee		64
Logger#group	app/common/logger.coffee		65
Logger#groupEnd	app/common/logger.coffee		66
Logger#time	app/common/logger.coffee		67
Logger#timeEnd	app/common/logger.coffee		68
Logger.yieldColor	app/common/logger.coffee		133
Logger.terminalStylize	app/common/logger.coffee	str, styleIndex	139
openUrl	app/common/openUrl.js	url	2
Session#constructor	app/common/session2.coffee	options = {}	12
Session#_checkResponse	app/common/session2.coffee	res	27
Session#_networkError	app/common/session2.coffee	e	49
Session#_authFirebase	app/common/session2.coffee	token	53
Session#_deauthFirebase	app/common/session2.coffee		62
Session#_decodeFirebaseToken	app/common/session2.coffee	token	75
Session#initPremiumPurchase	app/common/session2.coffee		84
Session#login	app/common/session2.coffee	username, password, silent = false	87
Session#logout	app/common/session2.coffee		121
Session#register	app/common/session2.coffee	opts	146
Session#isUsernameAvailable	app/common/session2.coffee	username	169
Session#changeUsername	app/common/session2.coffee	new_username	190
Session#changePassword	app/common/session2.coffee	currentPassword, new_password	205
Session#changePortrait	app/common/session2.coffee	portraitId	223
Session#changeBattlemap	app/common/session2.coffee	battlemapId	241
Session#isAuthenticated	app/common/session2.coffee	token	256
Session#refreshToken	app/common/session2.coffee	silent = false	293
Session#getIsFirstSessionOfDay	app/common/session2.coffee		328
Session#saveToStorage	app/common/session2.coffee		342
Session#clearStorage	app/common/session2.coffee		346
createNamespace	app/common/storage.js		3
pathName	app/common/utils/utils_firebase.js	ref	3
getNumChildren	app/common/utils/utils_firebase.js	ref, callback	8
getAppliedByActionIndexFromSource	app/common/utils/utils_game_session.coffee	source	180
comparatorMethod	app/common/utils/utils_game_session.coffee	a, b	183
conflictScoringMethod	app/common/utils/utils_game_session.coffee	conflictDataForPosition	224
walk	app/common/utils/utils_javascript.js	value, dst, visited, reference	167
setPointerKey	app/common/utils/utils_pointer.js	key	39
PointerEvent	app/common/utils/utils_pointer.js		51
startAnimatingCocosSprite	app/common/utils/utils_ui.js	glData	254
stopAnimatingCocosSprite	app/common/utils/utils_ui.js	glData	266
animateCocosSprites	app/common/utils/utils_ui.js	frameTime	284
animateCocosSprite	app/common/utils/utils_ui.js	glData, frameTime	296
changeCocosSpriteFrame	app/common/utils/utils_ui.js	glData	316
drawCocosSprite	app/common/utils/utils_ui.js	glData, frame	346
playSpecialSound	app/common/utils/utils_ui.js	glData	352
addResourceAndKeyByPath	app/data/resources.js	path, resource, key	18260
writeFile	app/data/utils/node_fx_converter.js	path, contents, cb	9
parseCFJPart	app/data/utils/node_fx_converter.js	part	39
parseCFCPart	app/data/utils/node_fx_converter.js	part	101
generateAnimationMap	app/data/utils/refactor_animations.js	file, content	11
writeFile	app/data/utils/refactor_card_factory.js	path, contents, cb	34
parseCFCPart	app/data/utils/refactor_card_factory.js	part	59
ReplayEngine.create	app/replay/replayEngine.coffee		9
ReplayEngine.getInstance	app/replay/replayEngine.coffee		12
ReplayEngine.current	app/replay/replayEngine.coffee		16
ReplayEngine.reset	app/replay/replayEngine.coffee		19
_ReplayEngine#constructor	app/replay/replayEngine.coffee		57
_ReplayEngine#getEventBus	app/replay/replayEngine.coffee		63
_ReplayEngine#watchReplay	app/replay/replayEngine.coffee	gameSessionData, gameUIEventData	75
_ReplayEngine#stopCurrentReplay	app/replay/replayEngine.coffee		139
_ReplayEngine#isPlaying	app/replay/replayEngine.coffee		159
_ReplayEngine#togglePause	app/replay/replayEngine.coffee		166
_ReplayEngine#pause	app/replay/replayEngine.coffee		172
_ReplayEngine#resume	app/replay/replayEngine.coffee		186
_ReplayEngine#updateTimeForPlayingStep	app/replay/replayEngine.coffee		206
_ReplayEngine#_updateStepTimeForDeadtimeCulling	app/replay/replayEngine.coffee		224
_ReplayEngine#_clearTimeouts	app/replay/replayEngine.coffee		237
_ReplayEngine#_clearStartTimeout	app/replay/replayEngine.coffee		242
_ReplayEngine#_clearStepTimeout	app/replay/replayEngine.coffee		247
_ReplayEngine#_clearUIEventTimeout	app/replay/replayEngine.coffee		252
_ReplayEngine#_startReplayingSteps	app/replay/replayEngine.coffee		257
_ReplayEngine#_replayNextStep	app/replay/replayEngine.coffee		294
_ReplayEngine#_startReplayingUIEvents	app/replay/replayEngine.coffee		377
_ReplayEngine#_replayNextUIEvent	app/replay/replayEngine.coffee		407
Achievement#constructor	app/sdk/achievements/achievement.coffee		17
Achievement.progressForCompletingQuestId	app/sdk/achievements/achievement.coffee	questId	21
Achievement.progressForGameDataForPlayerId	app/sdk/achievements/achievement.coffee	gameData,playerId,isUnscored,isDraw	25
Achievement.progressForCrafting	app/sdk/achievements/achievement.coffee	cardId	29
Achievement.progressForDisenchanting	app/sdk/achievements/achievement.coffee	cardId	33
Achievement.progressForCardCollection	app/sdk/achievements/achievement.coffee	cardCollection, allCards	37
Achievement.progressForAchievingRank	app/sdk/achievements/achievement.coffee	rank	41
Achievement.progressForArmoryTransaction	app/sdk/achievements/achievement.coffee	armoryTransactionSku	45
Achievement.progressForReferralEvent	app/sdk/achievements/achievement.coffee	referralEventType	49
Achievement.progressForFactionProgression	app/sdk/achievements/achievement.coffee	factionProgressionData	53
Achievement.progressForReceivingCosmeticChest	app/sdk/achievements/achievement.coffee	cosmeticChestType	57
Achievement.progressForLoggingIn	app/sdk/achievements/achievement.coffee	currentLoginMoment	61
Achievement.getLoginAchievementStartsMoment	app/sdk/achievements/achievement.coffee		65
Achievement.rewardUnlockMessage	app/sdk/achievements/achievement.coffee	progressMade	70
Achievement.progressForOpeningSpiritOrb	app/sdk/achievements/achievement.coffee	orbSet	75
Achievement.getId	app/sdk/achievements/achievement.coffee		79
Achievement.getTitle	app/sdk/achievements/achievement.coffee		82
Achievement.getDescription	app/sdk/achievements/achievement.coffee		85
Achievement.getRewards	app/sdk/achievements/achievement.coffee		88
AchievementsFactory._generateCache	app/sdk/achievements/achievementsFactory.coffee		96
AchievementsFactory.achievementForIdentifier	app/sdk/achievements/achievementsFactory.coffee	identifier	177
AchievementsFactory.getEnabledAchievementsMap	app/sdk/achievements/achievementsFactory.coffee		183
ShopAchievement.progressForArmoryTransaction	app/sdk/achievements/armoryBasedAchievements/bronzeStarterBundleAchievement.coffee	armoryTransactionSku	29
ShopAchievement.progressForArmoryTransaction	app/sdk/achievements/armoryBasedAchievements/goldStarterBundleAchievement.coffee	armoryTransactionSku	20
NamasteAchievement.progressForArmoryTransaction	app/sdk/achievements/armoryBasedAchievements/namasteAchievement.coffee	armoryTransactionSku	16
ShopAchievement.progressForArmoryTransaction	app/sdk/achievements/armoryBasedAchievements/silverStarterBundleAchievement.coffee	armoryTransactionSku	29
WelcomeToCraftingAchievement.progressForDisenchanting	app/sdk/achievements/craftingBasedAchievements/welcomeToCraftingAchievement.coffee	cardId	15
BloodbornAchievement.progressForFactionProgression	app/sdk/achievements/factionProgressBasedAchievements/bloodbornAchievement.coffee	factionProgressionData	15
WorldExplorerAchievement.progressForFactionProgression	app/sdk/achievements/factionProgressBasedAchievements/worldExplorerAchievement.coffee	factionProgressionData	16
BestOfFriendsAchievement.progressForGameDataForPlayerId	app/sdk/achievements/gameBasedAchievements/bestOfFriendsAchievement.coffee	gameData,playerId,isUnscored,isDraw	15
EnteringGauntletAchievement.progressForGameDataForPlayerId	app/sdk/achievements/gameBasedAchievements/enteringGauntletAchievement.coffee	gameData,playerId,isUnscored,isDraw	15
HelpingHandAchievement.progressForGameDataForPlayerId	app/sdk/achievements/gameBasedAchievements/helpingHandAchievement.coffee	gameData,playerId,isUnscored,isDraw	15
HomeTurfAchievement.progressForGameDataForPlayerId	app/sdk/achievements/gameBasedAchievements/homeTurfAchievement.coffee	gameData,playerId,isUnscored,isDraw	18
TheArtOfWarAchievement.progressForGameDataForPlayerId	app/sdk/achievements/gameBasedAchievements/theArtOfWarAchievement.coffee	gameData,playerId,isUnscored,isDraw	15
CollectorSupremeAchievement.progressForCardCollection	app/sdk/achievements/inventoryBasedAchievements/collectorSupremeAchievement.coffee	cardCollection, allCards	18
SisterAchievement.progressForCardCollection	app/sdk/achievements/inventoryBasedAchievements/earthSisterAchievement.coffee	cardCollection, allCards	24
FirstCosmeticChestAchievement.progressForReceivingCosmeticChest	app/sdk/achievements/inventoryBasedAchievements/firstLootCrateAchievement.coffee	cosmeticChestType	21
SisterAchievement.progressForCardCollection	app/sdk/achievements/inventoryBasedAchievements/lightningSisterAchievement.coffee	cardCollection, allCards	24
SisterAchievement.progressForCardCollection	app/sdk/achievements/inventoryBasedAchievements/sandSisterAchievement.coffee	cardCollection, allCards	24
SisterAchievement.progressForCardCollection	app/sdk/achievements/inventoryBasedAchievements/shadowSisterAchievement.coffee	cardCollection, allCards	24
SisterAchievement.progressForCardCollection	app/sdk/achievements/inventoryBasedAchievements/sunSisterAchievement.coffee	cardCollection, allCards	24
SisterAchievement.progressForCardCollection	app/sdk/achievements/inventoryBasedAchievements/swornSisterAchievement.coffee	cardCollection, allCards	25
SisterAchievement.progressForCardCollection	app/sdk/achievements/inventoryBasedAchievements/windSisterAchievement.coffee	cardCollection, allCards	24
BNPromoAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/bnPromoAchievement.coffee	currentLoginMoment	15
BNPromoAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/bnPromoAchievement.coffee		21
ChristmasLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/christmasLoginAchievement.coffee	currentLoginMoment	16
ChristmasLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/christmasLoginAchievement.coffee		22
CoreshatterLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/coreshatterLoginAchievement.coffee	currentLoginMoment	16
CoreshatterLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/coreshatterLoginAchievement.coffee		22
EarlyFeb2018LoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/earlyFeb2018LoginAchievement.coffee	currentLoginMoment	16
EarlyFeb2018LoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/earlyFeb2018LoginAchievement.coffee		22
FathersDayLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/fathersDayLoginAchievement.coffee	currentLoginMoment	16
FathersDayLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/fathersDayLoginAchievement.coffee		22
FourthOfJulyLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/fourthOfJulyLoginAchievement.coffee	currentLoginMoment	16
FourthOfJulyLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/fourthOfJulyLoginAchievement.coffee		22
Frostfire2017BonusLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/frostfire2017BonusLoginAchievement.coffee	currentLoginMoment	18
Frostfire2017BonusLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/frostfire2017BonusLoginAchievement.coffee		24
Frostfire2017LoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/frostfire2017LoginAchievement.coffee	currentLoginMoment	17
Frostfire2017LoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/frostfire2017LoginAchievement.coffee		23
HalloweenLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/halloweenLoginAchievement.coffee	currentLoginMoment	16
HalloweenLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/halloweenLoginAchievement.coffee		22
LaborDayLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/laborDayLoginAchievement.coffee	currentLoginMoment	16
LaborDayLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/laborDayLoginAchievement.coffee		22
MemorialDayLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/memorialDayLoginAchievement.coffee	currentLoginMoment	16
MemorialDayLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/memorialDayLoginAchievement.coffee		22
MidAugLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/midAugLoginAchievement.coffee	currentLoginMoment	15
MidAugLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/midAugLoginAchievement.coffee		21
MidNov2017LoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/midNov2017LoginAchievement.coffee	currentLoginMoment	15
MidNov2017LoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/midNov2017LoginAchievement.coffee		21
NewPlayerGoldLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/newPlayerGoldLoginAchievement.coffee	currentLoginMoment	15
NewPlayerGoldLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/newPlayerGoldLoginAchievement.coffee		18
NewPlayerSpiritLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/newPlayerSpiritLoginAchievement.coffee	currentLoginMoment	15
NewPlayerSpiritLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/newPlayerSpiritLoginAchievement.coffee		18
SummerLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/summerLoginAchievement.coffee	currentLoginMoment	16
SummerLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/summerLoginAchievement.coffee		22
ThanksgivingLoginAchievement.progressForLoggingIn	app/sdk/achievements/loginBasedAchievements/thanksgivingLoginAchievement.coffee	currentLoginMoment	16
ThanksgivingLoginAchievement.getLoginAchievementStartsMoment	app/sdk/achievements/loginBasedAchievements/thanksgivingLoginAchievement.coffee		22
MythronOrb1Achievement.progressForOpeningSpiritOrb	app/sdk/achievements/orbOpeningAchievements/mythronOrb1Achievement.coffee	orbSet	13
MythronOrb2Achievement.progressForOpeningSpiritOrb	app/sdk/achievements/orbOpeningAchievements/mythronOrb2Achievement.coffee	orbSet	13
MythronOrb3Achievement.progressForOpeningSpiritOrb	app/sdk/achievements/orbOpeningAchievements/mythronOrb3Achievement.coffee	orbSet	13
MythronOrb4Achievement.progressForOpeningSpiritOrb	app/sdk/achievements/orbOpeningAchievements/mythronOrb4Achievement.coffee	orbSet	13
MythronOrb5Achievement.progressForOpeningSpiritOrb	app/sdk/achievements/orbOpeningAchievements/mythronOrb5Achievement.coffee	orbSet	13
MythronOrb6Achievement.progressForOpeningSpiritOrb	app/sdk/achievements/orbOpeningAchievements/mythronOrb6Achievement.coffee	orbSet	13
MythronOrb7Achievement.progressForOpeningSpiritOrb	app/sdk/achievements/orbOpeningAchievements/mythronOrb7Achievement.coffee	orbSet	13
EpicQuestorAchievement.progressForCompletingQuestId	app/sdk/achievements/questBasedAchievements/epicQuestorAchievement.coffee	questId	13
IndomitableSpiritAchievement.progressForCompletingQuestId	app/sdk/achievements/questBasedAchievements/indomitableSpiritAchievement.coffee	questId	13
JourneymanQuestorAchievement.progressForCompletingQuestId	app/sdk/achievements/questBasedAchievements/journeymanQuestorAchievement.coffee	questId	13
LegendaryQuestorAchievement.progressForCompletingQuestId	app/sdk/achievements/questBasedAchievements/legendaryQuestorAchievement.coffee	questId	13
SilverDivisionAchievement.progressForAchievingRank	app/sdk/achievements/rankBasedAchievements/silverDivisionAchievement.coffee	rank	13
FirstReferralPurchase.progressForReferralEvent	app/sdk/achievements/referralBasedAchievements/firstReferralPurchaseAchievement.coffee	eventType	15
WartechGeneralFaction1Achievement.progressForGameDataForPlayerId	app/sdk/achievements/wartechAchievements/wartechGeneralFaction1Achievement.coffee	gameData,playerId,isUnscored,isDraw	22
WartechGeneralFaction1Achievement.progressForArmoryTransaction	app/sdk/achievements/wartechAchievements/wartechGeneralFaction1Achievement.coffee	armoryTransactionSku	40
WartechGeneralFaction1Achievement.rewardUnlockMessage	app/sdk/achievements/wartechAchievements/wartechGeneralFaction1Achievement.coffee	progressMade	46
WartechGeneralFaction2Achievement.progressForGameDataForPlayerId	app/sdk/achievements/wartechAchievements/wartechGeneralFaction2Achievement.coffee	gameData,playerId,isUnscored,isDraw	22
WartechGeneralFaction2Achievement.progressForArmoryTransaction	app/sdk/achievements/wartechAchievements/wartechGeneralFaction2Achievement.coffee	armoryTransactionSku	40
WartechGeneralFaction2Achievement.rewardUnlockMessage	app/sdk/achievements/wartechAchievements/wartechGeneralFaction2Achievement.coffee	progressMade	46
WartechGeneralFaction3Achievement.progressForGameDataForPlayerId	app/sdk/achievements/wartechAchievements/wartechGeneralFaction3Achievement.coffee	gameData,playerId,isUnscored,isDraw	22
WartechGeneralFaction3Achievement.progressForArmoryTransaction	app/sdk/achievements/wartechAchievements/wartechGeneralFaction3Achievement.coffee	armoryTransactionSku	40
WartechGeneralFaction3Achievement.rewardUnlockMessage	app/sdk/achievements/wartechAchievements/wartechGeneralFaction3Achievement.coffee	progressMade	46
WartechGeneralFaction4Achievement.progressForGameDataForPlayerId	app/sdk/achievements/wartechAchievements/wartechGeneralFaction4Achievement.coffee	gameData,playerId,isUnscored,isDraw	22
WartechGeneralFaction4Achievement.progressForArmoryTransaction	app/sdk/achievements/wartechAchievements/wartechGeneralFaction4Achievement.coffee	armoryTransactionSku	40
WartechGeneralFaction4Achievement.rewardUnlockMessage	app/sdk/achievements/wartechAchievements/wartechGeneralFaction4Achievement.coffee	progressMade	46
WartechGeneralFaction5Achievement.progressForGameDataForPlayerId	app/sdk/achievements/wartechAchievements/wartechGeneralFaction5Achievement.coffee	gameData,playerId,isUnscored,isDraw	22
WartechGeneralFaction5Achievement.progressForArmoryTransaction	app/sdk/achievements/wartechAchievements/wartechGeneralFaction5Achievement.coffee	armoryTransactionSku	40
WartechGeneralFaction5Achievement.rewardUnlockMessage	app/sdk/achievements/wartechAchievements/wartechGeneralFaction5Achievement.coffee	progressMade	46
WartechGeneralFaction6Achievement.progressForGameDataForPlayerId	app/sdk/achievements/wartechAchievements/wartechGeneralFaction6Achievement.coffee	gameData,playerId,isUnscored,isDraw	22
WartechGeneralFaction6Achievement.progressForArmoryTransaction	app/sdk/achievements/wartechAchievements/wartechGeneralFaction6Achievement.coffee	armoryTransactionSku	40
WartechGeneralFaction6Achievement.rewardUnlockMessage	app/sdk/achievements/wartechAchievements/wartechGeneralFaction6Achievement.coffee	progressMade	46
Action#constructor	app/sdk/actions/action.coffee	gameSession	30
Action#getPrivateDefaults	app/sdk/actions/action.coffee	gameSession	38
Action#getType	app/sdk/actions/action.coffee		65
Action#getLogName	app/sdk/actions/action.coffee		68
Action#setOwnerId	app/sdk/actions/action.coffee	ownerId	84
Action#getOwnerId	app/sdk/actions/action.coffee		87
Action#getOwner	app/sdk/actions/action.coffee		90
Action#isFirstTime	app/sdk/actions/action.coffee		97
Action#addSignature	app/sdk/actions/action.coffee		103
Action#setIndex	app/sdk/actions/action.coffee	val	111
Action#getIndex	app/sdk/actions/action.coffee		118
Action#getManaCost	app/sdk/actions/action.coffee		125
Action#getIsValid	app/sdk/actions/action.coffee		128
Action#setIsValid	app/sdk/actions/action.coffee	val	131
Action#setValidationMessage	app/sdk/actions/action.coffee	val	134
Action#getValidationMessage	app/sdk/actions/action.coffee		137
Action#setValidationMessagePosition	app/sdk/actions/action.coffee	val	140
Action#getValidationMessagePosition	app/sdk/actions/action.coffee		143
Action#setValidatorType	app/sdk/actions/action.coffee	val	146
Action#getValidatorType	app/sdk/actions/action.coffee		149
Action#getIsDepthFirst	app/sdk/actions/action.coffee		152
Action#setIsDepthFirst	app/sdk/actions/action.coffee	val	155
Action#setIsAutomatic	app/sdk/actions/action.coffee	val	158
Action#getIsAutomatic	app/sdk/actions/action.coffee		161
Action#getIncludedRandomness	app/sdk/actions/action.coffee		164
Action#setIncludedRandomness	app/sdk/actions/action.coffee	val	167
Action#getSource	app/sdk/actions/action.coffee		175
Action#setSource	app/sdk/actions/action.coffee	source	190
Action#setSourcePosition	app/sdk/actions/action.coffee	sourcePosition	199
Action#getSourcePosition	app/sdk/actions/action.coffee		206
Action#setSourceIndex	app/sdk/actions/action.coffee	sourceIndex	217
Action#getSourceIndex	app/sdk/actions/action.coffee		225
Action#getTarget	app/sdk/actions/action.coffee		237
Action#setTarget	app/sdk/actions/action.coffee	target	246
Action#setTargetPosition	app/sdk/actions/action.coffee	targetPosition	255
Action#getTargetPosition	app/sdk/actions/action.coffee		262
Action#setTargetIndex	app/sdk/actions/action.coffee	targetIndex	273
Action#getTargetIndex	app/sdk/actions/action.coffee		281
Action#getIsImplicit	app/sdk/actions/action.coffee		292
Action#setFXResource	app/sdk/actions/action.coffee	fxResource	295
Action#getFXResource	app/sdk/actions/action.coffee		301
Action#_modifyForExecution	app/sdk/actions/action.coffee		307
Action#_execute	app/sdk/actions/action.coffee		313
Action#setParentAction	app/sdk/actions/action.coffee	action	320
Action#getParentAction	app/sdk/actions/action.coffee		329
Action#getParentActionIndex	app/sdk/actions/action.coffee		336
Action#getRootAction	app/sdk/actions/action.coffee		343
Action#getMatchingAncestorAction	app/sdk/actions/action.coffee	classOrType, source, target	364
Action#getMatchingResolveAncestorAction	app/sdk/actions/action.coffee	classOrType, source, target	384
Action#getIsActionMyAncestor	app/sdk/actions/action.coffee	action	401
Action#addSubAction	app/sdk/actions/action.coffee	action	409
Action#getSubActionsOrderedByEventType	app/sdk/actions/action.coffee		434
