class_name	field	type
WorldExplorerAchievement	progressRequired	number
WorldExplorerAchievement	rewards	unknown
WorldExplorerAchievement	factionLegendaryCard	number
WorldExplorerAchievement	progressForFactionProgression	unknown
BestOfFriendsAchievement	id	string
BestOfFriendsAchievement	title	unknown
BestOfFriendsAchievement	description	unknown
BestOfFriendsAchievement	progressRequired	number
BestOfFriendsAchievement	rewards	unknown
BestOfFriendsAchievement	spiritOrb	number
BestOfFriendsAchievement	progressForGameDataForPlayerId	unknown
EnteringGauntletAchievement	id	string
EnteringGauntletAchievement	title	unknown
EnteringGauntletAchievement	description	unknown
EnteringGauntletAchievement	progressRequired	number
EnteringGauntletAchievement	rewards	unknown
EnteringGauntletAchievement	gauntletTicket	number
EnteringGauntletAchievement	progressForGameDataForPlayerId	unknown
HelpingHandAchievement	id	string
HelpingHandAchievement	title	unknown
HelpingHandAchievement	description	unknown
HelpingHandAchievement	progressRequired	number
HelpingHandAchievement	rewards	unknown
HelpingHandAchievement	gold	number
HelpingHandAchievement	progressForGameDataForPlayerId	unknown
HomeTurfAchievement	id	string
HomeTurfAchievement	title	string
HomeTurfAchievement	description	string
HomeTurfAchievement	progressRequired	number
HomeTurfAchievement	enabled	boolean
HomeTurfAchievement	rewards	unknown
HomeTurfAchievement	newRandomCosmetics	array
HomeTurfAchievement	progressForGameDataForPlayerId	unknown
TheArtOfWarAchievement	id	string
TheArtOfWarAchievement	title	unknown
TheArtOfWarAchievement	description	unknown
TheArtOfWarAchievement	progressRequired	number
TheArtOfWarAchievement	rewards	unknown
TheArtOfWarAchievement	gold	number
TheArtOfWarAchievement	progressForGameDataForPlayerId	unknown
CollectorSupremeAchievement	id	string
CollectorSupremeAchievement	title	unknown
CollectorSupremeAchievement	description	unknown
CollectorSupremeAchievement	progressRequired	number
CollectorSupremeAchievement	rewards	unknown
CollectorSupremeAchievement	neutralEpicCard	number
CollectorSupremeAchievement	neutralRareCard	number
CollectorSupremeAchievement	progressForCardCollection	unknown
SisterAchievement	id	string
SisterAchievement	title	unknown
SisterAchievement	description	unknown
SisterAchievement	progressRequired	number
SisterAchievement	rewards	unknown
SisterAchievement	cards	array
SisterAchievement	progressForCardCollection	unknown
FirstCosmeticChestAchievement	id	string
FirstCosmeticChestAchievement	title	unknown
FirstCosmeticChestAchievement	description	unknown
FirstCosmeticChestAchievement	progressRequired	number
FirstCosmeticChestAchievement	rewards	unknown
FirstCosmeticChestAchievement	bronzeCrateKey	number
FirstCosmeticChestAchievement	progressForReceivingCosmeticChest	unknown
SisterAchievement	id	string
SisterAchievement	title	unknown
SisterAchievement	description	unknown
SisterAchievement	progressRequired	number
SisterAchievement	rewards	unknown
SisterAchievement	cards	array
SisterAchievement	progressForCardCollection	unknown
SisterAchievement	id	string
SisterAchievement	title	unknown
SisterAchievement	description	unknown
SisterAchievement	progressRequired	number
SisterAchievement	rewards	unknown
SisterAchievement	cards	array
SisterAchievement	progressForCardCollection	unknown
SisterAchievement	id	string
SisterAchievement	title	unknown
SisterAchievement	description	unknown
SisterAchievement	progressRequired	number
SisterAchievement	rewards	unknown
SisterAchievement	cards	array
SisterAchievement	progressForCardCollection	unknown
SisterAchievement	id	string
SisterAchievement	title	unknown
SisterAchievement	description	unknown
SisterAchievement	progressRequired	number
SisterAchievement	rewards	unknown
SisterAchievement	cards	array
SisterAchievement	progressForCardCollection	unknown
SisterAchievement	id	string
SisterAchievement	title	unknown
SisterAchievement	description	unknown
SisterAchievement	progressRequired	number
SisterAchievement	rewards	unknown
SisterAchievement	cards	array
SisterAchievement	progressForCardCollection	unknown
SisterAchievement	id	string
SisterAchievement	title	unknown
SisterAchievement	description	unknown
SisterAchievement	progressRequired	number
SisterAchievement	rewards	unknown
SisterAchievement	cards	array
SisterAchievement	progressForCardCollection	unknown
BNPromoAchievement	id	string
BNPromoAchievement	title	string
BNPromoAchievement	description	string
BNPromoAchievement	progressRequired	number
BNPromoAchievement	rewards	unknown
BNPromoAchievement	giftChests	array
BNPromoAchievement	enabled	boolean
BNPromoAchievement	progressForLoggingIn	unknown
BNPromoAchievement	getLoginAchievementStartsMoment	unknown
ChristmasLoginAchievement	id	string
ChristmasLoginAchievement	title	string
ChristmasLoginAchievement	description	string
ChristmasLoginAchievement	progressRequired	number
ChristmasLoginAchievement	rewards	unknown
ChristmasLoginAchievement	giftChests	array
ChristmasLoginAchievement	enabled	boolean
ChristmasLoginAchievement	progressForLoggingIn	unknown
ChristmasLoginAchievement	getLoginAchievementStartsMoment	unknown
CoreshatterLoginAchievement	id	string
CoreshatterLoginAchievement	title	string
CoreshatterLoginAchievement	description	string
CoreshatterLoginAchievement	progressRequired	number
CoreshatterLoginAchievement	rewards	unknown
CoreshatterLoginAchievement	giftChests	array
CoreshatterLoginAchievement	enabled	boolean
CoreshatterLoginAchievement	progressForLoggingIn	unknown
CoreshatterLoginAchievement	getLoginAchievementStartsMoment	unknown
EarlyFeb2018LoginAchievement	id	string
EarlyFeb2018LoginAchievement	title	unknown
EarlyFeb2018LoginAchievement	description	unknown
EarlyFeb2018LoginAchievement	progressRequired	number
EarlyFeb2018LoginAchievement	rewards	unknown
EarlyFeb2018LoginAchievement	giftChests	array
EarlyFeb2018LoginAchievement	enabled	boolean
EarlyFeb2018LoginAchievement	progressForLoggingIn	unknown
EarlyFeb2018LoginAchievement	getLoginAchievementStartsMoment	unknown
FathersDayLoginAchievement	id	string
FathersDayLoginAchievement	title	string
FathersDayLoginAchievement	description	string
FathersDayLoginAchievement	progressRequired	number
FathersDayLoginAchievement	rewards	unknown
FathersDayLoginAchievement	giftChests	array
FathersDayLoginAchievement	enabled	boolean
FathersDayLoginAchievement	progressForLoggingIn	unknown
FathersDayLoginAchievement	getLoginAchievementStartsMoment	unknown
FourthOfJulyLoginAchievement	id	string
FourthOfJulyLoginAchievement	title	string
FourthOfJulyLoginAchievement	description	string
FourthOfJulyLoginAchievement	progressRequired	number
FourthOfJulyLoginAchievement	rewards	unknown
FourthOfJulyLoginAchievement	giftChests	array
FourthOfJulyLoginAchievement	enabled	boolean
FourthOfJulyLoginAchievement	progressForLoggingIn	unknown
FourthOfJulyLoginAchievement	getLoginAchievementStartsMoment	unknown
Frostfire2017BonusLoginAchievement	id	string
Frostfire2017BonusLoginAchievement	title	string
Frostfire2017BonusLoginAchievement	description	string
Frostfire2017BonusLoginAchievement	progressRequired	number
Frostfire2017BonusLoginAchievement	rewards	unknown
Frostfire2017BonusLoginAchievement	giftChests	array
Frostfire2017BonusLoginAchievement	enabled	boolean
Frostfire2017BonusLoginAchievement	progressForLoggingIn	unknown
Frostfire2017BonusLoginAchievement	getLoginAchievementStartsMoment	unknown
Frostfire2017LoginAchievement	id	string
Frostfire2017LoginAchievement	title	string
Frostfire2017LoginAchievement	description	string
Frostfire2017LoginAchievement	progressRequired	number
Frostfire2017LoginAchievement	rewards	unknown
Frostfire2017LoginAchievement	giftChests	array
Frostfire2017LoginAchievement	enabled	boolean
Frostfire2017LoginAchievement	progressForLoggingIn	unknown
Frostfire2017LoginAchievement	getLoginAchievementStartsMoment	unknown
HalloweenLoginAchievement	id	string
HalloweenLoginAchievement	title	string
HalloweenLoginAchievement	description	string
HalloweenLoginAchievement	progressRequired	number
HalloweenLoginAchievement	rewards	unknown
HalloweenLoginAchievement	giftChests	array
HalloweenLoginAchievement	enabled	boolean
HalloweenLoginAchievement	progressForLoggingIn	unknown
HalloweenLoginAchievement	getLoginAchievementStartsMoment	unknown
LaborDayLoginAchievement	id	string
LaborDayLoginAchievement	title	string
LaborDayLoginAchievement	description	string
LaborDayLoginAchievement	progressRequired	number
LaborDayLoginAchievement	rewards	unknown
LaborDayLoginAchievement	giftChests	array
LaborDayLoginAchievement	enabled	boolean
LaborDayLoginAchievement	progressForLoggingIn	unknown
LaborDayLoginAchievement	getLoginAchievementStartsMoment	unknown
MemorialDayLoginAchievement	id	string
MemorialDayLoginAchievement	title	string
MemorialDayLoginAchievement	description	string
MemorialDayLoginAchievement	progressRequired	number
MemorialDayLoginAchievement	rewards	unknown
MemorialDayLoginAchievement	giftChests	array
MemorialDayLoginAchievement	enabled	boolean
MemorialDayLoginAchievement	progressForLoggingIn	unknown
MemorialDayLoginAchievement	getLoginAchievementStartsMoment	unknown
MidAugLoginAchievement	id	string
MidAugLoginAchievement	title	string
MidAugLoginAchievement	description	string
MidAugLoginAchievement	progressRequired	number
MidAugLoginAchievement	rewards	unknown
MidAugLoginAchievement	giftChests	array
MidAugLoginAchievement	enabled	boolean
MidAugLoginAchievement	progressForLoggingIn	unknown
MidAugLoginAchievement	getLoginAchievementStartsMoment	unknown
MidNov2017LoginAchievement	id	string
MidNov2017LoginAchievement	title	string
MidNov2017LoginAchievement	description	string
MidNov2017LoginAchievement	progressRequired	number
MidNov2017LoginAchievement	rewards	unknown
MidNov2017LoginAchievement	giftChests	array
MidNov2017LoginAchievement	enabled	boolean
MidNov2017LoginAchievement	progressForLoggingIn	unknown
MidNov2017LoginAchievement	getLoginAchievementStartsMoment	unknown
NewPlayerGoldLoginAchievement	id	string
NewPlayerGoldLoginAchievement	title	string
NewPlayerGoldLoginAchievement	description	string
NewPlayerGoldLoginAchievement	progressRequired	number
NewPlayerGoldLoginAchievement	rewards	unknown
NewPlayerGoldLoginAchievement	gold	number
NewPlayerGoldLoginAchievement	enabled	boolean
NewPlayerGoldLoginAchievement	progressForLoggingIn	unknown
NewPlayerGoldLoginAchievement	getLoginAchievementStartsMoment	unknown
NewPlayerSpiritLoginAchievement	id	string
NewPlayerSpiritLoginAchievement	title	string
NewPlayerSpiritLoginAchievement	description	string
NewPlayerSpiritLoginAchievement	progressRequired	number
NewPlayerSpiritLoginAchievement	rewards	unknown
NewPlayerSpiritLoginAchievement	spirit	number
NewPlayerSpiritLoginAchievement	enabled	boolean
NewPlayerSpiritLoginAchievement	progressForLoggingIn	unknown
NewPlayerSpiritLoginAchievement	getLoginAchievementStartsMoment	unknown
SummerLoginAchievement	id	string
SummerLoginAchievement	title	string
SummerLoginAchievement	description	string
SummerLoginAchievement	progressRequired	number
SummerLoginAchievement	rewards	unknown
SummerLoginAchievement	giftChests	array
SummerLoginAchievement	enabled	boolean
SummerLoginAchievement	progressForLoggingIn	unknown
SummerLoginAchievement	getLoginAchievementStartsMoment	unknown
ThanksgivingLoginAchievement	id	string
ThanksgivingLoginAchievement	title	string
ThanksgivingLoginAchievement	description	string
ThanksgivingLoginAchievement	progressRequired	number
ThanksgivingLoginAchievement	rewards	unknown
ThanksgivingLoginAchievement	giftChests	array
ThanksgivingLoginAchievement	enabled	boolean
ThanksgivingLoginAchievement	progressForLoggingIn	unknown
ThanksgivingLoginAchievement	getLoginAchievementStartsMoment	unknown
MythronOrb1Achievement	id	string
MythronOrb1Achievement	title	string
MythronOrb1Achievement	description	string
MythronOrb1Achievement	progressRequired	number
MythronOrb1Achievement	rewards	unknown
MythronOrb1Achievement	mythronCard	number
MythronOrb1Achievement	progressForOpeningSpiritOrb	unknown
MythronOrb2Achievement	id	string
MythronOrb2Achievement	title	string
MythronOrb2Achievement	description	string
MythronOrb2Achievement	progressRequired	number
MythronOrb2Achievement	rewards	unknown
MythronOrb2Achievement	mythronCard	number
MythronOrb2Achievement	progressForOpeningSpiritOrb	unknown
MythronOrb3Achievement	id	string
MythronOrb3Achievement	title	string
MythronOrb3Achievement	description	string
MythronOrb3Achievement	progressRequired	number
MythronOrb3Achievement	rewards	unknown
MythronOrb3Achievement	mythronCard	number
MythronOrb3Achievement	progressForOpeningSpiritOrb	unknown
MythronOrb4Achievement	id	string
MythronOrb4Achievement	title	string
MythronOrb4Achievement	description	string
MythronOrb4Achievement	progressRequired	number
MythronOrb4Achievement	rewards	unknown
MythronOrb4Achievement	mythronCard	number
MythronOrb4Achievement	progressForOpeningSpiritOrb	unknown
MythronOrb5Achievement	id	string
MythronOrb5Achievement	title	string
MythronOrb5Achievement	description	string
MythronOrb5Achievement	progressRequired	number
MythronOrb5Achievement	rewards	unknown
MythronOrb5Achievement	mythronCard	number
MythronOrb5Achievement	progressForOpeningSpiritOrb	unknown
MythronOrb6Achievement	id	string
MythronOrb6Achievement	title	string
MythronOrb6Achievement	description	string
MythronOrb6Achievement	progressRequired	number
MythronOrb6Achievement	rewards	unknown
MythronOrb6Achievement	mythronCard	number
MythronOrb6Achievement	progressForOpeningSpiritOrb	unknown
MythronOrb7Achievement	id	string
MythronOrb7Achievement	title	string
MythronOrb7Achievement	description	string
MythronOrb7Achievement	progressRequired	number
MythronOrb7Achievement	rewards	unknown
MythronOrb7Achievement	mythronCard	number
MythronOrb7Achievement	progressForOpeningSpiritOrb	unknown
EpicQuestorAchievement	id	string
EpicQuestorAchievement	title	unknown
EpicQuestorAchievement	description	unknown
EpicQuestorAchievement	progressRequired	number
EpicQuestorAchievement	rewards	unknown
EpicQuestorAchievement	neutralEpicCard	number
EpicQuestorAchievement	progressForCompletingQuestId	unknown
IndomitableSpiritAchievement	id	string
IndomitableSpiritAchievement	title	unknown
IndomitableSpiritAchievement	description	unknown
IndomitableSpiritAchievement	progressRequired	number
IndomitableSpiritAchievement	rewards	unknown
IndomitableSpiritAchievement	gold	number
IndomitableSpiritAchievement	progressForCompletingQuestId	unknown
JourneymanQuestorAchievement	id	string
JourneymanQuestorAchievement	title	unknown
JourneymanQuestorAchievement	description	unknown
JourneymanQuestorAchievement	progressRequired	number
JourneymanQuestorAchievement	rewards	unknown
JourneymanQuestorAchievement	neutralEpicCard	number
JourneymanQuestorAchievement	progressForCompletingQuestId	unknown
LegendaryQuestorAchievement	id	string
LegendaryQuestorAchievement	title	unknown
LegendaryQuestorAchievement	description	unknown
LegendaryQuestorAchievement	progressRequired	number
LegendaryQuestorAchievement	rewards	unknown
LegendaryQuestorAchievement	neutralLegendaryCard	number
LegendaryQuestorAchievement	progressForCompletingQuestId	unknown
SilverDivisionAchievement	id	string
SilverDivisionAchievement	title	unknown
SilverDivisionAchievement	description	unknown
SilverDivisionAchievement	progressRequired	number
SilverDivisionAchievement	rewards	unknown
SilverDivisionAchievement	spiritOrb	number
SilverDivisionAchievement	enabled	boolean
SilverDivisionAchievement	progressForAchievingRank	unknown
FirstReferralPurchase	id	string
FirstReferralPurchase	title	unknown
FirstReferralPurchase	description	unknown
FirstReferralPurchase	progressRequired	number
FirstReferralPurchase	rewards	unknown
FirstReferralPurchase	cosmetics	array
FirstReferralPurchase	enabled	boolean
FirstReferralPurchase	progressForReferralEvent	unknown
WartechGeneralFaction1Achievement	id	string
WartechGeneralFaction1Achievement	title	unknown
WartechGeneralFaction1Achievement	description	unknown
WartechGeneralFaction1Achievement	progressRequired	number
WartechGeneralFaction1Achievement	rewards	unknown
WartechGeneralFaction1Achievement	cards	array
WartechGeneralFaction1Achievement	tracksProgress	boolean
WartechGeneralFaction1Achievement	progressForGameDataForPlayerId	unknown
WartechGeneralFaction1Achievement	progressForArmoryTransaction	unknown
WartechGeneralFaction1Achievement	rewardUnlockMessage	unknown
WartechGeneralFaction2Achievement	id	string
WartechGeneralFaction2Achievement	title	unknown
WartechGeneralFaction2Achievement	description	unknown
WartechGeneralFaction2Achievement	progressRequired	number
WartechGeneralFaction2Achievement	rewards	unknown
WartechGeneralFaction2Achievement	cards	array
WartechGeneralFaction2Achievement	tracksProgress	boolean
WartechGeneralFaction2Achievement	progressForGameDataForPlayerId	unknown
WartechGeneralFaction2Achievement	progressForArmoryTransaction	unknown
WartechGeneralFaction2Achievement	rewardUnlockMessage	unknown
WartechGeneralFaction3Achievement	id	string
WartechGeneralFaction3Achievement	title	unknown
WartechGeneralFaction3Achievement	description	unknown
WartechGeneralFaction3Achievement	progressRequired	number
WartechGeneralFaction3Achievement	rewards	unknown
WartechGeneralFaction3Achievement	cards	array
WartechGeneralFaction3Achievement	tracksProgress	boolean
WartechGeneralFaction3Achievement	progressForGameDataForPlayerId	unknown
WartechGeneralFaction3Achievement	progressForArmoryTransaction	unknown
WartechGeneralFaction3Achievement	rewardUnlockMessage	unknown
WartechGeneralFaction4Achievement	id	string
WartechGeneralFaction4Achievement	title	unknown
WartechGeneralFaction4Achievement	description	unknown
WartechGeneralFaction4Achievement	progressRequired	number
WartechGeneralFaction4Achievement	rewards	unknown
WartechGeneralFaction4Achievement	cards	array
WartechGeneralFaction4Achievement	tracksProgress	boolean
WartechGeneralFaction4Achievement	progressForGameDataForPlayerId	unknown
WartechGeneralFaction4Achievement	progressForArmoryTransaction	unknown
WartechGeneralFaction4Achievement	rewardUnlockMessage	unknown
WartechGeneralFaction5Achievement	id	string
WartechGeneralFaction5Achievement	title	unknown
WartechGeneralFaction5Achievement	description	unknown
WartechGeneralFaction5Achievement	progressRequired	number
WartechGeneralFaction5Achievement	rewards	unknown
WartechGeneralFaction5Achievement	cards	array
WartechGeneralFaction5Achievement	tracksProgress	boolean
WartechGeneralFaction5Achievement	progressForGameDataForPlayerId	unknown
WartechGeneralFaction5Achievement	progressForArmoryTransaction	unknown
WartechGeneralFaction5Achievement	rewardUnlockMessage	unknown
WartechGeneralFaction6Achievement	id	string
WartechGeneralFaction6Achievement	title	unknown
WartechGeneralFaction6Achievement	description	unknown
WartechGeneralFaction6Achievement	progressRequired	number
WartechGeneralFaction6Achievement	rewards	unknown
WartechGeneralFaction6Achievement	cards	array
WartechGeneralFaction6Achievement	tracksProgress	boolean
WartechGeneralFaction6Achievement	progressForGameDataForPlayerId	unknown
WartechGeneralFaction6Achievement	progressForArmoryTransaction	unknown
WartechGeneralFaction6Achievement	rewardUnlockMessage	unknown
Action	type	string
Action	changedByModifierIndices	null
Action	isDepthFirst	boolean
Action	manaCost	number
Action	ownerId	null
Action	sourceIndex	null
Action	sourcePosition	null
Action	targetIndex	null
Action	targetPosition	null
Action	timestamp	null
Action	triggeringModifierIndex	null
ActionFactory	actionForType	unknown
ActivateSignatureCardAction	type	string
ActivateSignatureCardAction	targetPlayerId	null
ApplyCardToBoardAction	type	string
ApplyExhaustionAction	type	string
ApplyModifierAction	type	string
AttackAction	type	string
BonusManaAction	type	string
BonusManaCoreAction	type	string
BurnCardAction	type	string
BurnCardAction	burnCard	boolean
CloneEntityAction	type	string
CloneEntityAsTransformAction	type	string
DamageAction	type	string
DamageAsAttackAction	type	string
DieAction	type	string
DrawCardAction	type	string
DrawStartingHandAction	type	string
DrawStartingHandAction	mulliganIndices	null
DrawStartingHandAction	mulliganedHandCardsData	null
DrawStartingHandAction	newHandCardsData	null
DrawToXCardsAction	type	string
DrawToXCardsAction	cardCount	number
EndFollowupAction	type	string
EndTurnAction	type	string
FightAction	type	string
ForcedAttackAction	type	string
GenerateSignatureCardAction	type	string
HealAction	type	string
HurtingDamageAction	type	string
HurtingDamageAction	damageAmount	number
KillAction	type	string
KillAction	damageAmount	null
MoveAction	type	string
PlayCardAction	type	string
PlayCardAsTransformAction	type	string
PlayCardFromHandAction	type	string
PlayCardFromHandAction	overridenManaCost	null
PlayCardSilentlyAction	type	string
PlaySignatureCardAction	type	string
PutCardInDeckAction	type	string
PutCardInDeckAction	targetPlayerId	null
PutCardInHandAction	type	string
RandomDamageAction	type	string
RandomDamageAction	canTargetGenerals	boolean
RandomPlayCardSilentlyAction	type	string
RandomPlayCardSilentlyAction	spawnPattern	null
RandomTeleportAction	type	string
RandomTeleportAction	teleportPattern	null
RefreshArtifactChargesAction	type	string
RefreshArtifactChargesAction	fxResource	array
RefreshExhaustionAction	type	string
RemoveAction	type	string
RemoveArtifactsAction	type	string
RemoveCardFromDeckAction	type	string
RemoveCardFromDeckAction	targetPlayerId	null
RemoveCardFromDeckAction	cardIndex	null
RemoveCardFromHandAction	type	string
RemoveCardFromHandAction	targetPlayerId	null
RemoveCardFromHandAction	indexOfCardInHand	null
RemoveManaCoreAction	type	string
RemoveManaCoreAction	manaAmount	number
RemoveModifierAction	type	string
RemoveRandomArtifactAction	type	string
ReplaceCardFromHandAction	type	string
ResignAction	type	string
RestoreChargeToAllArtifactsAction	type	string
RestoreChargeToAllArtifactsAction	fxResource	array
RestoreManaAction	type	string
RestoreManaAction	restoreManaAmount	number
RevealHiddenCardAction	type	string
RollbackToSnapshotAction	type	string
SetDamageAction	type	string
SetDamageAction	damageValue	number
SetExhaustionAction	type	string
SetExhaustionAction	exhausted	null
SetExhaustionAction	movesMade	null
SetExhaustionAction	attacksMade	null
StartTurnAction	type	string
StopBufferingEventsAction	type	string
SwapGeneralAction	type	string
SwapUnitAllegianceAction	type	string
SwapUnitsAction	type	string
SwapUnitsAction	fxResource	array
TakeAnotherTurnAction	type	string
TeleportAction	type	string
TeleportAction	fxResource	array
TeleportBehindUnitAction	type	string
TeleportInFrontOfUnitAction	type	string
TrueDamageAction	type	string
UpdateSignatureCardAction	type	string
UpdateSignatureCardAction	targetPlayerId	null
AgentActions	_moveUnitType	string
AgentActions	_attackActionType	string
AgentActions	_playCardActionType	string
AgentActions	_playCardFindPositionActionType	string
AgentActions	_playFollowupActionType	string
AgentActions	_tagUnitActionType	string
AgentActions	_speechActionType	string
AgentActions	_instructionActionType	string
