child_class	parent_class	file
BeginnerAbyssianChallenge6	Challenge	app/sdk/challenges/abyssian/BeginnerAbyssianChallenge6.coffee
MediumAbyssianChallenge1	Challenge	app/sdk/challenges/abyssian/MediumAbyssianChallenge1.coffee
ChallengeRemote	Challenge	app/sdk/challenges/challengeRemote.coffee
Instruction	Validator	app/sdk/challenges/instruction.coffee
AdvancedLyonarChallenge1	Challenge	app/sdk/challenges/lyonar/AdvancedLyonarChallenge1.coffee
AdvancedLyonarChallenge2	Challenge	app/sdk/challenges/lyonar/AdvancedLyonarChallenge2.coffee
BeginnerLyonarChallenge1	Challenge	app/sdk/challenges/lyonar/BeginnerLyonarChallenge1.coffee
BeginnerLyonarChallenge2	Challenge	app/sdk/challenges/lyonar/BeginnerLyonarChallenge2.coffee
BeginnerLyonarChallenge3	Challenge	app/sdk/challenges/lyonar/BeginnerLyonarChallenge3.coffee
BeginnerLyonarChallenge4	Challenge	app/sdk/challenges/lyonar/BeginnerLyonarChallenge4.coffee
AdvancedMagmarChallenge1	Challenge	app/sdk/challenges/magmar/AdvancedMagmarChallenge1.coffee
BeginnerMagmarChallenge1	Challenge	app/sdk/challenges/magmar/BeginnerMagmarChallenge1.coffee
BeginnerMagmarChallenge2	Challenge	app/sdk/challenges/magmar/BeginnerMagmarChallenge2.coffee
BeginnerMagmarChallenge3	Challenge	app/sdk/challenges/magmar/BeginnerMagmarChallenge3.coffee
BeginnerMagmarChallenge4	Challenge	app/sdk/challenges/magmar/BeginnerMagmarChallenge4.coffee
MediumMagmarChallenge1	Challenge	app/sdk/challenges/magmar/MediumMagmarChallenge1.coffee
Sandbox	Challenge	app/sdk/challenges/sandbox.coffee
SandboxDeveloper	Sandbox	app/sdk/challenges/sandboxDeveloper.coffee
AdvancedSonghaiChallenge1	Challenge	app/sdk/challenges/songhai/AdvancedSonghaiChallenge1.coffee
BeginnerSonghaiChallenge1	Challenge	app/sdk/challenges/songhai/BeginnerSonghaiChallenge1.coffee
BeginnerSonghaiChallenge2	Challenge	app/sdk/challenges/songhai/BeginnerSonghaiChallenge2.coffee
BeginnerSonghaiChallenge3	Challenge	app/sdk/challenges/songhai/BeginnerSonghaiChallenge3.coffee
BeginnerSonghaiChallenge4	Challenge	app/sdk/challenges/songhai/BeginnerSonghaiChallenge4.coffee
BeginnerSonghaiChallenge5	Challenge	app/sdk/challenges/songhai/BeginnerSonghaiChallenge5.coffee
MediumSonghaiChallenge1	Challenge	app/sdk/challenges/songhai/MediumSonghaiChallenge1.coffee
MediumSonghaiChallenge2	Challenge	app/sdk/challenges/songhai/MediumSonghaiChallenge2.coffee
BeginnerFlyingChallenge1	Challenge	app/sdk/challenges/tutorial/BeginnerFlyingChallenge1.coffee
BeginnerRangedChallenge1	Challenge	app/sdk/challenges/tutorial/BeginnerRangedChallenge1.coffee
LessonOne	Challenge	app/sdk/challenges/tutorial/lesson1.coffee
LessonTwo	Challenge	app/sdk/challenges/tutorial/lesson2.coffee
LessonThree	Challenge	app/sdk/challenges/tutorial/lesson3.coffee
LessonFour	Challenge	app/sdk/challenges/tutorial/lesson4.coffee
AdvancedVanarChallenge1	Challenge	app/sdk/challenges/vanar/AdvancedVanarChallenge1.coffee
AdvancedVanarChallenge2	Challenge	app/sdk/challenges/vanar/AdvancedVanarChallenge2.coffee
BeginnerVanarChallenge1	Challenge	app/sdk/challenges/vanar/BeginnerVanarChallenge1.coffee
BeginnerVanarChallenge2	Challenge	app/sdk/challenges/vanar/BeginnerVanarChallenge2.coffee
BeginnerVanarChallenge3	Challenge	app/sdk/challenges/vanar/BeginnerVanarChallenge3.coffee
BeginnerVanarChallenge4	Challenge	app/sdk/challenges/vanar/BeginnerVanarChallenge4.coffee
BeginnerVanarChallenge5	Challenge	app/sdk/challenges/vanar/BeginnerVanarChallenge5.coffee
AdvancedVetruvianChallenge1	Challenge	app/sdk/challenges/vetruvian/AdvancedVetruvianChallenge1.coffee
AdvancedVetruvianChallenge2	Challenge	app/sdk/challenges/vetruvian/AdvancedVetruvianChallenge2.coffee
BeginnerVetruvianChallenge1	Challenge	app/sdk/challenges/vetruvian/BeginnerVetruvianChallenge1.coffee
BeginnerVetruvianChallenge2	Challenge	app/sdk/challenges/vetruvian/BeginnerVetruvianChallenge2.coffee
BeginnerVetruvianChallenge3	Challenge	app/sdk/challenges/vetruvian/BeginnerVetruvianChallenge3.coffee
BeginnerVetruvianChallenge4	Challenge	app/sdk/challenges/vetruvian/BeginnerVetruvianChallenge4.coffee
BeginnerVetruvianChallenge5	Challenge	app/sdk/challenges/vetruvian/BeginnerVetruvianChallenge5.coffee
MediumVetruvianChallenge1	Challenge	app/sdk/challenges/vetruvian/MediumVetruvianChallenge1.coffee
MediumVetruvianChallenge2	Challenge	app/sdk/challenges/vetruvian/MediumVetruvianChallenge2.coffee
AttackRange	Range	app/sdk/entities/attackRange.coffee
Entity	Card	app/sdk/entities/entity.coffee
MovementRange	Range	app/sdk/entities/movementRange.coffee
Tile	Entity	app/sdk/entities/tile.coffee
Unit	Entity	app/sdk/entities/unit.coffee
_GameSession	SDKObject	app/sdk/gameSession.coffee
GameSessionModifier	PlayerModifier	app/sdk/gameSessionModifiers/gameSessionModifier.coffee
GameSessionModifierFestiveSpirit	GameSessionModifier	app/sdk/gameSessionModifiers/gameSessionModifierFestiveSpirit.coffee
GameTurn	SDKObject	app/sdk/gameTurn.coffee
Modifier	SDKObject	app/sdk/modifiers/modifier.coffee
ModifierATKThresholdDie	Modifier	app/sdk/modifiers/modifierATKThresholdDie.coffee
ModifierAbsorbDamage	Modifier	app/sdk/modifiers/modifierAbsorbDamage.coffee
ModifierAbsorbDamageGolems	Modifier	app/sdk/modifiers/modifierAbsorbDamageGolems.coffee
ModifierAirdrop	Modifier	app/sdk/modifiers/modifierAirdrop.coffee
ModifierAlwaysBackstabbed	Modifier	app/sdk/modifiers/modifierAlwaysBackstabbed.coffee
ModifierAlwaysInfiltrated	Modifier	app/sdk/modifiers/modifierAlwaysInfiltrated.coffee
ModifierAntiMagicField	Modifier	app/sdk/modifiers/modifierAntiMagicField.coffee
ModifierAnyDrawCardWatch	Modifier	app/sdk/modifiers/modifierAnyDrawCardWatch.coffee
ModifierAnyDrawCardWatchBuffSelf	ModifierAnyDrawCardWatch	app/sdk/modifiers/modifierAnyDrawCardWatchBuffSelf.coffee
ModifierAnyMinionHealWatch	Modifier	app/sdk/modifiers/modifierAnyMinionHealWatch.coffee
ModifierAnySummonWatch	Modifier	app/sdk/modifiers/modifierAnySummonWatch.coffee
ModifierAnySummonWatchFromActionBar	Modifier	app/sdk/modifiers/modifierAnySummonWatchFromActionBar.coffee
ModifierAnySummonWatchFromActionBarApplyModifiersToSelf	ModifierAnySummonWatchFromActionBar	app/sdk/modifiers/modifierAnySummonWatchFromActionBarApplyModifiersToSelf.coffee
ModifierAnySummonWatchGainGeneralKeywords	ModifierAnySummonWatch	app/sdk/modifiers/modifierAnySummonWatchGainGeneralKeywords.coffee
ModifierApplyMinionToBoardWatch	Modifier	app/sdk/modifiers/modifierApplyMinionToBoardWatch.coffee
ModifierApplyMinionToBoardWatchApplyModifiersToTarget	ModifierApplyMinionToBoardWatch	app/sdk/modifiers/modifierApplyMinionToBoardWatchApplyModifiersToTarget.coffee
ModifierAttackEqualsHealth	Modifier	app/sdk/modifiers/modifierAttackEqualsHealth.coffee
ModifierAttacksDamageAllEnemyMinions	Modifier	app/sdk/modifiers/modifierAttacksDamageAllEnemyMinions.coffee
ModifierAttacksDealNoDamage	Modifier	app/sdk/modifiers/modifierAttacksDealNoDamage.coffee
ModifierAuraAboveAndBelow	Modifier	app/sdk/modifiers/modifierAuraAboveAndBelow.coffee
ModifierBackstab	Modifier	app/sdk/modifiers/modifierBackstab.coffee
ModifierBackstabWatch	Modifier	app/sdk/modifiers/modifierBackstabWatch.coffee
ModifierBackstabWatchAddCardToHand	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchAddCardToHand.coffee
ModifierBackstabWatchApplyModifiersToTarget	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchApplyModifiersToTarget.coffee
ModifierBackstabWatchApplyPlayerModifiers	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchApplyPlayerModifiers.coffee
ModifierBackstabWatchStealSpellFromDeck	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchStealSpellFromDeck.coffee
ModifierBackstabWatchSummonBackstabMinion	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchSummonBackstabMinion.coffee
ModifierBackstabWatchTransformToBuilding	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchTransformToBuilding.coffee
ModifierBackupGeneral	Modifier	app/sdk/modifiers/modifierBackupGeneral.coffee
ModifierBanded	Modifier	app/sdk/modifiers/modifierBanded.coffee
ModifierBandedDoubleAttack	ModifierBanded	app/sdk/modifiers/modifierBandedDoubleAttack.coffee
ModifierBandedFlying	ModifierFlying	app/sdk/modifiers/modifierBandedFlying.coffee
ModifierBandedHeal	ModifierBanded	app/sdk/modifiers/modifierBandedHeal.coffee
ModifierBandedProvoke	ModifierProvoke	app/sdk/modifiers/modifierBandedProvoke.coffee
ModifierBandedRanged	ModifierRanged	app/sdk/modifiers/modifierBandedRanged.coffee
ModifierBanding	ModifierSituationalBuffSelf	app/sdk/modifiers/modifierBanding.coffee
ModifierBandingApplyModifiers	ModifierBanding	app/sdk/modifiers/modifierBandingApplyModifiers.coffee
ModifierBandingAttack	ModifierBanding	app/sdk/modifiers/modifierBandingAttack.coffee
ModifierBandingAttackAndHealth	ModifierBanding	app/sdk/modifiers/modifierBandingAttackAndHealth.coffee
ModifierBandingChangeCardDraw	ModifierBanding	app/sdk/modifiers/modifierBandingChangeCardDraw.coffee
ModifierBandingDealDamageWatchDrawCard	ModifierBanding	app/sdk/modifiers/modifierBandingDealDamageWatchDrawCard.coffee
ModifierBandingDoubleAttack	ModifierBanding	app/sdk/modifiers/modifierBandingDoubleAttack.coffee
ModifierBandingFlying	ModifierBanding	app/sdk/modifiers/modifierBandingFlying.coffee
ModifierBandingHeal	ModifierBanding	app/sdk/modifiers/modifierBandingHeal.coffee
ModifierBandingHealSelfAndGeneral	ModifierBanding	app/sdk/modifiers/modifierBandingHealSelfAndGeneral.coffee
ModifierBandingProvoke	ModifierBanding	app/sdk/modifiers/modifierBandingProvoke.coffee
ModifierBandingRanged	ModifierBanding	app/sdk/modifiers/modifierBandingRanged.coffee
ModifierBattlePet	Modifier	app/sdk/modifiers/modifierBattlePet.coffee
ModifierBeforeMyAttackWatch	Modifier	app/sdk/modifiers/modifierBeforeMyAttackWatch.coffee
ModifierBelongsToAllRaces	Modifier	app/sdk/modifiers/modifierBelongsToAllRaces.coffee
ModifierBlastAttack	Modifier	app/sdk/modifiers/modifierBlastAttack.coffee
ModifierBlastAttackStrong	ModifierBlastAttack	app/sdk/modifiers/modifierBlastAttackStrong.coffee
ModifierBond	Modifier	app/sdk/modifiers/modifierBond.coffee
ModifierBondApplyModifiers	ModifierBond	app/sdk/modifiers/modifierBondApplyModifiers.coffee
ModifierBondApplyModifiersByRaceId	ModifierBondAplyModifiers	app/sdk/modifiers/modifierBondApplyModifiersByRaceId.coffee
ModifierBondDrawCards	ModifierBond	app/sdk/modifiers/modifierBondDrawCards.coffee
ModifierBondHealMyGeneral	ModifierBond	app/sdk/modifiers/modifierBondHealMyGeneral.coffee
ModifierBondNightshroud	ModifierBond	app/sdk/modifiers/modifierBondNightshroud.coffee
ModifierBondPutCardsInHand	ModifierBond	app/sdk/modifiers/modifierBondPutCardsInHand.coffee
ModifierBondSpawnEntity	ModifierBond	app/sdk/modifiers/modifierBondSpawnEntity.coffee
ModifierBuffSelfOnReplace	Modifier	app/sdk/modifiers/modifierBuffSelfOnReplace.coffee
ModifierBuild	Modifier	app/sdk/modifiers/modifierBuild.coffee
ModifierBuildCompleteApplyModifiersToNearbyAllies	ModifierBuilding	app/sdk/modifiers/modifierBuildCompleteApplyModifiersToNearbyAllies.coffee
ModifierBuildCompleteGainTempMana	ModifierBuilding	app/sdk/modifiers/modifierBuildCompleteGainTempMana.coffee
ModifierBuildCompleteHealGeneral	ModifierBuilding	app/sdk/modifiers/modifierBuildCompleteHealGeneral.coffee
ModifierBuildCompleteReplicateAndSummonDervish	ModifierBuilding	app/sdk/modifiers/modifierBuildCompleteReplicateAndSummonDervish.coffee
ModifierBuildWatch	Modifier	app/sdk/modifiers/modifierBuildWatch.coffee
ModifierBuilding	ModifierStartTurnWatch	app/sdk/modifiers/modifierBuilding.coffee
ModifierBuildingSlowEnemies	ModifierBuilding	app/sdk/modifiers/modifierBuildingSlowEnemies.coffee
ModifierCannot	Modifier	app/sdk/modifiers/modifierCannot.coffee
ModifierCannotAttackGeneral	ModifierCannot	app/sdk/modifiers/modifierCannotAttackGeneral.coffee
ModifierCannotBeRemovedFromHand	ModifierCannot	app/sdk/modifiers/modifierCannotBeRemovedFromHand.coffee
ModifierCannotBeReplaced	ModifierCannot	app/sdk/modifiers/modifierCannotBeReplaced.coffee
ModifierCannotCastBBS	ModifierCannot	app/sdk/modifiers/modifierCannotCastBBS.coffee
ModifierCannotCastSpellsByCost	ModifierCannot	app/sdk/modifiers/modifierCannotCastSpellsByCost.coffee
ModifierCannotDamageGenerals	ModifierCannot	app/sdk/modifiers/modifierCannotDamageGenerals.coffee
ModifierCannotMove	ModifierCannot	app/sdk/modifiers/modifierCannotMove.coffee
ModifierCannotStrikeback	ModifierCannot	app/sdk/modifiers/modifierCannotStrikeback.coffee
ModifierCardControlledPlayerModifiers	Modifier	app/sdk/modifiers/modifierCardControlledPlayerModifiers.coffee
ModifierCollectable	Modifier	app/sdk/modifiers/modifierCollectable.coffee
ModifierCollectableBonusMana	ModifierCollectable	app/sdk/modifiers/modifierCollectableBonusMana.coffee
ModifierCollectableCard	ModifierCollectable	app/sdk/modifiers/modifierCollectableCard.coffee
ModifierCostChangeIfMyGeneralDamagedLastTurn	ModifierMyGeneralDamagedWatch	app/sdk/modifiers/modifierCostChangeIfMyGeneralDamagedLastTurn.coffee
ModifierCostEqualGeneralHealth	Modifier	app/sdk/modifiers/modifierCostEqualGeneralHealth.coffee
ModifierCounter	Modifier	app/sdk/modifiers/modifierCounter.coffee
ModifierCounterBuildProgress	ModifierCounter	app/sdk/modifiers/modifierCounterBuildProgress.coffee
ModifierCounterBuildProgressDescription	Modifier	app/sdk/modifiers/modifierCounterBuildProgressDescription.coffee
ModifierCounterIntensify	ModifierCounter	app/sdk/modifiers/modifierCounterIntensify.coffee
ModifierCounterIntensifyDescription	Modifier	app/sdk/modifiers/modifierCounterIntensifyDescription.coffee
ModifierCounterMechazorBuildProgress	ModifierCounter	app/sdk/modifiers/modifierCounterMechazorBuildProgress.coffee
ModifierCounterMechazorBuildProgressDescription	Modifier	app/sdk/modifiers/modifierCounterMechazorBuildProgressDescription.coffee
ModifierCounterShadowCreep	ModifierCounter	app/sdk/modifiers/modifierCounterShadowCreep.coffee
ModifierCounterShadowCreepDescriptionProgressDescription	Modifier	app/sdk/modifiers/modifierCounterShadowCreepDescription.coffee
ModifierCustomSpawn	Modifier	app/sdk/modifiers/modifierCustomSpawn.coffee
ModifierCustomSpawnOnOtherUnit	ModifierCustomSpawn	app/sdk/modifiers/modifierCustomSpawnOnOtherUnit.coffee
ModifierDamageAreaAttack	Modifier	app/sdk/modifiers/modifierDamageAreaAttack.coffee
ModifierDamageBothGeneralsOnReplace	Modifier	app/sdk/modifiers/modifierDamageBothGeneralsOnReplace.coffee
ModifierDamageGeneralOnAttack	ModifierDealDamageWatch	app/sdk/modifiers/modifierDamageGeneralOnAttack.coffee
