class_name	parent_class	file	methods
Achievement		app/sdk/achievements/achievement.coffee	constructor;progressForCompletingQuestId;progressForGameDataForPlayerId;progressForCrafting;progressForDisenchanting;progressForCardCollection;progressForAchievingRank;progressForArmoryTransaction;progressForReferralEvent;progressForFactionProgression;progressForReceivingCosmeticChest;progressForLoggingIn;getLoginAchievementStartsMoment;rewardUnlockMessage;progressForOpeningSpiritOrb;getId;getTitle;getDescription;getRewards
AchievementsFactory		app/sdk/achievements/achievementsFactory.coffee	_generateCache;achievementForIdentifier;getEnabledAchievementsMap
ShopAchievement	Achievement	app/sdk/achievements/armoryBasedAchievements/bronzeStarterBundleAchievement.coffee	progressForArmoryTransaction
ShopAchievement	Achievement	app/sdk/achievements/armoryBasedAchievements/goldStarterBundleAchievement.coffee	progressForArmoryTransaction
NamasteAchievement	Achievement	app/sdk/achievements/armoryBasedAchievements/namasteAchievement.coffee	progressForArmoryTransaction
ShopAchievement	Achievement	app/sdk/achievements/armoryBasedAchievements/silverStarterBundleAchievement.coffee	progressForArmoryTransaction
WelcomeToCraftingAchievement	Achievement	app/sdk/achievements/craftingBasedAchievements/welcomeToCraftingAchievement.coffee	progressForDisenchanting
BloodbornAchievement	Achievement	app/sdk/achievements/factionProgressBasedAchievements/bloodbornAchievement.coffee	progressForFactionProgression
WorldExplorerAchievement	Achievement	app/sdk/achievements/factionProgressBasedAchievements/worldExplorerAchievement.coffee	progressForFactionProgression
BestOfFriendsAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/bestOfFriendsAchievement.coffee	progressForGameDataForPlayerId
EnteringGauntletAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/enteringGauntletAchievement.coffee	progressForGameDataForPlayerId
HelpingHandAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/helpingHandAchievement.coffee	progressForGameDataForPlayerId
HomeTurfAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/homeTurfAchievement.coffee	progressForGameDataForPlayerId
TheArtOfWarAchievement	Achievement	app/sdk/achievements/gameBasedAchievements/theArtOfWarAchievement.coffee	progressForGameDataForPlayerId
CollectorSupremeAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/collectorSupremeAchievement.coffee	progressForCardCollection
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/earthSisterAchievement.coffee	progressForCardCollection
FirstCosmeticChestAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/firstLootCrateAchievement.coffee	progressForReceivingCosmeticChest
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/lightningSisterAchievement.coffee	progressForCardCollection
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/sandSisterAchievement.coffee	progressForCardCollection
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/shadowSisterAchievement.coffee	progressForCardCollection
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/sunSisterAchievement.coffee	progressForCardCollection
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/swornSisterAchievement.coffee	progressForCardCollection
SisterAchievement	Achievement	app/sdk/achievements/inventoryBasedAchievements/windSisterAchievement.coffee	progressForCardCollection
BNPromoAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/bnPromoAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
ChristmasLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/christmasLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
CoreshatterLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/coreshatterLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
EarlyFeb2018LoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/earlyFeb2018LoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
FathersDayLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/fathersDayLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
FourthOfJulyLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/fourthOfJulyLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
Frostfire2017BonusLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/frostfire2017BonusLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
Frostfire2017LoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/frostfire2017LoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
HalloweenLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/halloweenLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
LaborDayLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/laborDayLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
MemorialDayLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/memorialDayLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
MidAugLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/midAugLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
MidNov2017LoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/midNov2017LoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
NewPlayerGoldLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/newPlayerGoldLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
NewPlayerSpiritLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/newPlayerSpiritLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
SummerLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/summerLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
ThanksgivingLoginAchievement	Achievement	app/sdk/achievements/loginBasedAchievements/thanksgivingLoginAchievement.coffee	progressForLoggingIn;getLoginAchievementStartsMoment
MythronOrb1Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb1Achievement.coffee	progressForOpeningSpiritOrb
MythronOrb2Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb2Achievement.coffee	progressForOpeningSpiritOrb
MythronOrb3Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb3Achievement.coffee	progressForOpeningSpiritOrb
MythronOrb4Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb4Achievement.coffee	progressForOpeningSpiritOrb
MythronOrb5Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb5Achievement.coffee	progressForOpeningSpiritOrb
MythronOrb6Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb6Achievement.coffee	progressForOpeningSpiritOrb
MythronOrb7Achievement	Achievement	app/sdk/achievements/orbOpeningAchievements/mythronOrb7Achievement.coffee	progressForOpeningSpiritOrb
EpicQuestorAchievement	Achievement	app/sdk/achievements/questBasedAchievements/epicQuestorAchievement.coffee	progressForCompletingQuestId
IndomitableSpiritAchievement	Achievement	app/sdk/achievements/questBasedAchievements/indomitableSpiritAchievement.coffee	progressForCompletingQuestId
JourneymanQuestorAchievement	Achievement	app/sdk/achievements/questBasedAchievements/journeymanQuestorAchievement.coffee	progressForCompletingQuestId
LegendaryQuestorAchievement	Achievement	app/sdk/achievements/questBasedAchievements/legendaryQuestorAchievement.coffee	progressForCompletingQuestId
SilverDivisionAchievement	Achievement	app/sdk/achievements/rankBasedAchievements/silverDivisionAchievement.coffee	progressForAchievingRank
FirstReferralPurchase	Achievement	app/sdk/achievements/referralBasedAchievements/firstReferralPurchaseAchievement.coffee	progressForReferralEvent
WartechGeneralFaction1Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction1Achievement.coffee	progressForGameDataForPlayerId;progressForArmoryTransaction;rewardUnlockMessage
WartechGeneralFaction2Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction2Achievement.coffee	progressForGameDataForPlayerId;progressForArmoryTransaction;rewardUnlockMessage
WartechGeneralFaction3Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction3Achievement.coffee	progressForGameDataForPlayerId;progressForArmoryTransaction;rewardUnlockMessage
WartechGeneralFaction4Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction4Achievement.coffee	progressForGameDataForPlayerId;progressForArmoryTransaction;rewardUnlockMessage
WartechGeneralFaction5Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction5Achievement.coffee	progressForGameDataForPlayerId;progressForArmoryTransaction;rewardUnlockMessage
WartechGeneralFaction6Achievement	Achievement	app/sdk/achievements/wartechAchievements/wartechGeneralFaction6Achievement.coffee	progressForGameDataForPlayerId;progressForArmoryTransaction;rewardUnlockMessage
Action	SDKObject	app/sdk/actions/action.coffee	constructor;getPrivateDefaults;getType;getLogName;setOwnerId;getOwnerId;getOwner;isFirstTime;addSignature;setIndex;getIndex;getManaCost;getIsValid;setIsValid;setValidationMessage;getValidationMessage;setValidationMessagePosition;getValidationMessagePosition;setValidatorType;getValidatorType;getIsDepthFirst;setIsDepthFirst;setIsAutomatic;getIsAutomatic;getIncludedRandomness;setIncludedRandomness;getSource;setSource;setSourcePosition;getSourcePosition;setSourceIndex;getSourceIndex;getTarget;setTarget;setTargetPosition;getTargetPosition;setTargetIndex;getTargetIndex;getIsImplicit;setFXResource;getFXResource;_modifyForExecution;_execute;setParentAction;getParentAction;getParentActionIndex;getRootAction;getMatchingAncestorAction;getMatchingResolveAncestorAction;getIsActionMyAncestor;addSubAction;getSubActionsOrderedByEventType;getSubActions;getSubActionsQueue;executeNextOfEventTypeFromAuthoritativeSubActionQueue;getFlattenedActionTree;getSiblingActions;setResolveParentAction;getResolveParentAction;getResolveParentActionIndex;addResolveSubAction;getResolveSubActionsIndices;getResolveSubActions;getResolveSiblingActions;setTriggeringModifier;getTriggeringModifier;getTriggeringModifierIndex;getCreatedByTriggeringModifier;_getModifierIndices;_getResolveModifierIndices;onTriggeredModifier;getTriggeredModifiersData;getTriggeredModifierIndices;getTriggeredModifiers;onResolveTriggeredModifier;getResolveTriggeredModifierIndices;getResolveTriggeredModifiers;onActivatedModifier;getActivatedModifiersData;getActivatedModifierIndices;getActivatedModifiers;onResolveActivatedModifier;getResolveActivatedModifierIndices;getResolveActivatedModifiers;onDeactivatedModifier;getDeactivatedModifiersData;getDeactivatedModifierIndices;getDeactivatedModifiers;onResolveDeactivatedModifier;getResolveDeactivatedModifierIndices;getResolveDeactivatedModifiers;setChangedByModifier;getChangedByModifiers;getChangedByModifierIndices;getChangedByModifier;isRemovableDuringScrubbing;scrubSensitiveData;resetForAuthoritativeExecution;deserialize
ActionFactory		app/sdk/actions/actionFactory.coffee	actionForType
ActivateSignatureCardAction	Action	app/sdk/actions/activateSignatureCardAction.coffee	constructor;isRemovableDuringScrubbing;getTargetPlayer;getTargetPlayerId;_execute
ApplyCardToBoardAction	Action	app/sdk/actions/applyCardToBoardAction.coffee	constructor;getPrivateDefaults;isRemovableDuringScrubbing;getManaCost;setCardDataOrIndex;getCardDataOrIndex;getCard;setCard;getSource;getIsValidApplication;_execute;scrubSensitiveData
ApplyExhaustionAction	Action	app/sdk/actions/applyExhaustionAction.coffee	constructor;_execute
ApplyModifierAction	Action	app/sdk/actions/applyModifierAction.coffee	constructor;getPrivateDefaults;getLogName;setModifierContextObject;getModifierContextObject;getModifier;setParentModifierIndex;getParentModifierIndex;setParentModifier;getParentModifier;setAuraModifierId;getAuraModifierId;_execute;scrubSensitiveData
AttackAction	DamageAction	app/sdk/actions/attackAction.coffee	constructor;getPrivateDefaults;getDamageAmount;setDamageAmount;setIsStrikebackAllowed;getIsStrikebackAllowed;_execute
BonusManaAction	Action	app/sdk/actions/bonusManaAction.coffee	constructor;getBonusMana;_execute
BonusManaCoreAction	Action	app/sdk/actions/bonusManaCoreAction.coffee	constructor;_execute
BurnCardAction	DrawCardAction	app/sdk/actions/burnCardAction.coffee	constructor
CloneEntityAction	PlayCardSilentlyAction	app/sdk/actions/cloneEntityAction.coffee	constructor;getCard
CloneEntityAsTransformAction	CloneEntityAction	app/sdk/actions/cloneEntityAsTransformAction.coffee	constructor
DamageAction	Action	app/sdk/actions/damageAction.coffee	constructor;getPrivateDefaults;getTotalDamageAmount;getDamageAmount;setDamageAmount;getDamageChange;setDamageChange;getFinalDamageChange;setFinalDamageChange;getDamageMultiplier;setDamageMultiplier;changeDamageBy;changeDamageMultiplierBy;changeFinalDamageBy;_execute
DamageAsAttackAction	DamageAction	app/sdk/actions/damageAsAttackAction.coffee	constructor;getDamageAmount
DieAction	RemoveAction	app/sdk/actions/dieAction.coffee	constructor
DrawCardAction	PutCardInHandAction	app/sdk/actions/drawCardAction.coffee	constructor;_execute;getIsDrawFromEmptyDeck;setCardIndexFromDeck;getIsRandomDraw
DrawStartingHandAction	Action	app/sdk/actions/drawStartingHandAction.coffee	constructor;isRemovableDuringScrubbing;_execute;getMulliganIndices;scrubSensitiveData
DrawToXCardsAction	Action	app/sdk/actions/drawToXCardsAction.coffee	constructor;setCardCount;_execute
EndFollowupAction	StopBufferingEventsAction	app/sdk/actions/endFollowupAction.coffee	constructor;isRemovableDuringScrubbing
EndTurnAction	Action	app/sdk/actions/endTurnAction.coffee	constructor;isRemovableDuringScrubbing;_execute
FightAction	Action	app/sdk/actions/fightAction.coffee	constructor;_execute
ForcedAttackAction	AttackAction	app/sdk/actions/forcedAttackAction.coffee	constructor
GenerateSignatureCardAction	Action	app/sdk/actions/generateSignatureCardAction.coffee	constructor;getPrivateDefaults;getCardDataOrIndex;getCard;setCard;isRemovableDuringScrubbing;_execute
HealAction	Action	app/sdk/actions/healAction.coffee	constructor;getPrivateDefaults;getTotalHealAmount;getHealAmount;setHealAmount;getHealChange;setHealChange;getHealMultiplier;setHealMultiplier;getTotalHealApplied;_execute
HurtingDamageAction	TrueDamageAction	app/sdk/actions/hurtingDamageAction.coffee	constructor
KillAction	Action	app/sdk/actions/killAction.coffee	constructor;_execute
MoveAction	Action	app/sdk/actions/moveAction.coffee	constructor;getPrivateDefaults;getPath;_execute
PlayCardAction	ApplyCardToBoardAction	app/sdk/actions/playCardAction.coffee	constructor
PlayCardAsTransformAction	PlayCardSilentlyAction	app/sdk/actions/playCardAsTransformAction.coffee	constructor
PlayCardFromHandAction	PlayCardAction	app/sdk/actions/playCardFromHandAction.coffee	constructor;getPrivateDefaults;overrideCard;getLogName;getManaCost;getIndexOfCardInHand;getCard;_execute
PlayCardSilentlyAction	ApplyCardToBoardAction	app/sdk/actions/playCardSilentlyAction.coffee	constructor;getCard
PlaySignatureCardAction	PlayCardAction	app/sdk/actions/playSignatureCardAction.coffee	constructor;getManaCost;_execute
PutCardInDeckAction	Action	app/sdk/actions/putCardInDeckAction.coffee	constructor;getPrivateDefaults;isRemovableDuringScrubbing;getCardDataOrIndex;getCard;setCard;_execute;scrubSensitiveData
PutCardInHandAction	Action	app/sdk/actions/putCardInHandAction.coffee	constructor;getPrivateDefaults;isRemovableDuringScrubbing;getCardDataOrIndex;getCard;setCard;getIndexOfCardInHand;getIsBurnedCard;_execute;scrubSensitiveData
RandomDamageAction	DamageAction	app/sdk/actions/randomDamageAction.coffee	constructor;_modifyForExecution
RandomPlayCardSilentlyAction	PlayCardSilentlyAction	app/sdk/actions/randomPlayCardSilentlyAction.coffee	constructor;getPrivateDefaults;getSpawnPattern;setSpawnPattern;getPatternSource;setPatternSource;getPatternSourcePosition;setPatternSourcePosition;_modifyForExecution
RandomTeleportAction	TeleportAction	app/sdk/actions/randomTeleportAction.coffee	constructor;getPrivateDefaults;getTeleportPattern;setTeleportPattern;getPatternSource;setPatternSource;getPatternSourcePosition;setPatternSourcePosition;_modifyForExecution
RefreshArtifactChargesAction	Action	app/sdk/actions/refreshArtifactChargesAction.coffee	constructor;_execute
RefreshExhaustionAction	Action	app/sdk/actions/refreshExhaustionAction.coffee	constructor;_execute
RemoveAction	Action	app/sdk/actions/removeAction.coffee	constructor;_execute
RemoveArtifactsAction	Action	app/sdk/actions/removeArtifactsAction.coffee	constructor;_execute
RemoveCardFromDeckAction	Action	app/sdk/actions/removeCardFromDeckAction.coffee	constructor;_execute;getCardIndex;getTargetPlayerId
RemoveCardFromHandAction	Action	app/sdk/actions/removeCardFromHandAction.coffee	constructor;_execute;getIndexOfCardInHand;getTargetPlayerId
RemoveManaCoreAction	Action	app/sdk/actions/removeManaCoreAction.coffee	constructor;_execute;getManaAmount;setManaAmount
RemoveModifierAction	Action	app/sdk/actions/removeModifierAction.coffee	constructor;getPrivateDefaults;getLogName;setModifierIndex;getModifierIndex;setModifier;getModifier;getTargetIndex;getTarget;_execute
RemoveRandomArtifactAction	Action	app/sdk/actions/removeRandomArtifactAction.coffee	constructor;_execute
ReplaceCardFromHandAction	PutCardInHandAction	app/sdk/actions/replaceCardFromHandAction.coffee	constructor;_execute;getIsForcedReplace
ResignAction	DieAction	app/sdk/actions/resignAction.coffee	constructor;isRemovableDuringScrubbing;_execute
RestoreChargeToAllArtifactsAction	Action	app/sdk/actions/restoreChargeToAllArtifactsAction.coffee	constructor;_execute
RestoreManaAction	Action	app/sdk/actions/restoreManaAction.coffee	constructor;setManaAmount;_execute
RevealHiddenCardAction	Action	app/sdk/actions/revealHiddenCardAction.coffee	constructor;getPrivateDefaults;isRemovableDuringScrubbing;getManaCost;setCardData;getCardData;getCard;setCard;getIsValidReveal;_execute
RollbackToSnapshotAction	Action	app/sdk/actions/rollbackToSnapshotAction.coffee	constructor;_execute
SetDamageAction	Action	app/sdk/actions/setDamageAction.coffee	constructor;_execute
SetExhaustionAction	Action	app/sdk/actions/setExhaustionAction.coffee	constructor;setExhausted;getExhausted;setMovesMade;getMovesMade;setAttacksMade;getAttacksMade;_execute
StartTurnAction	Action	app/sdk/actions/startTurnAction.coffee	constructor;isRemovableDuringScrubbing;_execute
StopBufferingEventsAction	Action	app/sdk/actions/stopBufferingEventsAction.coffee	constructor;isRemovableDuringScrubbing;_execute
SwapGeneralAction	Action	app/sdk/actions/swapGeneralAction.coffee	constructor;_execute
SwapUnitAllegianceAction	Action	app/sdk/actions/swapUnitAllegianceAction.coffee	constructor;_execute
SwapUnitsAction	Action	app/sdk/actions/swapUnitsAction.coffee	constructor;_execute
TakeAnotherTurnAction	Action	app/sdk/actions/takeAnotherTurnAction.coffee	constructor;_execute
TeleportAction	Action	app/sdk/actions/teleportAction.coffee	constructor;getIsValidTeleport;_execute
TeleportBehindUnitAction	TeleportAction	app/sdk/actions/teleportBehindUnitAction.coffee	constructor;getPrivateDefaults;_execute
TeleportInFrontOfUnitAction	TeleportAction	app/sdk/actions/teleportInFrontOfUnitAction.coffee	constructor;getPrivateDefaults;_execute
TrueDamageAction	DamageAction	app/sdk/actions/trueDamageAction.coffee	constructor;getTotalDamageAmount
UpdateSignatureCardAction	Action	app/sdk/actions/updateSignatureCardAction.coffee	constructor;isRemovableDuringScrubbing;getTargetPlayer;getTargetPlayerId;_execute
AgentActions		app/sdk/agents/agentActions.coffee	_createBaseAgentAction;_createBaseSoftAgentAction;createAgentActionMoveUnit;createAgentActionAttackWithUnit;createAgentActionPlayCard;createAgentActionPlayCardFindPosition;createAgentActionPlayFollowup;createSDKActionFromAgentAction;createAgentSoftActionTagUnitAtPosition;createAgentSoftActionShowInstructionLabels;executeSoftActionForAgent
BaseAgent		app/sdk/agents/baseAgent.coffee	constructor;addUnitWithTag;getUnitForTag;gatherAgentActionSequenceAfterStep
StaticAgent	BaseAgent	app/sdk/agents/staticAgent.coffee	constructor;addActionForTurn;gatherAgentActionSequenceAfterStep
Artifact	Card	app/sdk/artifacts/artifact.coffee	getPrivateDefaults;setTargetModifiersContextObjects;getTargetModifiersContextObjects;onApplyToBoard
BattleMapTemplate	SDKObject	app/sdk/battleMapTemplate.coffee	constructor;getMapTemplate;getMap;getClouds;getBlueDustColor;getHasWeather;getHasRain;getHasSnow;getHasBlueDust;getHasSunRays;updateWeather;deserialize
Board	SDKObject	app/sdk/board.coffee	constructor;getPrivateDefaults;getCardIndices;getColumnCount;getRowCount;getPositions;getUnobstructedPositions;getUnobstructedPositionsForEntity;getUnobstructedPositionsForEntityAroundEntity;isOnBoard;addCard;removeCard;addUnit;removeUnit;addTile;removeTile;addSpell;removeSpell;getCards;getEntities;getUnits;getTiles;getSpells;getCardAtPosition;getCardsAtPosition;getEntityAtPosition;getEntitiesAtPosition;getUnitAtPosition;getTileAtPosition;getSpellAtPosition;getObstructionAtPosition;getObstructionAtPositionForEntity;getQueuedCardAtPosition;getValidPositionsForModifierSourceType;getValidSpawnPositions;getCardsWithinRadiusOfPosition;getCardsOutsideRadiusOfPosition;getCardsAroundPosition;getCardsNotAroundPosition;getCardsFromPattern;getEntitiesAroundEntity;getEntitiesNotAroundEntity;getEnemyEntitiesAroundEntity;getEnemyEntitiesNotAroundEntity;getFriendlyEntitiesAroundEntity;getFriendlyEntitiesNotAroundEntity;getEnemyEntitiesForEntity;getFriendlyEntitiesForEntity;getEntitiesInColumn;getEntitiesInRow;getEntitiesInfrontOf;getFriendlyEntitiesInfrontOfEntity;getEnemyEntitiesInfrontOfEntity;getIsPositionInfrontOfEntity;getIsPositionBehindEntity;getEntitiesOnCardinalAxisFromEntityToPosition;getFriendlyEntitiesOnCardinalAxisFromEntityToPosition;getEnemyEntitiesOnCardinalAxisFromEntityToPosition;getEntitiesOnEntityStartingSide;getFriendlyEntitiesOnEntityStartingSide;getEnemyEntitiesOnEntityStartingSide
