rsx_key	frameDelay	framePrefix
bossKaneIdle	0.08	boss_kane_idle_
bossKaneRun	0.08	boss_kane_run_
bossKronAttack	0.08	boss_kron_attack_
bossKronBreathing	0.09	boss_kron_breathing_
bossKronDeath	0.08	boss_kron_death_
bossKronHit	0.08	boss_kron_hit_
bossKronIdle	0.08	boss_kron_idle_
bossKronRun	0.08	boss_kron_run_
bossLegionAttack	0.08	boss_legion_attack_
bossLegionBreathing	0.1	boss_legion_breathing_
bossLegionDeath	0.08	boss_legion_death_
bossLegionHit	0.08	boss_legion_hit_
bossLegionIdle	0.08	boss_legion_idle_
bossLegionRun	0.08	boss_legion_run_
bossMalykAttack	0.08	boss_malyk_attack_
bossMalykBreathing	0.12	boss_malyk_breathing_
bossMalykDeath	0.08	boss_malyk_death_
bossMalykHit	0.08	boss_malyk_hit_
bossMalykIdle	0.08	boss_malyk_idle_
bossMalykRun	0.08	boss_malyk_run_
bossManaManAttack	0.08	boss_manaman_attack_
bossManaManBreathing	0.13	boss_manaman_breathing_
bossManaManDamage	0.08	boss_manaman_hit_
bossManaManDeath	0.08	boss_manaman_death_
bossManaManIdle	0.08	boss_manaman_idle_
bossManaManRun	0.08	boss_manaman_run_
bossOriasAttack	0.08	boss_orias_attack_
bossOriasBreathing	0.14	boss_orias_breathing_
bossOriasDeath	0.08	boss_orias_death_
bossOriasHit	0.08	boss_orias_hit_
bossOriasIdle	0.08	boss_orias_idle_
bossOriasIdolAttack	0.08	boss_oriasidol_attack_
bossOriasIdolBreathing	0.1	boss_oriasidol_breathing_
bossOriasIdolDeath	0.08	boss_oriasidol_death_
bossOriasIdolHit	0.08	boss_oriasidol_hit_
bossOriasIdolIdle	0.08	boss_oriasidol_idle_
bossOriasIdolRun	0.08	boss_oriasidol_run_
bossOriasRun	0.08	boss_orias_run_
bossParagonAttack	0.08	boss_paragon_attack_
bossParagonBreathing	0.09	boss_paragon_breathing_
bossParagonDeath	0.08	boss_paragon_death_
bossParagonHit	0.08	boss_paragon_hit_
bossParagonIdle	0.08	boss_paragon_idle_
bossParagonRun	0.08	boss_paragon_run_
bossProtectorAttack	0.08	boss_protector_attack_
bossProtectorBreathing	0.13	boss_protector_breathing_
bossProtectorDamage	0.08	boss_protector_hit_
bossProtectorDeath	0.08	boss_protector_death_
bossProtectorIdle	0.08	boss_protector_idle_
bossProtectorRun	0.08	boss_protector_run_
bossSandPantherAttack	0.08	boss_sandpanther_attack_
bossSandPantherBreathing	0.13	boss_sandpanther_breathing_
bossSandPantherDamage	0.08	boss_sandpanther_hit_
bossSandPantherDeath	0.08	boss_sandpanther_death_
bossSandPantherIdle	0.08	boss_sandpanther_idle_
bossSandPantherRun	0.08	boss_sandpanther_run_
bossSerpentiAttack	0.08	boss_serpenti_attack_
bossSerpentiBreathing	0.09	boss_serpenti_breathing_
bossSerpentiDeath	0.08	boss_serpenti_death_
bossSerpentiHit	0.08	boss_serpenti_hit_
bossSerpentiIdle	0.08	boss_serpenti_idle_
bossSerpentiRun	0.08	boss_serpenti_run_
bossShadowLordAttack	0.08	boss_shadowlord_attack_
bossShadowLordBreathing	0.1	boss_shadowlord_breathing_
bossShadowLordDeath	0.08	boss_shadowlord_death_
bossShadowLordHit	0.08	boss_shadowlord_hit_
bossShadowLordIdle	0.08	boss_shadowlord_idle_
bossShadowLordRun	0.08	boss_shadowlord_run_
bossShinkageZendoAttack	0.08	boss_shinkagezendo_attack_
bossShinkageZendoBreathing	0.09	boss_shinkagezendo_breathing_
bossShinkageZendoDeath	0.08	boss_shinkagezendo_death_
bossShinkageZendoHit	0.08	boss_shinkagezendo_hit_
bossShinkageZendoIdle	0.08	boss_shinkagezendo_idle_
bossShinkageZendoRun	0.08	boss_shinkagezendo_run_
bossSkurgeAttack	0.08	boss_skurge_attack_
bossSkurgeBreathing	0.14	boss_skurge_breathing_
bossSkurgeDeath	0.08	boss_skurge_death_
bossSkurgeHit	0.08	boss_skurge_hit_
bossSkurgeIdle	0.08	boss_skurge_idle_
bossSkurgeProjectile	0.08	boss_skurge_projectile_
bossSkurgeRun	0.08	boss_skurge_run_
bossSkyfallTyrantAttack	0.08	boss_skyfalltyrant_attack_
bossSkyfallTyrantBreathing	0.09	boss_skyfalltyrant_breathing_
bossSkyfallTyrantDeath	0.08	boss_skyfalltyrant_death_
bossSkyfallTyrantHit	0.08	boss_skyfalltyrant_hit_
bossSkyfallTyrantIdle	0.08	boss_skyfalltyrant_idle_
bossSkyfallTyrantRun	0.08	boss_skyfalltyrant_run_
bossSolfistAttack	0.08	boss_solfist_attack_
bossSolfistBreathing	0.1	boss_solfist_breathing_
bossSolfistDeath	0.08	boss_solfist_death_
bossSolfistHit	0.08	boss_solfist_hit_
bossSolfistIdle	0.08	boss_solfist_idle_
bossSolfistRun	0.08	boss_solfist_run_
bossSoulstealerAttack	0.08	boss_soulstealer_attack_
bossSoulstealerBreathing	0.12	boss_soulstealer_breath_
bossSoulstealerDamage	0.08	boss_soulstealer_hit_
bossSoulstealerDeath	0.08	boss_soulstealer_death_
bossSoulstealerIdle	0.08	boss_soulstealer_idle_
bossSoulstealerRun	0.08	boss_soulstealer_crawl_
bossSpelleaterAttack	0.08	boss_spelleater_attack_
bossSpelleaterBreathing	0.1	boss_spelleater_breathing_
bossSpelleaterDeath	0.08	boss_spelleater_death_
bossSpelleaterHit	0.08	boss_spelleater_hit_
bossSpelleaterIdle	0.08	boss_spelleater_idle_
bossSpelleaterRun	0.08	boss_spelleater_run_
bossTaskmasterAttack	0.08	boss_taskmaster_attack_
bossTaskmasterBreathing	0.1	boss_taskmaster_breathing_
bossTaskmasterDeath	0.08	boss_taskmaster_death_
bossTaskmasterHit	0.08	boss_taskmaster_hit_
bossTaskmasterIdle	0.08	boss_taskmaster_idle_
bossTaskmasterRun	0.08	boss_taskmaster_run_
bossTreatDemonAttack	0.08	boss_treatdemon_attack_
bossTreatDemonBreathing	0.09	boss_treatdemon_breathing_
bossTreatDemonDeath	0.08	boss_treatdemon_death_
bossTreatDemonHit	0.08	boss_treatdemon_hit_
bossTreatDemonIdle	0.08	boss_treatdemon_idle_
bossTreatDemonRun	0.08	boss_treatdemon_run_
bossTreatDrakeAttack	0.08	boss_treatdrake_attack_
bossTreatDrakeBreathing	0.09	boss_treatdrake_breathing_
bossTreatDrakeDeath	0.08	boss_treatdrake_death_
bossTreatDrakeHit	0.08	boss_treatdrake_hit_
bossTreatDrakeIdle	0.08	boss_treatdrake_idle_
bossTreatDrakeRun	0.08	boss_treatdrake_run_
bossTreatOniAttack	0.08	boss_treatoni_attack_
bossTreatOniBreathing	0.09	boss_treatoni_breathing_
bossTreatOniDeath	0.08	boss_treatoni_death_
bossTreatOniHit	0.08	boss_treatoni_hit_
bossTreatOniIdle	0.08	boss_treatoni_idle_
bossTreatOniRun	0.08	boss_treatoni_run_
bossUmbraAttack	0.08	boss_umbra_attack_
bossUmbraBreathing	0.13	boss_umbra_breathing_
bossUmbraDeath	0.08	boss_umbra_death_
bossUmbraHit	0.08	boss_umbra_hit_
bossUmbraIdle	0.08	boss_umbra_idle_
bossUmbraRun	0.08	boss_umbra_run_
bossUnhallowedAttack	0.08	boss_unhallowed_attack_
bossUnhallowedBreathing	0.09	boss_unhallowed_breathing_
bossUnhallowedDeath	0.08	boss_unhallowed_death_
bossUnhallowedHit	0.08	boss_unhallowed_hit_
bossUnhallowedIdle	0.08	boss_unhallowed_idle_
bossUnhallowedRun	0.08	boss_unhallowed_run_
bossValiantAttack	0.08	boss_valiant_attack_
bossValiantBreathing	0.13	boss_valiant_breathing_
bossValiantDeath	0.08	boss_valiant_death_
bossValiantHit	0.08	boss_valiant_hit_
bossValiantIdle	0.08	boss_valiant_idle_
bossValiantRun	0.08	boss_valiant_run_
bossVampireAttack	0.08	boss_vampire_attack_
bossVampireBreathing	0.1	boss_vampire_breathing_
bossVampireDeath	0.08	boss_vampire_death_
bossVampireHit	0.08	boss_vampire_hit_
bossVampireIdle	0.08	boss_vampire_idle_
bossVampireRun	0.08	boss_vampire_run_
bossWolfpunchAttack	0.08	boss_wolfpunch_attack_
bossWolfpunchBreathing	0.13	boss_wolfpunch_breathing_
bossWolfpunchDamage	0.08	boss_wolfpunch_hit_
bossWolfpunchDeath	0.08	boss_wolfpunch_death_
bossWolfpunchIdle	0.08	boss_wolfpunch_idle_
bossWolfpunchRun	0.08	boss_wolfpunch_run_
bossWraithAttack	0.08	boss_wraith_attack_
bossWraithBreathing	0.09	boss_wraith_breathing_
bossWraithDeath	0.08	boss_wraith_death_
bossWraithHit	0.08	boss_wraith_hit_
bossWraithIdle	0.08	boss_wraith_idle_
bossWraithRun	0.08	boss_wraith_run_
bossWujinAttack	0.08	boss_wujin_attack_
bossWujinBreathing	0.09	boss_wujin_breathing_
bossWujinDeath	0.08	boss_wujin_death_
bossWujinHit	0.08	boss_wujin_hit_
bossWujinIdle	0.08	boss_wujin_idle_
bossWujinRun	0.08	boss_wujin_run_
critter1Attack	0.08	critter_1_attack_
critter1Breathing	0.11	critter_1_breathing_
critter1Death	0.08	critter_1_death_
critter1Hit	0.08	critter_1_hit_
critter1Idle	0.08	critter_1_idle_
critter1Run	0.08	critter_1_run_
critter2Attack	0.08	critter_2_attack_
critter2Breathing	0.12	critter_2_breathing_
critter2Death	0.08	critter_2_death_
critter2Hit	0.08	critter_2_hit_
critter2Idle	0.08	critter_2_idle_
critter2Run	0.08	critter_2_run_
crittercAttack	0.08	neutral_critterc_attack_
crittercBreathing	0.11	neutral_critterc_breathing_
crittercDeath	0.08	neutral_critterc_death_
crittercHit	0.08	neutral_critterc_hit_
crittercIdle	0.08	neutral_critterc_idle_
crittercRun	0.08	neutral_critterc_run_
critterdAttack	0.08	neutral_critterd_attack_
critterdBreathing	0.11	neutral_critterd_breathing_
critterdDeath	0.08	neutral_critterd_death_
critterdHit	0.08	neutral_critterd_hit_
critterdIdle	0.08	neutral_critterd_idle_
critterdRun	0.08	neutral_critterd_run_
f1AltGeneralAttack	0.08	f1_altgeneral_attack_
f1AltGeneralBreathing	0.12	f1_altgeneral_breathing_
f1AltGeneralCast	0.08	f1_altgeneral_cast_
f1AltGeneralCastEnd	0.08	f1_altgeneral_castend_
f1AltGeneralCastLoop	0.08	f1_altgeneral_castloop_
f1AltGeneralCastStart	0.08	f1_altgeneral_caststart_
f1AltGeneralDeath	0.08	f1_altgeneral_death_
f1AltGeneralHit	0.08	f1_altgeneral_hit_
f1AltGeneralIdle	0.08	f1_altgeneral_idle_
f1AltGeneralRun	0.08	f1_altgeneral_run_
f1AltGeneralTier2Attack	0.08	f1_altgeneraltier2_attack_
f1AltGeneralTier2Breathing	0.12	f1_altgeneraltier2_breathing_
f1AltGeneralTier2Cast	0.08	f1_altgeneraltier2_cast_
f1AltGeneralTier2CastEnd	0.08	f1_altgeneraltier2_castend_
f1AltGeneralTier2CastLoop	0.08	f1_altgeneraltier2_castloop_
f1AltGeneralTier2CastStart	0.08	f1_altgeneraltier2_caststart_
f1AltGeneralTier2Death	0.08	f1_altgeneraltier2_death_
f1AltGeneralTier2Hit	0.08	f1_altgeneraltier2_hit_
f1AltGeneralTier2Idle	0.08	f1_altgeneraltier2_idle_
f1AltGeneralTier2Run	0.08	f1_altgeneraltier2_run_
f1ArchdeaconAttack	0.08	f1_archdeacon_attack_
f1ArchdeaconBreathing	0.09	f1_archdeacon_breathing_
f1ArchdeaconDeath	0.08	f1_archdeacon_death_
f1ArchdeaconHit	0.08	f1_archdeacon_hit_
f1ArchdeaconIdle	0.08	f1_archdeacon_idle_
f1ArchdeaconRun	0.08	f1_archdeacon_run_
f1AuroraLionessAttack	0.08	f1_auroralioness_attack_
f1AuroraLionessBreathing	0.09	f1_auroralioness_breathing_
f1AuroraLionessDeath	0.08	f1_auroralioness_death_
f1AuroraLionessHit	0.08	f1_auroralioness_hit_
f1AuroraLionessIdle	0.08	f1_auroralioness_idle_
f1AuroraLionessRun	0.08	f1_auroralioness_run_
f1AzuriteLionAttack	0.08	f1_azuritelion_attack_
f1AzuriteLionBreathing	0.13	f1_azuritelion_breathing_
f1AzuriteLionDamage	0.08	f1_azuritelion_hit_
f1AzuriteLionDeath	0.08	f1_azuritelion_death_
f1AzuriteLionIdle	0.08	f1_azuritelion_idle_
f1AzuriteLionRun	0.08	f1_azuritelion_run_
f1BaastChampionAttack	0.08	f1_baastchampion_attack_
f1BaastChampionBreathing	0.12	f1_baastchampion_breathing_
f1BaastChampionDeath	0.08	f1_baastchampion_death_
f1BaastChampionHit	0.08	f1_baastchampion_hit_
f1BaastChampionIdle	0.08	f1_baastchampion_idle_
f1BaastChampionRun	0.08	f1_baastchampion_run_
f1BacklineArcherAttack	0.08	f1_backlinearcher_attack_
f1BacklineArcherBreathing	0.09	f1_backlinearcher_breathing_
f1BacklineArcherDeath	0.08	f1_backlinearcher_death_
f1BacklineArcherHit	0.08	f1_backlinearcher_hit_
f1BacklineArcherIdle	0.08	f1_backlinearcher_idle_
f1BacklineArcherProjectile	0.08	f1_backlinearcher_projectile_
f1BacklineArcherRun	0.08	f1_backlinearcher_run_
f1BuildMinionAttack	0.08	f1_buildminion_attack_
f1BuildMinionBreathing	0.12	f1_buildminion_breathing_
f1BuildMinionDeath	0.08	f1_buildminion_death_
f1BuildMinionHit	0.08	f1_buildminion_hit_
f1BuildMinionIdle	0.08	f1_buildminion_idle_
f1CaliberOAttack	0.08	f1_caliber-o_attack_
f1CaliberOBreathing	0.14	f1_caliber-o_breathing_
f1CaliberODamage	0.08	f1_caliber-o_hit_
f1CaliberODeath	0.08	f1_caliber-o_death_
f1CaliberOIdle	0.08	f1_caliber-o_idle_
f1CaliberORun	0.08	f1_caliber-o_run_
f1CasterAttack	0.08	f1_caster_attack_
f1CasterBreathing	0.14	f1_caster_breathing_
f1CasterDamage	0.08	f1_caster_hit_
f1CasterDeath	0.08	f1_caster_death_
f1CasterIdle	0.08	f1_caster_idle_
f1CasterProjectile	0.08	fx_f1casterprojectile_
f1CasterProjectileCharge	0.08	fx_f1casterprojectilecharge_
f1CasterRun	0.07	f1_caster_run_
f1CrestfallenAttack	0.08	f1_sinergyunit_attack_
f1CrestfallenBreathing	0.12	f1_sinergyunit_breathing_
f1CrestfallenDeath	0.08	f1_sinergyunit_death_
f1CrestfallenHit	0.08	f1_sinergyunit_hit_
f1CrestfallenIdle	0.08	f1_sinergyunit_idle_
f1CrestfallenRun	0.08	f1_sinergyunit_run_
f1ElyxStormbladeAttack	0.08	f1_elyxstormblade_attack_
f1ElyxStormbladeBreathing	0.12	f1_elyxstormblade_breathing_
f1ElyxStormbladeDamage	0.08	f1_elyxstormblade_hit_
f1ElyxStormbladeDeath	0.08	f1_elyxstormblade_death_
f1ElyxStormbladeIdle	0.08	f1_elyxstormblade_idle_
f1ElyxStormbladeMK2Attack	0.08	f1_elyxstormblademk2_attack_
f1ElyxStormbladeMK2Breathing	0.12	f1_elyxstormblademk2_breathing_
f1ElyxStormbladeMK2Death	0.08	f1_elyxstormblademk2_death_
f1ElyxStormbladeMK2Hit	0.08	f1_elyxstormblademk2_hit_
f1ElyxStormbladeMK2Idle	0.08	f1_elyxstormblademk2_idle_
f1ElyxStormbladeMK2Run	0.08	f1_elyxstormblademk2_run_
f1ElyxStormbladeRun	0.08	f1_elyxstormblade_run_
f1EnlisteeAttack	0.08	f1_kingsguard_attack_
f1EnlisteeBreathing	0.12	f1_kingsguard_breathing_
f1EnlisteeDeath	0.08	f1_kingsguard_death_
f1EnlisteeHit	0.08	f1_kingsguard_hit_
f1EnlisteeIdle	0.08	f1_kingsguard_idle_
f1EnlisteeRun	0.08	f1_kingsguard_run_
f1ExcelsiousAttack	0.08	f1_excelsious_attack_
f1ExcelsiousBreathing	0.09	f1_excelsious_breathing_
f1ExcelsiousDeath	0.08	f1_excelsious_death_
f1ExcelsiousHit	0.08	f1_excelsious_hit_
f1ExcelsiousIdle	0.08	f1_excelsious_idle_
f1ExcelsiousRun	0.08	f1_excelsious_run_
f1FizAttack	0.08	f1_fiz_attack_
f1FizBreathing	0.09	f1_fiz_breathing_
f1FizDeath	0.08	f1_fiz_death_
f1FizHit	0.08	f1_fiz_hit_
f1FizIdle	0.08	f1_fiz_idle_
f1FizRun	0.08	f1_fiz_run_
f1FriendsGuardAttack	0.08	f1_friendsguard_attack_
f1FriendsGuardBreathing	0.12	f1_friendsguard_breathing_
f1FriendsGuardDeath	0.08	f1_friendsguard_death_
f1FriendsGuardHit	0.08	f1_friendsguard_hit_
f1FriendsGuardIdle	0.08	f1_friendsguard_idle_
f1FriendsGuardRun	0.08	f1_friendsguard_run_
f1GeneralAttack	0.08	f1_general_attack_
f1GeneralBreathing	0.12	f1_general_breathing_
f1GeneralCast	0.08	f1_general_cast_
f1GeneralCastEnd	0.08	f1_general_castend_
f1GeneralCastLoop	0.08	f1_general_castloop_
f1GeneralCastStart	0.08	f1_general_caststart_
f1GeneralDamage	0.08	f1_general_hit_
f1GeneralDeath	0.08	f1_general_death_
f1GeneralIdle	0.08	f1_general_idle_
f1GeneralRogueLegacyAttack	0.08	f1_general_skinroguelegacy_attack_
f1GeneralRogueLegacyBreathing	0.15	f1_general_skinroguelegacy_breathing_
f1GeneralRogueLegacyCast	0.08	f1_general_skinroguelegacy_cast_
f1GeneralRogueLegacyCastEnd	0.08	f1_general_skinroguelegacy_castend_
f1GeneralRogueLegacyCastLoop	0.08	f1_general_skinroguelegacy_castloop_
f1GeneralRogueLegacyCastStart	0.08	f1_general_skinroguelegacy_caststart_
f1GeneralRogueLegacyDamage	0.08	f1_general_skinroguelegacy_hit_
f1GeneralRogueLegacyDeath	0.08	f1_general_skinroguelegacy_death_
f1GeneralRogueLegacyIdle	0.08	f1_general_skinroguelegacy_idle_
f1GeneralRogueLegacyRun	0.07	f1_general_skinroguelegacy_run_
f1GeneralRun	0.08	f1_general_run_
f1GeneralTier2Attack	0.08	f1_tier2general_attack_
f1GeneralTier2Breathing	0.12	f1_tier2general_breathing_
f1GeneralTier2Cast	0.08	f1_tier2general_cast_
f1GeneralTier2CastEnd	0.08	f1_tier2general_castend_
f1GeneralTier2CastLoop	0.08	f1_tier2general_castloop_
f1GeneralTier2CastStart	0.08	f1_tier2general_caststart_
f1GeneralTier2Damage	0.08	f1_tier2general_hit_
f1GeneralTier2Death	0.08	f1_tier2general_death_
f1GeneralTier2Idle	0.08	f1_tier2general_idle_
f1GeneralTier2Run	0.08	f1_tier2general_run_
f1GrandmasterZirAttack	0.08	f1_grandmasterzir_attack_
f1GrandmasterZirBreathing	0.13	f1_grandmasterzir_breathing_
f1GrandmasterZirDamage	0.08	f1_grandmasterzir_hit_
f1GrandmasterZirDeath	0.08	f1_grandmasterzir_death_
f1GrandmasterZirIdle	0.08	f1_grandmasterzir_idle_
f1GrandmasterZirRun	0.08	f1_grandmasterzir_run_
f1GroundbreakerAttack	0.08	f1_groundbreaker_attack_
f1GroundbreakerBreathing	0.09	f1_groundbreaker_breathing_
f1GroundbreakerDeath	0.08	f1_groundbreaker_death_
f1GroundbreakerHit	0.08	f1_groundbreaker_hit_
f1GroundbreakerIdle	0.08	f1_groundbreaker_idle_
f1GroundbreakerRun	0.08	f1_groundbreaker_run_
f1GryphinoxAttack	0.08	f1_gryphinox_attack_
f1GryphinoxBreathing	0.12	f1_gryphinox_breathing_
f1GryphinoxDeath	0.08	f1_gryphinox_death_
f1GryphinoxHit	0.08	f1_gryphinox_hit_
f1GryphinoxIdle	0.08	f1_gryphinox_idle_
f1GryphinoxRun	0.08	f1_gryphinox_run_
f1IVGeneralTier2Attack	0.08	f1_bromemk2_attack_
f1IVGeneralTier2Breathing	0.12	f1_bromemk2_breathing_
f1IVGeneralTier2Cast	0.08	f1_bromemk2_cast_
f1IVGeneralTier2CastEnd	0.08	f1_bromemk2_castend_
f1IVGeneralTier2CastLoop	0.08	f1_bromemk2_castloop_
