card_id	fx_identifier	source
Cards.Faction1.Excelsious	FX.Cards.Faction1.IroncliffeGuardian	app/sdk/cards/factory/bloodstorm/faction1.coffee
Cards.Faction1.Fiz	FX.Cards.Faction1.AzuriteLion	app/sdk/cards/factory/shimzar/faction1.coffee
Cards.Faction1.FriendFighter	FX.Cards.Faction1.RadiantDragoon	app/sdk/cards/factory/coreshatter/faction1.coffee
Cards.Faction1.Friendsguard	FX.Cards.Neutral.GoldenJusticar	app/sdk/cards/factory/coreshatter/faction1.coffee
Cards.Faction1.General	FX.Cards.Faction1.General	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.GrandmasterZir	FX.Cards.Faction1.GrandmasterZir	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.Invincibuddy	FX.Cards.Neutral.BlisteringSkorn	app/sdk/cards/factory/coreshatter/faction1.coffee
Cards.Faction1.IroncliffeGuardian	FX.Cards.Faction1.IroncliffeGuardian	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.IroncliffeMonument	FX.Cards.Neutral.Bastion	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Faction1.KingsGuard	FX.Cards.Faction1.SilverguardSquire	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.Lightchaser	FX.Cards.Faction1.Lightchaser	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.LysianBrawler	FX.Cards.Faction1.LysianBrawler	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.MonumentBuilding	FX.Cards.Neutral.Bastion	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Faction1.Oakenheart	FX.Cards.Neutral.DaggerKiri	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Faction1.OneManArmy	FX.Cards.Faction1.SilverguardSquire	app/sdk/cards/factory/coreshatter/faction1.coffee
Cards.Faction1.Peacekeeper	FX.Cards.Neutral.GolemVanquisher	app/sdk/cards/factory/unity/faction1.coffee
Cards.Faction1.Prominence	FX.Cards.Neutral.GoldenJusticar	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Faction1.PurebladeEnforcer	FX.Cards.Neutral.CrimsonOculus	app/sdk/cards/factory/firstwatch/faction1.coffee
Cards.Faction1.RadiantDragoon	FX.Cards.Faction1.RadiantDragoon	app/sdk/cards/factory/shimzar/faction1.coffee
Cards.Faction1.RightfulHeir	FX.Cards.Neutral.TwilightMage	app/sdk/cards/factory/coreshatter/faction1.coffee
Cards.Faction1.Scintilla	FX.Cards.Faction1.Scintilla	app/sdk/cards/factory/bloodstorm/faction1.coffee
Cards.Faction1.SilverguardKnight	FX.Cards.Faction1.SilverguardKnight	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.SilverguardSquire	FX.Cards.Faction1.SilverguardSquire	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.Slo	FX.Cards.Neutral.Slo	app/sdk/cards/factory/shimzar/faction1.coffee
Cards.Faction1.SolPontiff	FX.Cards.Neutral.BloodshardGolem	app/sdk/cards/factory/unity/faction1.coffee
Cards.Faction1.Solarius	FX.Cards.Faction1.Solarius	app/sdk/cards/factory/shimzar/faction1.coffee
Cards.Faction1.Solpiercer	FX.Cards.Neutral.Solpiercer	app/sdk/cards/factory/firstwatch/faction1.coffee
Cards.Faction1.SunSister	FX.Cards.Faction1.SunSister	app/sdk/cards/factory/monthly/sisters.coffee
Cards.Faction1.SunWisp	FX.Cards.Faction1.SunWisp	app/sdk/cards/factory/shimzar/faction1.coffee
Cards.Faction1.Sunbreaker	FX.Cards.Faction1.Sunriser	app/sdk/cards/factory/bloodstorm/faction1.coffee
Cards.Faction1.SunforgeLancer	FX.Cards.Faction1.SunforgeLancer	app/sdk/cards/factory/shimzar/faction1.coffee
Cards.Faction1.SunriseCleric	FX.Cards.Neutral.DayWatcher	app/sdk/cards/factory/firstwatch/faction1.coffee
Cards.Faction1.Sunriser	FX.Cards.Faction1.Sunriser	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.SunstoneTemplar	FX.Cards.Faction1.SunstoneTemplar	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.SuntideExpert	FX.Cards.Neutral.Grailmaster	app/sdk/cards/factory/coreshatter/faction1.coffee
Cards.Faction1.SuntideMaiden	FX.Cards.Faction1.SuntideMaiden	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.ThirdGeneral	FX.Cards.Faction1.General	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.Vigilator	FX.Cards.Faction1.SilverguardSquire	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Faction1.VigilatorBuilding	FX.Cards.Neutral.Bastion	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Faction1.WarJudicator	FX.Cards.Neutral.GoldenJusticar	app/sdk/cards/factory/firstwatch/faction1.coffee
Cards.Faction1.Warblade	FX.Cards.Neutral.SkyrockGolem	app/sdk/cards/factory/unity/faction1.coffee
Cards.Faction1.Warsmith	FX.Cards.Neutral.Warsmith	app/sdk/cards/factory/wartech/faction1.coffee
Cards.Faction1.WindbladeAdept	FX.Cards.Faction1.WindbladeAdept	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction1.WindbladeCommander	FX.Cards.Faction1.WindbladeCommander	app/sdk/cards/factory/core/faction1.coffee
Cards.Faction2.Ace	FX.Cards.Neutral.PandoraMinionZap	app/sdk/cards/factory/shimzar/faction2.coffee
Cards.Faction2.AltGeneral	FX.Cards.Faction2.RevaEventide	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.Backbreaker	FX.Cards.Neutral.BloodshardGolem	app/sdk/cards/factory/coreshatter/faction2.coffee
Cards.Faction2.BattlePanddo	FX.Cards.Faction2.BattlePanddo	app/sdk/cards/factory/shimzar/faction2.coffee
Cards.Faction2.Calligrapher	FX.Cards.Faction2.JadeOgre	app/sdk/cards/factory/unity/faction2.coffee
Cards.Faction2.CelestialPhantom	FX.Cards.Faction2.CelestialPhantom	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.ChakriAvatar	FX.Cards.Faction2.ChakriAvatar	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.CraneWalker	FX.Cards.Neutral.PutridMindflayer	app/sdk/cards/factory/coreshatter/faction2.coffee
Cards.Faction2.DarkHeart	FX.Cards.Neutral.DarkHeart	app/sdk/cards/factory/coreshatter/faction2.coffee
Cards.Faction2.DuskRigger	FX.Cards.Faction6.WolfAspect	app/sdk/cards/factory/wartech/faction2.coffee
Cards.Faction2.EternityPainter	FX.Cards.Neutral.AstralCrusader	app/sdk/cards/factory/firstwatch/faction2.coffee
Cards.Faction2.Flamewreath	FX.Cards.Faction4.DarkSiren	app/sdk/cards/factory/firstwatch/faction2.coffee
Cards.Faction2.Flareslinger	FX.Cards.Faction2.FlareSlinger	app/sdk/cards/factory/coreshatter/faction2.coffee
Cards.Faction2.General	FX.Cards.Faction2.General	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.Geomancer	FX.Cards.Faction2.MageOfFourWinds	app/sdk/cards/factory/bloodstorm/faction2.coffee
Cards.Faction2.GoreHorn	FX.Cards.Faction2.GoreHorn	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.GrandmasterZendo	FX.Cards.Faction2.GrandmasterZendo	app/sdk/cards/factory/shimzar/faction2.coffee
Cards.Faction2.HamonBlademaster	FX.Cards.Faction2.HamonBlademaster	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.Heartseeker	FX.Cards.Faction2.Heartseeker	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.HundredHand	FX.Cards.Faction2.JadeOgre	app/sdk/cards/factory/firstwatch/faction2.coffee
Cards.Faction2.JadeOgre	FX.Cards.Faction2.JadeOgre	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.KaidoAssassin	FX.Cards.Faction2.KaidoAssassin	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.Katara	FX.Cards.Faction2.Katara	app/sdk/cards/factory/shimzar/faction2.coffee
Cards.Faction2.KeshraiFanblade	FX.Cards.Faction2.KeshraiFanblade	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.KiBeholder	FX.Cards.Faction2.KiBeholder	app/sdk/cards/factory/shimzar/faction2.coffee
Cards.Faction2.Kindling	FX.Cards.Neutral.Kindling	app/sdk/cards/factory/unity/faction2.coffee
Cards.Faction2.LanternFox	FX.Cards.Faction2.LanternFox	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.LightningSister	FX.Cards.Faction2.LightningSister	app/sdk/cards/factory/monthly/sisters.coffee
Cards.Faction2.MageOfFourWinds	FX.Cards.Faction2.MageOfFourWinds	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.ManakiteBuilding	FX.Cards.Neutral.Bastion	app/sdk/cards/factory/wartech/faction2.coffee
Cards.Faction2.ManakiteDrifter	FX.Cards.Neutral.DustWailer	app/sdk/cards/factory/wartech/faction2.coffee
Cards.Faction2.MindCageOni	FX.Cards.Faction2.CelestialPhantom	app/sdk/cards/factory/firstwatch/faction2.coffee
Cards.Faction2.Mizuchi	FX.Cards.Neutral.SpottedDragonlark	app/sdk/cards/factory/firstwatch/faction2.coffee
Cards.Faction2.MoveMan	FX.Cards.Neutral.SunSeer	app/sdk/cards/factory/coreshatter/faction2.coffee
Cards.Faction2.OnyxBear	FX.Cards.Faction2.OnyxBear	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.OnyxJaguar	FX.Cards.Faction2.OnyxJaguar	app/sdk/cards/factory/shimzar/faction2.coffee
Cards.Faction2.PandaPuncher	FX.Cards.Neutral.DeathBlighter	app/sdk/cards/factory/coreshatter/faction2.coffee
Cards.Faction2.Penumbraxx	FX.Cards.Neutral.VoidHunter	app/sdk/cards/factory/wartech/faction2.coffee
Cards.Faction2.PenumbraxxBuilding	FX.Cards.Neutral.Bastion	app/sdk/cards/factory/wartech/faction2.coffee
Cards.Faction2.ScarletViper	FX.Cards.Faction2.ScarletViper	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.ScrollBandit	FX.Cards.Neutral.ProphetWhitePalm	app/sdk/cards/factory/firstwatch/faction2.coffee
Cards.Faction2.SecondSwordSarugi	FX.Cards.Neutral.Eclipse	app/sdk/cards/factory/wartech/faction2.coffee
Cards.Faction2.ShadowSummoner	FX.Cards.Neutral.VineEntangler	app/sdk/cards/factory/coreshatter/faction2.coffee
Cards.Faction2.SonghaiSentinel	FX.Cards.Faction2.KaidoAssassin	app/sdk/cards/factory/firstwatch/faction2.coffee
Cards.Faction2.Sparrowhawk	FX.Cards.Faction2.ScarletViper	app/sdk/cards/factory/unity/faction2.coffee
Cards.Faction2.StormKage	FX.Cards.Faction2.StormKage	app/sdk/cards/factory/core/faction2.coffee
Cards.Faction2.Suzumebachi	FX.Cards.Neutral.ProphetWhitePalm	app/sdk/cards/factory/wartech/faction2.coffee
Cards.Faction2.ThirdGeneral	FX.Cards.Faction2.RevaEventide	app/sdk/cards/factory/core/faction2.coffee
