class	property	serialized_name	direction	file
action	_getResolveModifierIndices	ResolveTriggeredModifierIndices	getter	actions/action.coffee
action	changedByModifierIndices	ChangedByModifierIndices	getter	actions/action.coffee
player	deck	new	deserialize	player.coffee
player	_private	EventReceivingCardsOnBoard	getter	player.coffee
player	getUsername	LogName	getter	player.coffee
player	username	Username	getter	player.coffee
player	playerId	PlayerId	getter	player.coffee
player	lastActionTakenAt	LastActionTakenAt	getter	player.coffee
player	isCurrentPlayer	IsCurrentPlayer	getter	player.coffee
player	isRanked	IsRanked	getter	player.coffee
player	isWinner	IsWinner	getter	player.coffee
player	hasStartingHand	HasStartingHand	getter	player.coffee
player	startingMana	StartingMana	getter	player.coffee
player	remainingMana	BaseRemainingMana	getter	player.coffee
player	lastRemainingMana	LastRemainingMana	getter	player.coffee
player	maximumMana	BaseMaximumMana	getter	player.coffee
player	lastMaximumMana	LastMaximumMana	getter	player.coffee
player	signatureCardActive	IsSignatureCardActive	getter	player.coffee
player	signatureCardIndices	SignatureCardIndices	getter	player.coffee
player	getGameSession	SignatureCards	getter	player.coffee
card	index	Index	getter	cards/card.coffee
card	type	Type	getter	cards/card.coffee
card	id	Id	getter	cards/card.coffee
card	factionId	FactionId	getter	cards/card.coffee
card	raceId	RaceId	getter	cards/card.coffee
card	rarityId	RarityId	getter	cards/card.coffee
card	_private	CardSetId	getter	cards/card.coffee
card	getRarityId	IsUnlockablePrismaticBasic	getter	cards/card.coffee
card	getIsUnlockableBasic	IsUnlockableThroughProgression	getter	cards/card.coffee
card	getIsUnlockableWithAchievement	IsUnlockablePrismaticWithAchievement	getter	cards/card.coffee
card	getIsUnlockableThroughSpiritOrbs	IsUnlockablePrismaticWithSpiritOrbs	getter	cards/card.coffee
card	location	Location	getter	cards/card.coffee
card	isRemoved	IsRemoved	getter	cards/card.coffee
card	isPlayed	IsPlayed	getter	cards/card.coffee
card	appliedToDeckByActionIndex	AppliedToDeckByActionIndex	getter	cards/card.coffee
card	appliedToHandByActionIndex	AppliedToHandByActionIndex	getter	cards/card.coffee
card	appliedToBoardByActionIndex	AppliedToBoardByActionIndex	getter	cards/card.coffee
card	appliedToSignatureCardsByActionIndex	AppliedToSignatureCardsByActionIndex	getter	cards/card.coffee
card	removedFromDeckByActionIndex	RemovedFromDeckByActionIndex	getter	cards/card.coffee
card	removedFromHandByActionIndex	RemovedFromHandByActionIndex	getter	cards/card.coffee
card	removedFromSignatureCardsByActionIndex	RemovedFromSignatureCardsByActionIndex	getter	cards/card.coffee
card	removedFromBoardByActionIndex	RemovedFromBoardByActionIndex	getter	cards/card.coffee
card	getIsPlayed	IsActive	getter	cards/card.coffee
card	getBuffedAttribute	ManaCost	getter	cards/card.coffee
card	manaCost	BaseManaCost	getter	cards/card.coffee
card	getManaCost	ManaCostChange	getter	cards/card.coffee
card	ownerId	OwnerId	getter	cards/card.coffee
card	isOwnedByGameSession	DoesOwnerHaveEnoughManaToPlay	getter	cards/card.coffee
card	canBeAppliedAnywhere	CanBeAppliedAnywhere	getter	cards/card.coffee
card	modifiersContextObjects	ModifiersContextObjects	getter	cards/card.coffee
card	modifierIndices	ModifierIndices	getter	cards/card.coffee
card	getModifiers	HasModifiers	getter	cards/card.coffee
card	getParentCard	IsFollowup	getter	cards/card.coffee
card	getPosition	PositionForFollowupSourcePosition	getter	cards/card.coffee
card	parentCardIndex	ParentCardIndex	getter	cards/card.coffee
card	subCardIndices	SubCardIndices	getter	cards/card.coffee
card	hideAsCardId	HideAsCardId	getter	cards/card.coffee
entity	isGeneral	IsGeneral	getter	entities/entity.coffee
entity	wasGeneral	WasGeneral	getter	entities/entity.coffee
entity	_private	IsBattlePet	getter	entities/entity.coffee
entity	getGameSession	ValidApplyAnywherePositions	getter	entities/entity.coffee
entity	getBaseAttribute	BaseMaxHP	getter	entities/entity.coffee
entity	damage	Damage	getter	entities/entity.coffee
entity	getHP	CanBeHealed	getter	entities/entity.coffee
entity	movesMade	MovesMade	getter	entities/entity.coffee
entity	getIsUncontrollableBattlePet	HasMovesLeft	getter	entities/entity.coffee
entity	attacksMade	AttacksMade	getter	entities/entity.coffee
entity	isOwnersTurn	CanAct	getter	entities/entity.coffee
entity	getSpeed	NeverActs	getter	entities/entity.coffee
entity	exhausted	Exhausted	getter	entities/entity.coffee
entity	isObstructing	IsObstructing	getter	entities/entity.coffee
entity	isTargetable	IsTargetable	getter	entities/entity.coffee
entity	hasActiveModifierClass	IsProvoked	getter	entities/entity.coffee
modifier	_private	Card	getter	modifiers/modifier.coffee
modifier	cardAffectedIndex	CardAffectedIndex	getter	modifiers/modifier.coffee
modifier	isKeyworded	IsKeyworded	getter	modifiers/modifier.coffee
modifier	constructor	IsKeyworded	getter	modifiers/modifier.coffee
modifier	index	Index	getter	modifiers/modifier.coffee
modifier	getCard	Owner	getter	modifiers/modifier.coffee
modifier	modifiersContextObjects	ModifiersContextObjects	getter	modifiers/modifier.coffee
modifier	isInherent	IsInherent	getter	modifiers/modifier.coffee
modifier	isAdditionalInherent	IsAdditionalInherent	getter	modifiers/modifier.coffee
modifier	type	Type	getter	modifiers/modifier.coffee
modifier	isRemoved	IsRemoved	getter	modifiers/modifier.coffee
modifier	cardFXResource	CardFXResource	getter	modifiers/modifier.coffee
modifier	maxStacks	MaxStacks	getter	modifiers/modifier.coffee
modifier	isStacking	IsStacking	getter	modifiers/modifier.coffee
modifier	sourceCardIndex	SourceCardIndex	getter	modifiers/modifier.coffee
modifier	parentModifierIndex	ParentModifierIndex	getter	modifiers/modifier.coffee
modifier	appliedByModifierIndex	AppliedByModifierIndex	getter	modifiers/modifier.coffee
modifier	removedByModifierIndex	RemovedByModifierIndex	getter	modifiers/modifier.coffee
modifier	subModifierIndices	SubModifierIndices	getter	modifiers/modifier.coffee
modifier	isCloneable	IsCloneable	getter	modifiers/modifier.coffee
modifier	appliedByActionIndex	AppliedByActionIndex	getter	modifiers/modifier.coffee
modifier	removedByActionIndex	RemovedByActionIndex	getter	modifiers/modifier.coffee
modifier	triggeredByActionsData	TriggeredByActionsData	getter	modifiers/modifier.coffee
modifier	triggerActionsData	TriggerActionsData	getter	modifiers/modifier.coffee
modifier	triggerAppliedModifiersData	TriggerAppliedModifiersData	getter	modifiers/modifier.coffee
modifier	triggerActivatedModifiersData	TriggerActivatedModifiersData	getter	modifiers/modifier.coffee
modifier	triggerRemovedModifiersData	TriggerRemovedModifiersData	getter	modifiers/modifier.coffee
modifier	triggerDeactivatedModifiersData	TriggerDeactivatedModifiersData	getter	modifiers/modifier.coffee
modifier	attributeBuffs	AttributeBuffs	getter	modifiers/modifier.coffee
modifier	attributeBuffsRebased	RebasesAttributes	getter	modifiers/modifier.coffee
modifier	attributeBuffsAbsolute	BuffsAttributesAbsolutely	getter	modifiers/modifier.coffee
modifier	attributeBuffsFixed	AreAttributesFixed	getter	modifiers/modifier.coffee
modifier	resetsDamage	ResetsDamage	getter	modifiers/modifier.coffee
modifier	getMaxDurability	IsFromArtifact	getter	modifiers/modifier.coffee
modifier	durability	Durability	getter	modifiers/modifier.coffee
modifier	maxDurability	MaxDurability	getter	modifiers/modifier.coffee
modifier	getIsFromArtifact	IsDestroyed	getter	modifiers/modifier.coffee
modifier	isAura	IsAura	getter	modifiers/modifier.coffee
modifier	auraModifierId	AuraModifierId	getter	modifiers/modifier.coffee
modifier	hideAsModifierType	TransformModifierTypeForScrubbing	getter	modifiers/modifier.coffee
