id	name	attack	hp	cost	faction_id	rarity_id	race_id	is_general	abilities	sprite_resource	sound_resource	fx_resource
Cards.Faction5.Drogon	cards.faction_5_unit_drogon_name	5	4	4	Factions.Faction5	Rarity.Legendary	null	false	ModifierSynergizeApplyModifiersToGeneral	f5DrogonBreathing|f5DrogonIdle|f5DrogonRun|f5DrogonAttack|f5DrogonHit|f5DrogonDeath	RSX.sfx_screenshake|RSX.sfx_singe2|RSX.sfx_neutral_earthwalker_attack_swing|RSX.sfx_neutral_earthwalker_hit|RSX.sfx_neutral_earthwalker_attack_impact|RSX.sfx_neutral_earthwalker_death	FX.Cards.Faction5.EarthWalker
Cards.Faction5.Thraex	cards.faction_5_unit_thraex_name	2	4	3	Factions.Faction5	Rarity.Common	null	false	ModifierSynergizeApplyModifiers	f5ThraexBreathing|f5ThraexIdle|f5ThraexRun|f5ThraexAttack|f5ThraexHit|f5ThraexDeath	RSX.sfx_spell_diretidefrenzy|RSX.sfx_singe2|RSX.sfx_neutral_bluetipscorpion_attack_swing|RSX.sfx_neutral_silitharveteran_death|RSX.sfx_f1windbladecommanderattack_impact|RSX.sfx_f6_waterelemental_death	FX.Cards.Neutral.Thraex
Cards.Faction5.Rancour	cards.faction_5_unit_rancour_name	1	3	2	Factions.Faction5	Rarity.Rare	null	false	ModifierMyGeneralDamagedWatchBuffSelfAttackForSame	f5RancourBreathing|f5RancourIdle|f5RancourRun|f5RancourAttack|f5RancourHit|f5RancourDeath	RSX.sfx_screenshake|RSX.sfx_singe2|RSX.sfx_neutral_primordialgazer_attack_swing|RSX.sfx_neutral_primordialgazer_hit|RSX.sfx_neutral_primordialgazer_attack_impact|RSX.sfx_neutral_primordialgazer_death	FX.Cards.Faction5.PrimordialGazer
Cards.Faction5.SpiritOfValknu	cards.faction_5_unit_valknu_spirit_name	2	25	6	Factions.Faction5	Rarity.TokenUnit	null	false	ModifierOnSpawnCopyMyGeneral	f5ValknuSpiritBreathing|f5ValknuSpiritIdle|f5ValknuSpiritRun|f5ValknuSpiritAttack|f5ValknuSpiritHit|f5ValknuSpiritDeath	RSX.sfx_neutral_jaxtruesight_attack_impact|RSX.sfx_singe2|RSX.sfx_f5_unstableleviathan_attack_swing|RSX.sfx_f5_unstableleviathan_hit|RSX.sfx_f5_unstableleviathan_attack_impact|RSX.sfx_f5_unstableleviathan_death	FX.Cards.Faction5.SpiritOfValknu
Cards.Faction6.Myriad	cards.faction_6_unit_myriad_name	3	3	3	Factions.Faction6	Rarity.Common	Races.Vespyr	false	ModifierSynergizeSpawnVanarToken	f6MyriadBreathing|f6MyriadIdle|f6MyriadRun|f6MyriadAttack|f6MyriadHit|f6MyriadDeath	RSX.sfx_summonlegendary|RSX.sfx_unit_run_magical_4|RSX.sfx_f6_voiceofthewind_attack_swing|RSX.sfx_f6_voiceofthewind_attack_impact|RSX.sfx_f6_voiceofthewind_hit|RSX.sfx_f6_voiceofthewind_death	FX.Cards.Faction6.VoiceoftheWind
Cards.Faction6.SleetDasher	cards.faction_6_unit_sleet_dasher_name	3	6	4	Factions.Faction6	Rarity.Rare	null	false	ModifierKillWatchRefreshExhaustion	f6SleetDasherBreathing|f6SleetDasherIdle|f6SleetDasherRun|f6SleetDasherAttack|f6SleetDasherHit|f6SleetDasherDeath	RSX.sfx_spell_amplification|RSX.sfx_neutral_arakiheadhunter_hit|RSX.sfx_f6_boreanbear_attack_swing|RSX.sfx_f6_boreanbear_hit|RSX.sfx_f6_boreanbear_attack_impact|RSX.sfx_f6_boreanbear_death	FX.Cards.Faction6.BoreanBear
Cards.Faction6.GrandmasterEmbla	cards.faction_6_unit_grandmaster_embla_name	5	5	8	Factions.Faction6	Rarity.Legendary	null	false	ModifierOpeningGambitSpawnVanarTokensAroundGeneral	f6EmblaBreathing|f6EmblaIdle|f6EmblaRun|f6EmblaAttack|f6EmblaHit|f6EmblaDeath	RSX.sfx_spell_amplification|RSX.sfx_unit_run_magical_3|RSX.sfx_neutral_sunseer_attack_swing|RSX.sfx_neutral_sunseer_hit|RSX.sfx_neutral_sunseer_attack_impact|RSX.sfx_neutral_sunseer_death	FX.Cards.Faction6.GrandmasterEmbla
Cards.Neutral.Cryptographer	cards.neutral_cryptographer_name	2	2	2	Factions.Neutral	Rarity.Common	null	false	ModifierOpeningGambitRefreshSignatureCard	neutralCryptographerBreathing|neutralCryptographerIdle|neutralCryptographerRun|neutralCryptographerAttack|neutralCryptographerHit|neutralCryptographerDeath	RSX.sfx_ui_booster_packexplode|RSX.sfx_unit_run_magical_3|RSX.sfx_neutral_alcuinloremaster_attack_swing|RSX.sfx_neutral_alcuinloremaster_hit|RSX.sfx_neutral_alcuinloremaster_attack_impact|RSX.sfx_neutral_alcuinloremaster_death	FX.Cards.Neutral.AlcuinLoremaster
Cards.Neutral.Sanguinar	cards.neutral_sanguinar_name	5	4	4	Factions.Neutral	Rarity.Rare	null	false	ModifierCardControlledPlayerModifiers	neutralSanguinarBreathing|neutralSanguinarIdle|neutralSanguinarRun|neutralSanguinarAttack|neutralSanguinarHit|neutralSanguinarDeath	RSX.sfx_unit_deploy|RSX.sfx_singe2|RSX.sfx_neutral_bloodtearalchemist_attack_swing|RSX.sfx_neutral_bloodtearalchemist_hit|RSX.sfx_neutral_bloodtearalchemist_attack_impact|RSX.sfx_neutral_bloodtearalchemist_death	FX.Cards.Neutral.Necroseer
Cards.Neutral.Meltdown	cards.neutral_meltdown_name	6	6	8	Factions.Neutral	Rarity.Legendary	null	false	ModifierSynergizeDamageEnemy	neutralMeltdownBreathing|neutralMeltdownIdle|neutralMeltdownRun|neutralMeltdownAttack|neutralMeltdownHit|neutralMeltdownDeath	RSX.sfx_summonlegendary|RSX.sfx_unit_physical_4|RSX.sfx_f2_jadeogre_attack_swing|RSX.sfx_f6_draugarlord_hit|RSX.sfx_f6_draugarlord_attack_impact|RSX.sfx_f6_draugarlord_death	FX.Cards.Neutral.DarkNemesis
Cards.Faction1.General	cards.faction_1_unit_argeon_name	2	25	0	Factions.Faction1	null	null	true	null	f1GeneralBreathing|f1GeneralIdle|f1GeneralRun|f1GeneralAttack|f1GeneralDamage|f1GeneralDeath|f1GeneralCastStart|f1GeneralCastEnd|f1GeneralCastLoop|f1GeneralCast	RSX.sfx_unit_deploy|RSX.sfx_unit_run_charge_4|RSX.sfx_f1_general_attack_swing|RSX.sfx_f1_general_hit|RSX.sfx_f6_draugarlord_attack_impact|RSX.sfx_f1general_death	FX.Cards.Faction1.General
Cards.Faction1.AltGeneral	cards.faction_1_unit_ziran_name	2	25	0	Factions.Faction1	null	null	true	null	f1AltGeneralBreathing|f1AltGeneralIdle|f1AltGeneralRun|f1AltGeneralAttack|f1AltGeneralHit|f1AltGeneralDeath|f1AltGeneralCastStart|f1AltGeneralCastEnd|f1AltGeneralCastLoop|f1AltGeneralCast	RSX.sfx_unit_deploy|RSX.sfx_singe2|RSX.sfx_neutral_gambitgirl_attack_swing|RSX.sfx_f1elyxstormblade_hit|RSX.sfx_neutral_jaxtruesight_death|RSX.sfx_neutral_pandora_death	FX.Cards.Faction1.ZiranSunforge
Cards.Faction1.ThirdGeneral	cards.faction_1_unit_brome_name	2	25	0	Factions.Faction1	null	null	true	ModifierBanding|ModifierProvoke	f1ThirdGeneralBreathing|f1ThirdGeneralIdle|f1ThirdGeneralRun|f1ThirdGeneralAttack|f1ThirdGeneralHit|f1ThirdGeneralDeath|f1ThirdGeneralCastStart|f1ThirdGeneralCastEnd|f1ThirdGeneralCastLoop|f1ThirdGeneralCast	RSX.sfx_unit_deploy|RSX.sfx_unit_run_charge_4|RSX.sfx_f2_chakriavatar_attack_swing|RSX.sfx_f1_general_hit|RSX.sfx_f6_draugarlord_attack_impact|RSX.sfx_f1general_death	FX.Cards.Faction1.General
Cards.Faction1.SilverguardSquire	cards.faction_1_unit_silverguard_squire_name	1	4	1	Factions.Faction1	Rarity.Common	null	false	null	f1SilverguardSquireBreathing|f1SilverguardSquireIdle|f1SilverguardSquireRun|f1SilverguardSquireAttack|f1SilverguardSquireDamage|f1SilverguardSquireDeath	RSX.sfx_spell_immolation_b|RSX.sfx_singe2|RSX.sfx_f1silverguardsquire_attack_swing|RSX.sfx_f1silverguardsquire_hit|RSX.sfx_f1silverguardsquire_attack_impact|RSX.sfx_f1silverguardsquire_death	FX.Cards.Faction1.SilverguardSquire
Cards.Faction1.WindbladeAdept	cards.faction_1_unit_windblade_adept_name	2	3	2	Factions.Faction1	Rarity.Fixed	null	false	ModifierBandingAttack	f1MeleeBreathing|f1MeleeIdle|f1MeleeRun|f1MeleeAttack|f1MeleeDamage|f1MeleeDeath	RSX.sfx_spell_immolation_b|RSX.sfx_singe2|RSX.sfx_f2melee_attack_swing|RSX.sfx_f2melee_hit|RSX.sfx_f2melee_attack_impact|RSX.sfx_f2melee_death	FX.Cards.Faction1.WindbladeAdept
Cards.Faction1.SuntideMaiden	cards.faction_1_unit_suntide_maiden_name	3	6	4	Factions.Faction1	Rarity.Common	null	false	ModifierBandingHeal	f1SupportBreathing|f1SupportIdle|f1SupportRun|f1SupportAttack|f1SupportDamage|f1SupportDeath	RSX.sfx_spell_immolation_b|RSX.sfx_unit_run_magical_4|RSX.sfx_neutral_gambitgirl_attack_swing|RSX.sfx_neutral_luxignis_hit|RSX.sfx_neutral_jaxtruesight_death|RSX.sfx_neutral_pandora_death	FX.Cards.Faction1.SuntideMaiden
Cards.Faction1.SilverguardKnight	cards.faction_1_unit_silverguard_knight_name	1	5	3	Factions.Faction1	Rarity.Fixed	null	false	ModifierProvoke|ModifierBandingAttack	f1TankBreathing|f1TankIdle|f1TankRun|f1TankAttack|f1TankDamage|f1TankDeath	RSX.sfx_spell_immolation_b|RSX.sfx_unit_run_charge_4|RSX.sfx_f1tank_attack_swing|RSX.sfx_f1tank_hit|RSX.sfx_f1tank_attack_impact|RSX.sfx_f1tank_death	FX.Cards.Faction1.SilverguardKnight
Cards.Faction1.ArclyteSentinel	cards.faction_1_unit_arclyte_sentinel_name	2	4	3	Factions.Faction1	Rarity.Rare	null	false	ModifierOpeningGambit	f1SpecialBreathing|f1SpecialIdle|f1SpecialRun|f1SpecialAttack|f1SpecialDamage|f1SpecialDeath	RSX.sfx_spell_immolation_b|RSX.sfx_unit_run_charge_4|RSX.sfx_f2stormkage_attack_swing|RSX.sfx_f2stormkage_hit|RSX.sfx_f2stormkage_attack_impact|RSX.sfx_f2stormkage_death	FX.Cards.Faction1.ArclyteSentinel
Cards.Faction1.WindbladeCommander	cards.faction_1_unit_second_sun_name	0	8	5	Factions.Faction1	Rarity.Rare	null	false	ModifierBandingAttack	f1WindbladeCommanderBreathing|f1WindbladeCommanderIdle|f1WindbladeCommanderRun|f1WindbladeCommanderAttack|f1WindbladeCommanderDamage|f1WindbladeCommanderDeath	RSX.sfx_spell_immolation_b|RSX.sfx_singe2|RSX.sfx_f1windbladecommander_attack_swing|RSX.sfx_f1windbladecommander_hit|RSX.sfx_f1windbladecommanderattack_impact|RSX.sfx_f1windbladecommander_death	FX.Cards.Faction1.WindbladeCommander
Cards.Faction1.LysianBrawler	cards.faction_1_unit_lysian_brawler_name	4	4	4	Factions.Faction1	Rarity.Fixed	null	false	ModifierTranscendance	f1SilvermaneVanguardBreathing|f1SilvermaneVanguardIdle|f1SilvermaneVanguardRun|f1SilvermaneVanguardAttack|f1SilvermaneVanguardDamage|f1SilvermaneVanguardDeath	RSX.sfx_spell_immolation_b|RSX.sfx_singe2|RSX.sfx_f1lysianbrawler_attack_swing|RSX.sfx_f1lysianbrawler_hit|RSX.sfx_f1lysianbrawler_attack_impact|RSX.sfx_f1lysianbrawler_death	FX.Cards.Faction1.LysianBrawler
Cards.Faction1.Lightchaser	cards.faction_1_unit_lightchaser_name	3	2	2	Factions.Faction1	Rarity.Common	null	false	ModifierHealWatchBuffSelf	f1CasterBreathing|f1CasterIdle|f1CasterRun|f1CasterAttack|f1CasterDamage|f1CasterDeath	RSX.sfx_spell_immolation_b|RSX.sfx_unit_run_charge_4|RSX.sfx_spell_lastingjudgement|RSX.sfx_f1lysianbrawler_hit|RSX.sfx_f1lysianbrawler_attack_impact|RSX.sfx_f1silverguardsquire_death	FX.Cards.Faction1.Lightchaser
Cards.Faction1.SunstoneTemplar	cards.faction_1_unit_sunstone_templar_name	1	4	2	Factions.Faction1	Rarity.Epic	null	false	ModifierDispelOnAttack	f1SunstoneTemplarBreathing|f1SunstoneTemplarIdle|f1SunstoneTemplarRun|f1SunstoneTemplarAttack|f1SunstoneTemplarDamage|f1SunstoneTemplarDeath	RSX.sfx_ui_booster_packexplode|RSX.sfx_singe2|RSX.sfx_f2stormkage_attack_swing|RSX.sfx_f2stormkage_hit|RSX.sfx_f2stormkage_attack_impact|RSX.sfx_f2stormkage_death	FX.Cards.Faction1.SunstoneTemplar
Cards.Faction1.IroncliffeGuardian	cards.faction_1_unit_ironcliffe_guardian_name	3	10	5	Factions.Faction1	Rarity.Rare	null	false	ModifierAirdrop|ModifierProvoke	f1IroncliffeGuardianBreathing|f1IroncliffeGuardianIdle|f1IroncliffeGuardianRun|f1IroncliffeGuardianAttack|f1IroncliffeGuardianDamage|f1IroncliffeGuardianDeath	RSX.sfx_spell_immolation_b|RSX.sfx_unit_run_charge_4|RSX.sfx_f1ironcliffeguardian_attack_swing|RSX.sfx_f1ironcliffeguardian_hit|RSX.sfx_f1ironcliffeguardian_attack_impact|RSX.sfx_f1ironcliffeguardian_death	FX.Cards.Faction1.IroncliffeGuardian
Cards.Faction1.ElyxStormblade	cards.faction_1_unit_elyx_name	7	7	6	Factions.Faction1	Rarity.Legendary	null	false	null	f1ElyxStormbladeBreathing|f1ElyxStormbladeIdle|f1ElyxStormbladeRun|f1ElyxStormbladeAttack|f1ElyxStormbladeDamage|f1ElyxStormbladeDeath	RSX.sfx_summonlegendary|RSX.sfx_singe2|RSX.sfx_f1elyxstormblade_attack_swing|RSX.sfx_f1elyxstormblade_hit|RSX.sfx_f1elyxstormblade_attack_impact|RSX.sfx_f1elyxstormblade_death	FX.Cards.Faction1.ElyxStormblade
Cards.Faction1.Sunriser	cards.faction_1_unit_sunriser_name	3	4	4	Factions.Faction1	Rarity.Epic	null	false	ModifierHealWatchDamageNearbyEnemies	f1SunriserBreathing|f1SunriserIdle|f1SunriserRun|f1SunriserAttack|f1SunriserDamage|f1SunriserDeath	RSX.sfx_ui_booster_packexplode|RSX.sfx_singe2|RSX.sfx_f1_sunriser_attack_swing|RSX.sfx_f1_sunriser_hit_noimpact|RSX.sfx_f1_sunriser_attack_impact|RSX.sfx_f1_sunriser_death_alt	FX.Cards.Faction1.Sunriser
Cards.Faction1.GrandmasterZir	cards.faction_1_unit_grandmaster_zir_name	5	12	7	Factions.Faction1	Rarity.Legendary	null	false	null	f1GrandmasterZirBreathing|f1GrandmasterZirIdle|f1GrandmasterZirRun|f1GrandmasterZirAttack|f1GrandmasterZirDamage|f1GrandmasterZirDeath	RSX.sfx_summonlegendary|RSX.sfx_singe2|RSX.sfx_f1_grandmasterzir_attack_swing|RSX.sfx_f1_grandmasterzir_hit|RSX.sfx_f1_grandmasterzir_attack_impact|RSX.sfx_f1_grandmasterzir_death	FX.Cards.Faction1.GrandmasterZir
Cards.Faction1.AzuriteLion	cards.faction_1_unit_azurite_lion_name	2	3	2	Factions.Faction1	Rarity.Common	null	false	ModifierTranscendance	f1AzuriteLionBreathing|f1AzuriteLionIdle|f1AzuriteLionRun|f1AzuriteLionAttack|f1AzuriteLionDamage|f1AzuriteLionDeath	RSX.sfx_spell_diretidefrenzy|RSX.sfx_neutral_arakiheadhunter_hit|RSX.sfx_neutral_beastsaberspinetiger_attack_swing|RSX.sfx_neutral_beastsaberspinetiger_hit|RSX.sfx_neutral_beastsaberspinetiger_attack_impact|RSX.sfx_neutral_beastsaberspinetiger_death	FX.Cards.Faction1.AzuriteLion
Cards.Faction1.KingsGuard	cards.faction_1_unit_crestfallen_name	1	2	1	Factions.Faction1	Rarity.TokenUnit	null	false	ModifierBandingProvoke	f1CrestfallenBreathing|f1CrestfallenIdle|f1CrestfallenRun|f1CrestfallenAttack|f1CrestfallenHit|f1CrestfallenDeath	RSX.sfx_spell_immolation_b|RSX.sfx_singe2|RSX.sfx_f1silverguardsquire_attack_swing|RSX.sfx_f1silverguardsquire_hit|RSX.sfx_f1silverguardsquire_attack_impact|RSX.sfx_f1silverguardsquire_death	FX.Cards.Faction1.SilverguardSquire
Cards.Faction2.General	cards.faction_2_unit_kaelos_name	2	25	0	Factions.Faction2	null	null	true	null	f2GeneralBreathing|f2GeneralIdle|f2GeneralRun|f2GeneralAttack|f2GeneralDamage|f2GeneralDeath|f2GeneralCastStart|f2GeneralCastEnd|f2GeneralCastLoop|f2GeneralCast	RSX.sfx_unit_deploy_1|RSX.sfx_singe2|RSX.sfx_f2general_attack_swing|RSX.sfx_f2general_hit|RSX.sfx_f2general_attack_impact|RSX.sfx_f2general_death	FX.Cards.Faction2.General
Cards.Faction2.AltGeneral	cards.faction_2_unit_reva_name	2	25	0	Factions.Faction2	null	null	true	null	f2AltGeneralBreathing|f2AltGeneralIdle|f2AltGeneralRun|f2AltGeneralAttack|f2AltGeneralHit|f2AltGeneralDeath|f2AltGeneralCastStart|f2AltGeneralCastEnd|f2AltGeneralCastLoop|f2AltGeneralCast	RSX.sfx_unit_deploy_1|RSX.sfx_neutral_ladylocke_attack_impact|RSX.sfx_f2general_attack_swing|RSX.sfx_f2general_hit|RSX.sfx_f2general_attack_impact|RSX.sfx_f2general_death	FX.Cards.Faction2.RevaEventide
Cards.Faction2.ThirdGeneral	cards.faction_2_unit_shidai_name	2	25	0	Factions.Faction2	null	null	true	null	f2ThirdGeneralBreathing|f2ThirdGeneralIdle|f2ThirdGeneralRun|f2ThirdGeneralAttack|f2ThirdGeneralHit|f2ThirdGeneralDeath|f2ThirdGeneralCastStart|f2ThirdGeneralCastEnd|f2ThirdGeneralCastLoop|f2ThirdGeneralCast	RSX.sfx_unit_deploy_1|RSX.sfx_neutral_ladylocke_attack_impact|RSX.sfx_neutral_whitewidow_attack_swing|RSX.sfx_f2general_hit|RSX.sfx_f2general_attack_impact|RSX.sfx_f2general_death	FX.Cards.Faction2.RevaEventide
Cards.Faction2.Heartseeker	cards.faction_2_unit_heartseeker_name	1	1	1	Factions.Faction2	Rarity.Common	null	false	ModifierRanged	f2CasterBreathing|f2CasterIdle|f2CasterRun|f2CasterAttack|f2CasterDamage|f2CasterDeath	RSX.sfx_spell_deathstrikeseal|RSX.sfx_singe2|RSX.sfx_f1windbladecommander_attack_swing|RSX.sfx_f1windbladecommander_hit|RSX.sfx_f1windbladecommanderattack_impact|RSX.sfx_neutral_gambitgirl_death	FX.Cards.Faction2.Heartseeker
Cards.Faction2.Widowmaker	cards.faction_2_unit_widowmaker_name	2	3	3	Factions.Faction2	Rarity.Fixed	null	false	ModifierRanged	f2RangedBreathing|f2RangedIdle|f2RangedRun|f2RangedAttack|f2RangedDamage|f2RangedDeath	RSX.sfx_spell_deathstrikeseal|RSX.sfx_singe2|RSX.sfx_f1_grandmasterzir_attack_impact|RSX.sfx_neutral_luxignis_hit|RSX.sfx_f1silverguardsquire_attack_impact|RSX.sfx_f1_grandmasterzir_death	FX.Cards.Faction2.Widowmaker
