id	name	cost	faction_id	rarity_id	spell_class	spell_filter_type	can_target_general	damage_amount	heal_amount	radius	target_modifiers	fx_resource	sprite_resource	sound_resource	description
Cards.Spell.GuardBBS	cards.faction_1_spell_conscript_name	1	Factions.Faction1		SpellSpawnEntityInFrontOfGeneral	SpellFilterType.None						FX.Cards.Spell.Conscript	idle:RSX.iconConscriptIdle.name|active:RSX.iconConscriptActive.name	apply:RSX.sfx_loot_crate_reveal.audio	cards.faction_1_spell_conscript_desc
Cards.Spell.SundropElixir	cards.faction_1_spell_sundrop_elixir_name	1	Factions.Faction1	Rarity.Common	SpellHeal	SpellFilterType.NeutralDirect	true		5			FX.Cards.Spell.SundropElixir	idle:RSX.iconSundropElixirIdle.name|active:RSX.iconSundropElixirActive.name	apply:RSX.sfx_spell_lionheartblessing.audio	cards.faction_1_spell_sundrop_elixir_description
Cards.Spell.Tempest	cards.faction_1_spell_tempest_name	2	Factions.Faction1	Rarity.Fixed	SpellDamage	SpellFilterType.NeutralIndirect	true	2		CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.Tempest	idle:RSX.iconTempestIdle.name|active:RSX.iconTempestActive.name	apply:RSX.sfx_spell_heavenstrike.audio	cards.faction_1_spell_tempest_description
Cards.Spell.Decimate	cards.faction_1_spell_decimate_name	4	Factions.Faction1	Rarity.Legendary	SpellDecimate	SpellFilterType.NeutralIndirect				CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.Decimate	idle:RSX.iconDecimateIdle.name|active:RSX.iconDecimateActive.name	apply:RSX.sfx_spell_heavenstrike.audio	cards.faction_1_spell_decimate_description
Cards.Spell.LastingJudgement	cards.faction_1_spell_lasting_judgement_name	2	Factions.Faction1	Rarity.Rare	SpellApplyModifiers						ModifierContextObject(3,-3)	FX.Cards.Spell.LastingJudgement	idle:RSX.iconLastingJudgementIdle.name|active:RSX.iconLastingJudgementActive.name	apply:RSX.sfx_spell_lastingjudgement.audio	cards.faction_1_spell_lasting_judgement_description
Cards.Spell.Martyrdom	cards.faction_1_spell_martyrdom_name	3	Factions.Faction1	Rarity.Fixed	SpellMartyrdom							FX.Cards.Spell.Martyrdom	idle:RSX.iconMartyrdomIdle.name|active:RSX.iconMartyrdomActive.name	apply:RSX.sfx_spell_martyrdom.audio	cards.faction_1_spell_martyrdom_description
Cards.Spell.WarSurge	cards.faction_1_spell_war_surge_name	2	Factions.Faction1	Rarity.Fixed	SpellApplyModifiers	SpellFilterType.AllyIndirect				CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.WarSurge	idle:RSX.iconWarSurgeIdle.name|active:RSX.iconWarSurgeActive.name	apply:RSX.sfx_spell_warsurge.audio	cards.faction_1_spell_war_surge_description
Cards.Spell.LionheartBlessing	cards.faction_1_spell_lionheart_blessing_name	1	Factions.Faction1	Rarity.Rare	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.LionheartBlessing	idle:RSX.iconLionheartBlessingIdle.name|active:RSX.iconLionheartBlessingActive.name	apply:RSX.sfx_spell_lionheartblessing.audio	cards.faction_1_spell_lionheart_blessing_description
Cards.Spell.SunBloom	cards.faction_1_spell_sun_bloom_name	2	Factions.Faction1	Rarity.Common	SpellSilence	SpellFilterType.None						FX.Cards.Spell.SunBloom	idle:RSX.iconSunBloomIdle.name|active:RSX.iconSunBloomActive.name	apply:RSX.sfx_spell_sunbloom.audio	cards.faction_1_spell_sun_bloom_description
Cards.Spell.TrueStrike	cards.faction_1_spell_true_strike_name	1	Factions.Faction1	Rarity.Fixed	SpellDamage	SpellFilterType.NeutralDirect		2				FX.Cards.Spell.TrueStrike	idle:RSX.iconTrueStrikeIdle.name|active:RSX.iconTrueStrikeActive.name	apply:RSX.sfx_spell_truestrike.audio	cards.faction_1_spell_true_strike_description
Cards.Spell.CircleLife	cards.faction_1_spell_circle_of_life_name	5	Factions.Faction1	Rarity.Epic	SpellLifeSurge	SpellFilterType.EnemyDirect		5	5			FX.Cards.Spell.CircleLife	idle:RSX.iconCircleofLifeIdle.name|active:RSX.iconCircleofLifeActive.name	apply:RSX.sfx_neutral_spelljammer_attack_swing.audio	cards.faction_1_spell_circle_of_life_description
Cards.Spell.BeamShock	cards.faction_1_spell_beam_shock_name	0	Factions.Faction1	Rarity.Common	SpellApplyModifiers	SpellFilterType.EnemyDirect	true					FX.Cards.Spell.BeamShock	idle:RSX.iconBeamShockIdle.name|active:RSX.iconBeamShockActive.name	apply:RSX.sfx_neutral_alcuinloremaster_attack_impact.audio	cards.faction_1_spell_beam_shock_description
Cards.Spell.HolyImmolation	cards.faction_1_spell_holy_immolation_name	4	Factions.Faction1	Rarity.Epic	SpellHolyImmolation			4	4			FX.Cards.Spell.HolyImmolation	idle:RSX.iconHolyImmolationIdle.name|active:RSX.iconHolyImmolationActive.name	apply:RSX.sfx_f2_jadeogre_attack_impact.audio	cards.faction_1_spell_holy_immolation_description
Cards.Spell.DivineBond	cards.faction_1_spell_divine_bond_name	3	Factions.Faction1	Rarity.Fixed	SpellBuffAttributeByOtherAttribute	SpellFilterType.NeutralDirect						FX.Cards.Spell.DivineBond	idle:RSX.iconDivineBondIdle.name|active:RSX.iconDivineBondActive.name	apply:RSX.sfx_spell_divinebond.audio	cards.faction_1_spell_divine_bond_description
Cards.Spell.AegisBarrier	cards.faction_1_spell_aegis_barrier_name	1	Factions.Faction1	Rarity.Legendary	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.AegisBarrier	idle:RSX.iconAegisBarrierIdle.name|active:RSX.iconAegisBarrierActive.name	apply:RSX.sfx_spell_forcebarrier.audio	cards.faction_1_spell_aegis_barrier_description
Cards.Spell.AerialRift	cards.faction_1_spell_aerial_rift_name	1	Factions.Faction1	Rarity.Epic	SpellApplyPlayerModifiers	SpellFilterType.None						FX.Cards.Spell.AerialRift	idle:RSX.iconAerialRiftIdle.name|active:RSX.iconAerialRiftActive.name	apply:RSX.sfx_spell_naturalselection.audio	cards.faction_1_spell_aerial_rift_description
Cards.Spell.Magnetize	cards.faction_1_spell_magnetize_name	1	Factions.Faction1	Rarity.Rare	SpellKneel							FX.Cards.Spell.Magnetize	idle:RSX.iconMagnetizeIdle.name|active:RSX.iconMagnetizeActive.name	apply:RSX.sfx_spell_naturalselection.audio	cards.faction_1_spell_magnetize_description
Cards.Spell.Blink	cards.faction_2_spell_blink_name	1	Factions.Faction2			SpellFilterType.AllyDirect						FX.Cards.Spell.Blink	idle:RSX.iconBlinkIdle.name|active:RSX.iconBlinkActive.name	apply:RSX.sfx_loot_crate_reveal.audio	cards.faction_2_spell_blink_description
Cards.Spell.ArcaneHeart	cards.faction_2_spell_arcane_heart_name	1	Factions.Faction2		SpellSpawnEntityNearbyGeneral							FX.Cards.Spell.ArcaneHeart	idle:RSX.iconTwilightSurgeIdle.name|active:RSX.iconTwilightSurgeActive.name	apply:RSX.sfx_spell_graspofagony.audio	cards.faction_2_spell_arcane_heart_description
Cards.Spell.SwordsBBS	cards.faction_2_spell_petal_flurry_name	1	Factions.Faction2	Rarity.TokenUnit	SpellSwordsBBS							FX.Cards.Spell.PetalFlurry	idle:RSX.iconPetalFlurryIdle.name|active:RSX.iconPetalFlurryActive.name	apply:RSX.sfx_loot_crate_reveal.audio	cards.faction_2_spell_petal_flurry_desc
Cards.Spell.SpellSword1	cards.faction_2_spell_murasame_name	1	Factions.Faction2	Rarity.TokenUnit	SpellDrawCardEndOfTurn							FX.Cards.Spell.Murasame	idle:RSX.iconSpellSword1Idle.name|active:RSX.iconSpellSword1Active.name	apply:RSX.sfx_spell_truestrike.audio	cards.faction_2_spell_murasame_desc
Cards.Spell.SpellSword2	cards.faction_2_spell_kiyomori_name	1	Factions.Faction2	Rarity.TokenUnit	SpellApplyModifiersToGeneral	SpellFilterType.None					ModifierContextObject()	FX.Cards.Spell.Kiyomori	idle:RSX.iconSpellSword2Idle.name|active:RSX.iconSpellSword2Active.name	apply:RSX.sfx_spell_truestrike.audio	cards.faction_2_spell_kiyomori_desc
Cards.Spell.SpellSword3	cards.faction_2_spell_tanahashi_name	1	Factions.Faction2	Rarity.TokenUnit		SpellFilterType.EnemyDirect						FX.Cards.Spell.Tanahashi	idle:RSX.iconSpellSword3Idle.name|active:RSX.iconSpellSword3Active.name	apply:RSX.sfx_spell_truestrike.audio	cards.faction_2_spell_tanahashi_desc
Cards.Spell.SpellSword4	cards.faction_2_spell_kotetsu_name	1	Factions.Faction2	Rarity.TokenUnit	SpellApplyModifiers	SpellFilterType.AllyDirect	true					FX.Cards.Spell.Kotetsu	idle:RSX.iconSpellSword4Idle.name|active:RSX.iconSpellSword4Active.name	apply:RSX.sfx_spell_truestrike.audio	cards.faction_2_spell_kotetsu_desc
Cards.Spell.SaberspineSeal	cards.faction_2_spell_saberspine_seal_name	2	Factions.Faction2	Rarity.Fixed	SpellApplyModifiers		true					FX.Cards.Spell.SaberspineSeal	idle:RSX.iconSaberspineSealIdle.name|active:RSX.iconSaberspineSealActive.name	apply:RSX.sfx_f2tank_death.audio	cards.faction_2_spell_saberspine_seal_description
Cards.Spell.MistDragonSeal	cards.faction_2_spell_mist_dragon_seal_name	1	Factions.Faction2	Rarity.Common	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.MistDragonSeal	idle:RSX.iconMistdragonSealIdle.name|active:RSX.iconMistdragonSealActive.name	apply:RSX.sfx_spell_mistdragonseal_alt.audio	cards.faction_2_spell_mist_dragon_seal_description
Cards.Spell.PhoenixFire	cards.faction_2_spell_phoenix_fire_name	2	Factions.Faction2	Rarity.Fixed	SpellDamage	SpellFilterType.NeutralDirect	true	3				FX.Cards.Spell.PhoenixFire	idle:RSX.iconPhoenixFire2Idle.name|active:RSX.iconPhoenixFire2Active.name	apply:RSX.sfx_spell_phoenixfire.audio	cards.faction_2_spell_phoenix_fire_description
Cards.Spell.KageLightning	cards.faction_2_spell_kage_lightning_name	2	Factions.Faction2		SpellDamage	SpellFilterType.EnemyDirect		5				FX.Cards.Spell.KageLightning	idle:RSX.iconKageLightningIdle.name|active:RSX.iconKageLightningActive.name	apply:RSX.sfx_spell_ghostlightning.audio	cards.faction_2_spell_kage_lightning_description
Cards.Spell.TwinStrike	cards.faction_2_spell_twin_strike_name	3	Factions.Faction2	Rarity.Common	SpellTwinStrike	SpellFilterType.EnemyIndirect		2		CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.TwinStrike	idle:RSX.iconTwinStrikeIdle.name|active:RSX.iconTwinStrikeActive.name	apply:RSX.sfx_spell_twinstrike.audio	cards.faction_2_spell_twin_strike_description
Cards.Spell.EightGates	cards.faction_2_spell_eight_gates_name	2	Factions.Faction2	Rarity.Legendary	SpellApplyPlayerModifiers	SpellFilterType.None					ModifierSpellDamageModifier()	FX.Cards.Spell.EightGates	idle:RSX.iconEightGatesIdle.name|active:RSX.iconEightGatesActive.name	apply:RSX.sfx_neutral_chaoselemental_attack_swing.audio	cards.faction_2_spell_eight_gates_description
Cards.Spell.SpiralTechnique	cards.faction_2_spell_spiral_technique_name	8	Factions.Faction2	Rarity.Epic	SpellDamage	SpellFilterType.NeutralDirect	true	8				FX.Cards.Spell.SpiralTechnique	idle:RSX.iconSpiralTechniqueIdle.name|active:RSX.iconSpiralTechniqueActive.name	apply:RSX.sfx_spell_spiraltechnique.audio	cards.faction_2_spell_spiral_technique_description
Cards.Spell.ManaVortex	cards.faction_2_spell_mana_vortex_name	0	Factions.Faction2	Rarity.Rare	SpellApplyPlayerModifiers	SpellFilterType.None						FX.Cards.Spell.ManaVortex	idle:RSX.iconManaVortexIdle.name|active:RSX.iconManaVortexActive.name	apply:RSX.sfx_spell_manavortex.audio	cards.faction_2_spell_mana_vortex_description
Cards.Spell.InnerFocus	cards.faction_2_spell_inner_focus_name	1	Factions.Faction2	Rarity.Fixed	SpellInnerFocus							FX.Cards.Spell.InnerFocus	idle:RSX.iconInnerFocusIdle.name|active:RSX.iconInnerFocusActive.name	apply:RSX.sfx_spell_innerfocus.audio	cards.faction_2_spell_inner_focus_description
Cards.Spell.OnyxBearSeal	cards.faction_2_spell_onyx_bear_seal_name	3	Factions.Faction2	Rarity.Epic	SpellRemoveAndReplaceEntity	SpellFilterType.EnemyDirect						FX.Cards.Spell.OnyxBearSeal	idle:RSX.iconOnyxbearSealIdle.name|active:RSX.iconOnyxbearSealActive.name	apply:RSX.sfx_spell_onyxbearseal.audio	cards.faction_2_spell_onyx_bear_seal_description
Cards.Spell.GhostLightning	cards.faction_2_spell_ghost_lightning_name	1	Factions.Faction2	Rarity.Fixed	SpellDamage	SpellFilterType.EnemyIndirect		1		CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.GhostLightning	idle:RSX.iconGhostLightningIdle.name|active:RSX.iconGhostLightningActive.name	apply:RSX.sfx_spell_ghostlightning.audio	cards.faction_2_spell_ghost_lightning_description
Cards.Spell.DeathstrikeSeal	cards.faction_2_spell_deathstrike_seal_name	2	Factions.Faction2	Rarity.Rare	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.DeathstrikeSeal	idle:RSX.iconDeathstrikeSealIdle.name|active:RSX.iconDeathstrikeSealActive.name	apply:RSX.sfx_spell_deathstrikeseal.audio	cards.faction_2_spell_deathstrike_seal_description
Cards.Spell.AncestralDivination	cards.faction_2_spell_ancestral_divination_name	4	Factions.Faction2	Rarity.Common	SpellAncestralDivination	SpellFilterType.None						FX.Cards.Spell.AncestralDivination	idle:RSX.iconAncestralPactIdle.name|active:RSX.iconAncestralPactActive.name	apply:RSX.sfx_neutral_crossbones_attack_swing.audio	cards.faction_2_spell_ancestral_divination_description
Cards.Spell.Juxtaposition	cards.faction_2_spell_juxtaposition_name	0	Factions.Faction2	Rarity.Epic	SpellJuxtaposition	SpellFilterType.NeutralDirect						FX.Cards.Spell.Juxtaposition	idle:RSX.iconJuxtapositionIdle.name|active:RSX.iconJuxtapositionActive.name	apply:RSX.sfx_neutral_crossbones_attack_swing.audio	cards.faction_2_spell_juxtaposition_description
Cards.Spell.ArtifactDefiler	cards.faction_2_spell_artifact_defiler_name	2	Factions.Faction2	Rarity.Common	SpellRemoveArtifacts							FX.Cards.Spell.ArtifactDefiler	idle:RSX.iconArtifactDefilerIdle.name|active:RSX.iconArtifactDefilerActive.name	apply:RSX.sfx_f6_voiceofthewind_attack_impact.audio	cards.faction_2_spell_artifact_defiler_description
Cards.Spell.HeavensEclipse	cards.faction_2_spell_heavens_eclipse_name	5	Factions.Faction2	Rarity.Legendary	SpellHeavensEclipse							FX.Cards.Spell.HeavensEclipse	idle:RSX.iconHeavensEclipseIdle.name|active:RSX.iconHeavensEclipseActive.name	apply:RSX.sfx_spell_immolation_a.audio	cards.faction_2_spell_heavens_eclipse_description
Cards.Spell.MistWalking	cards.faction_2_spell_mist_walking_name	1	Factions.Faction2	Rarity.Rare	SpellMistWalking							FX.Cards.Spell.MistWalking	idle:RSX.iconMistWalkingIdle.name|active:RSX.iconMistWalkingActive.name	apply:RSX.sfx_neutral_crossbones_attack_swing.audio	cards.faction_2_spell_mist_walking_description
Cards.Spell.KillingEdge	cards.faction_2_spell_killing_edge_name	3	Factions.Faction2	Rarity.Fixed	SpellKillingEdge	SpellFilterType.AllyDirect						FX.Cards.Spell.KillingEdge	idle:RSX.iconKillingEdgeIdle.name|active:RSX.iconKillingEdgeActive.name	apply:RSX.sfx_spell_twinstrike.audio	cards.faction_2_spell_killing_edge_description
Cards.Spell.WindShroud	cards.faction_3_spell_iron_shroud_name	1	Factions.Faction3		SpellWindShroud							FX.Cards.Spell.WindShroud	idle:RSX.iconWindShroudIdle.name|active:RSX.iconWindShroudActive.name	apply:RSX.sfx_spell_starsfury.audio	cards.faction_3_spell_iron_shroud_description
Cards.Spell.PsionicStrike	cards.faction_3_spell_psionic_strike_name	1	Factions.Faction3		SpellApplyModifiersToGeneral	SpellFilterType.None					ModifierContextObject(-2,0)	FX.Cards.Spell.PsionicStrike	idle:RSX.iconPsionicRecallIdle.name|active:RSX.iconPsionicRecallActive.name	apply:RSX.sfx_neutral_songweaver_attack_impact.audio	cards.faction_3_spell_psionic_strike_description
Cards.Spell.DebuffBBS	cards.faction_3_spell_decension_name	1	Factions.Faction3		SpellApplyModifiers	SpellFilterType.EnemyDirect	false				ModifierContextObject(-2,0)	FX.Cards.Spell.Decension	idle:RSX.iconDecensionIdle.name|active:RSX.iconDecensionActive.name	apply:RSX.sfx_neutral_songweaver_attack_impact.audio	cards.faction_3_spell_decension_desc
Cards.Spell.Enslave	cards.faction_3_spell_dominate_will_name	7	Factions.Faction3	Rarity.Rare	SpellEnslave							FX.Cards.Spell.Enslave	idle:RSX.iconEnslaveIdle.name|active:RSX.iconEnslaveActive.name	apply:RSX.sfx_spell_voidpulse.audio	cards.faction_3_spell_dominate_will_description
Cards.Spell.SiphonEnergy	cards.faction_3_spell_siphon_energy_name	0	Factions.Faction3	Rarity.Common	SpellApplyModifiers	SpellFilterType.EnemyDirect						FX.Cards.Spell.SiphonEnergy	idle:RSX.iconSiphonEnergyIdle.name|active:RSX.iconSiphonEnergyActive.name	apply:RSX.sfx_spell_tranquility.audio	cards.faction_3_spell_siphon_energy_description
Cards.Spell.CosmicFlesh	cards.faction_3_spell_cosmic_flesh_name	2	Factions.Faction3	Rarity.Fixed	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.CosmicFlesh	idle:RSX.iconCosmicFleshIdle.name|active:RSX.iconCosmicFleshActive.name	apply:RSX.sfx_spell_cosmicflesh.audio	cards.faction_3_spell_cosmic_flesh_description
Cards.Spell.Blindscorch	cards.faction_3_spell_blindscorch_name	1	Factions.Faction3	Rarity.Fixed	SpellApplyModifiers							FX.Cards.Spell.Blindscorch	idle:RSX.iconBlindScorchIdle.name|active:RSX.iconBlindScorchActive.name	apply:RSX.sfx_spell_blindscorch.audio	cards.faction_3_spell_blindscorch_description
