namespace	key	value_en	has_params
achievements	sand_sister_desc	By earning 3 copies of six Vetruvian Rare Cards, you've unlocked the Sand Sister!	false
achievements	shadow_sister_title	Shadow Sister	false
achievements	shadow_sister_desc	By earning 3 copies of six Abyssian Rare Cards, you've unlocked the Shadow Sister!	false
achievements	sun_sister_title	Sun Sister	false
achievements	sun_sister_desc	By earning 3 copies of six Lyonar Rare Cards, you've unlocked the Sun Sister!	false
achievements	sworn_sister_title	Sworn Sister	false
achievements	sworn_sister_desc	By earning 3 copies of six Neutral Rare Cards, you've unlocked the Sworn Sister!	false
achievements	wind_sister_title	Wind Sister	false
achievements	wind_sister_desc	By earning 3 copies of six Vanar Rare Cards, you've unlocked the Wind Sister!	false
achievements	epic_questor_title	Epic Questor	false
achievements	epic_questor_desc	Epic! Enjoy your awesome hard-to-get EPIC rarity card. You've earned it!	false
achievements	indomitable_spirit_title	Indomitable Spirit	false
achievements	indomitable_spirit_desc	Exalted Questor! Bonus 100 Gold as we honor your dedication and indomitable spirit!	false
achievements	journeyman_questor_title	Journeyman Questor	false
achievements	journeyman_questor_desc	Congratulations on completing your first Quest! Enjoy this amazing EPIC rarity card to boost your Collection!	false
achievements	legendary_questor_title	Legendary Questor	false
achievements	legendary_questor_desc	Legendary! Enjoy your amazing hard-to-get LEGENDARY rarity card. You've earned it!	false
achievements	silver_division_title	Welcome to Silver Division	false
achievements	silver_division_desc	Now comes the next challenge -- climbing the ladder to Gold Division! A bonus Spirit Orb to help you on your way!	false
achievements	referral_title	Exclusive Referral Emote	false
achievements	referral_desc	One of your referred friends just made a purchase!	false
achievements	wartech_general_achievement_title	{{faction_name}} Immortal Vanguard	true
achievements	wartech_general_achievement_desc	Congratulations on unlocking the {{faction_name}} Immortal Vanguard General!	true
achievements	early_feb_2018_login_achievement_title	Celebrate Valentine's Day with Duelyst <3	false
achievements	early_feb_2018_login_achievement_desc	A special gift because we love you!	false
battle	finding_game	Searching	false
battle	starting_practice_game	Starting	false
battle	loading_battle	Loading Battle	false
battle	existing_battle_in_progress	Game in Progress	false
battle	continue_battle_button_label	Continue	false
battle	choose_starting_hand_title	Choose Starting Hand	false
battle	choose_starting_hand_instructions	Click to replace up to 2 cards.	false
battle	choose_starting_hand_confirm_button_label	Confirm	false
battle	opponent_connection_status_connecting	Opponent connecting	false
battle	opponent_connection_status_connected	Opponent connected	false
battle	replace_button_label	Replace	false
battle	hand_indicator_label	Hand	false
battle	deck_indicator_label	Deck	false
battle	emote_category_default	Default	false
battle	emote_category_faction	Faction	false
battle	emote_category_other	Other	false
battle	your_name_default_label	You	false
battle	opponent_name_default_label	Opponent	false
battle	battle_log_label	Battlelog	false
battle	turn_button_label_enemy_turn	Enemy Turn	false
battle	turn_button_label_end_turn	End Turn	false
battle	turn_button_label_restart_turn	Restart Turn	false
battle	menu_button_label	Menu	false
battle	esc_menu_end_game_label	End Game	false
battle	esc_menu_concede_label	Concede	false
battle	esc_menu_more_settings_label	Settings	false
battle	esc_menu_friends_label	Friends	false
battle	card_instructions_attack	Attack	false
battle	card_instructions_health	Health	false
battle	card_instructions_mana_cost	Cost	false
battle	outcome_victory	Victory	false
battle	outcome_defeat	Defeat	false
battle	outcome_draw	Draw	false
battle	zero_xp_earned	+0 XP	false
battle	unscored_game_xp_notice	Games with insufficient gameplay do not earn XP or rewards.	false
battle	max_practice_xp_reached_notice	Single Player and Friendly games stop rewarding XP at level 11. Play Ranked Games to earn more XP and rewards up to max level.	false
battle	gold_tip_button_label	Tip 5 Gold	false
battle	gold_tip_button_tooltip	Tip opponent with a small amount of YOUR gold.	false
battle	gold_tip_confirm_message	Are you sure you want to tip with 5 of your OWN gold?	false
battle	report_opponent_button_label	Report	false
battle	max_daily_win_rewards_reached	Max Daily Win Rewards reached.	false
battle	progress_towards_next_win_counter_reward	{{x}}/3 wins towards next Reward.	true
battle	level_up_notice	Leveled up	false
boss_battles	instructions	Defeat AI controlled Boss Decks for special rewards.	false
boss_battles	boss_battle_available	Boss Battle Available	false
boss_battles	boss_battle_upcoming	Upcoming Boss Battle	false
boss_battles	defeated	Defeated	false
boss_battles	play_button_label	Battle	false
boss_battles	boss_1_name	Boreal Juggernaut	false
boss_battles	boss_1_desc	Frenzy Whenever this damages an enemy minion, it is stunned.	false
boss_battles	boss_1_bio	A walking mountain of ice and fury that can not be contained.	false
boss_battles	boss_2_name	Umbra	false
boss_battles	boss_2_desc	Whenever an enemy summons a minion, summon a 1 health clone nearby your General.	false
boss_battles	boss_2_bio	From the shadows come a twisted visage.	false
boss_battles	boss_3_name	CALIBERO 2.0	false
boss_battles	boss_3_desc	Forcefield At the start of your turn, equip a random artifact.	false
boss_battles	boss_3_bio	Face the power of his unlimited arsenal.	false
boss_battles	boss_4_name	Cade the Desolator	false
boss_battles	boss_4_desc	Frenzy Whenever an enemy damages or takes damage from this, teleport that enemy to a random location.	false
boss_battles	boss_4_bio	An ancient being that knows only madness.	false
boss_battles	boss_5_name	Shinkage Zendo	false
boss_battles	boss_5_desc	The enemy General moves and attacks as if they are a Battle Pet.	false
boss_battles	boss_5_bio	He has walked the path to oblivion and now so shall you.	false
boss_battles	boss_6_name	D3C	false
boss_battles	boss_6_desc	Provoke Cannot be damaged while other D3cepticle parts live.	false
boss_battles	boss_6_bio	A perfectly engineered weapon designed to destroy Mechaz0r and all those who would protect it.	false
boss_battles	boss_6_part1_name	Thrusters of D3cepticle	false
boss_battles	boss_6_part1_desc	Flying	false
boss_battles	boss_6_part2_name	Core of D3cepticle	false
boss_battles	boss_6_part2_desc	Forcefield	false
boss_battles	boss_6_part3_name	Blade of D3cepticle	false
boss_battles	boss_6_part3_desc	Backstab: (2)	false
boss_battles	boss_6_part4_name	Reticle of D3cepticle	false
boss_battles	boss_6_part4_desc	Celerity	false
boss_battles	boss_6_prime_name	D3cepticle	false
boss_battles	boss_6_prime_desc	Flying, Forcefield, Provoke, Backstab: (2), Celerity	false
boss_battles	boss_7_name	CALIBERO	false
boss_battles	boss_7_desc	At the start of your second turn and every turn thereafter, equip a random artifact.	false
boss_battles	boss_7_bio	Face the power of his unlimited arsenal.	false
boss_battles	boss_7_artifact_name	Cyclone Generator	false
boss_battles	boss_7_artifact_desc	Your General gains Celerity.	false
boss_battles	boss_8_name	Monolith Guardian	false
boss_battles	boss_8_desc	Whenever Monolith Guardian destroys an enemy, it assimilates them.	false
boss_battles	boss_8_bio	Can you prove yourself worthy of entry into the Monolith?	false
boss_battles	boss_9_name	Wu'jin the Trickster	false
boss_battles	boss_9_desc	Flying. Whenever this attacks or is attacked, summon a decoy nearby.  At the end of turn, teleport to a random corner.	false
boss_battles	boss_9_bio	A master of cunning and deception, Wu'jin has journeyed far in search of a worth adversary.	false
boss_battles	boss_9_clone_name	Decoy	false
boss_battles	boss_10_name	Solfist	false
boss_battles	boss_10_desc	Whenever Solfist destroys a minion, reactivate it. At the end of Solfist's turn, deal increasing damage to himself and all nearby enemies.	false
boss_battles	boss_10_bio	As the Eternal Flame consumes him he has plans to take you with him.	false
boss_battles	boss_11_name	Automaton 8	false
boss_battles	boss_11_desc	Ranged. Attacks hit the target and all enemies around that target. Take damage equal to the total damage dealt	false
boss_battles	boss_11_bio	Its core fractured. Its purpose diminished. It shall share its pain with those who dare face it.	false
boss_battles	boss_12_name	Orias the Heretic	false
boss_battles	boss_12_desc	Whenever Orias damages an enemy, he gains +1 Attack.	false
boss_battles	boss_12_bio	A thaumaturge so dangerous, even The Crimson Flame had to cast him out.	false
boss_battles	boss_12_idol_name	Idol of Invigoration	false
boss_battles	boss_12_idol_desc	ANY minion summoned nearby this minion gains Rush.	false
boss_battles	boss_13_name	Malyk	false
boss_battles	boss_13_desc	Ranged. Whenever your opponent summons a minion, they draw a card. Whenever your opponent overdraws, summon a 3/3 Ooz	false
boss_battles	boss_13_bio	Cursed with boundless ambition this master of the dark arts is willing to share its power to see if you can handle what lies in the shadows of your potential.	false
boss_battles	boss_14_name	Archonis	false
boss_battles	boss_14_desc	At the end of each turn, deal damage to the player equal to their remaining mana.	false
boss_battles	boss_14_bio	A being composed of pure energy, his original visage no longer recognizable. They once craved the power to defeat the darkness and thus became the light.	false
boss_battles	boss_15_name	Paragon of Light	false
boss_battles	boss_15_desc	Gains new keyword abilities as health decreases.	false
boss_battles	boss_15_bio	To stand before the Paragon is to face absolute retribution. The closer it comes to defeat the more terrifying its power becomes. Light shall sear across the land to abolish all darkness before it.	false
boss_battles	boss_16_name	Scion of the Void	false
boss_battles	boss_16_desc	Flying. Deals double damage on counter attacks. Whenever this deals damage, restore that much Health to it.	false
boss_battles	boss_16_bio	Where there is light there must be shadow and in that void he draws strength. Capable of ripping the very essence from his foes, his spite unleashes a terrible price upon those foolish enough to face him. Strike him hard or he will hit you harder.	false
boss_battles	boss_17_name	High Templar Kron	false
boss_battles	boss_17_desc	Whenever an enemy minion dies, summon a prisoner on their space. Kron's spells cost 2 less to cast.	false
boss_battles	boss_17_bio	Before his descent into madness, Kron was once the most revered templar within The Crimson Flames. Not content on simply eliminating heretics, Kron had an unusual talent for subjugating his enemies and breaking their wills until they were under his complete control.	false
boss_battles	boss_18_name	Megapenti	false
boss_battles	boss_18_desc	Minions summoned from Megapenti's action bar gain Rebirth: Serpenti.	false
boss_battles	boss_18_bio	Tired of nobody taking it seriously, it decided to hit the gym and bulk up so it could unleash a future that is Serpenti.	false
boss_battles	boss_19_name	Rin the Shadowsworn	false
boss_battles	boss_19_desc	Rin's minions have Grow +1/+1. Whenever Rin takes damage, summon that many wraithlings.	false
boss_battles	boss_19_bio	This accursed tome cannot be read but instead the power locked inside bleeds from the pages as the wielders own twisted soul is laid bare. These dark creatures hunger for the very same power as the one who holds the book, and when sated become nightmares.	false
boss_battles	boss_20_name	Skyfall Tyrant	false
boss_battles	boss_20_desc	Ranged. Can't move. At the start of your turn, equip a Frost Armor artifact.	false
boss_battles	boss_20_bio	Frozen and ageless the Frost Tyrant abides in its glacial fortress. The titan has survived generations in the cold, kept timeless by the frigid conditions, waiting for a worthy adversary to wake it from its slumber.	false
boss_battles	boss_20_artifact_name	Frost Armor	false
boss_battles	boss_20_artifact_desc	The first time your General takes damage each turn, prevent 1 of it.  Enemies who damage your General take 1 damage.	false
boss_battles	boss_21_name	Cindera	false
boss_battles	boss_21_desc	Frenzy. Your minions have "Dying Wish: Deal 2 damage to all nearby enemies." At the start of your turn, teleport to a random location.	false
boss_battles	boss_21_bio	The Flameblood Trials unlock the full potential of the user causing their own blood to become volatile and destructive. They channel this fury and anger into the energy surrounding them to devastating results. Be wary of her explosive potential.	false
boss_battles	boss_22_name	Crystalline Champion	false
boss_battles	boss_22_desc	Forcefield All minions summoned from the action bar gain +2 Attack, but -2 Health.	false
boss_battles	boss_22_bio	A noble warrior bestowed with armor fashioned from depleted mana crystals, the Crystalline Champion shows his opponents their true mettle. The power that emanates from him cripples the weak and fuels aggression, making the fight as razor edge as his glaive.	false
boss_battles	boss_23_name	Xel	false
boss_battles	boss_23_desc	At the start of your turn, damage the enemy General equal to the amount of minions they own. Deathwatch: Restore 1 health and deal 1 damage to the enemy General	false
boss_battles	boss_23_bio	Born among the Magmar where strength was heralded as prominence, Xel took his pursuit of perfect evolution one step further as he transcended even his own kind.  Feeding off the death of lesser beings, Xel sets his eyes upon you next.	false
boss_battles	boss_24_name	Skurge	false
boss_battles	boss_24_desc	Ranged At the start of your turn, take 3 damage but gain +1 Attack.	false
boss_battles	boss_24_bio	One of the most dangerous mercenaries known across the land. He is as ruthless as he is fearless in pursuing his marks. Underestimate him and his crew will rain punishment from the skies above. Be wary as his brother is always watching.	false
boss_battles	boss_24_valiant_name	Valiant	false
boss_battles	boss_24_valiant_desc	Provoke Ranged attackers must attack this minion first. Can move 2 additional spaces.	false
boss_battles	boss_25_name	Shadow Lord	false
boss_battles	boss_25_desc	Whenever an enemy minion is moved for any reason, summon a Kaido Asasssin behind them. Whenever a friendly minion is moved for any reason, give it +1/+1.	false
boss_battles	boss_25_bio	No one knows if anyone resides beneath the armor of the Shadow Lord. He silently leads his agents on the field in his deadly game of shadows. His quiet rage fuels his actions to bring a swift end to his victims. Do not make haste and watch your back or you may find a knife stuck in it.	false
boss_battles	boss_26_name	Archmagus Vol	false
boss_battles	boss_26_desc	Attacks damage all enemy minions.	false
boss_battles	boss_26_bio	A fearsome practitioner of the astral and arcane arts, Archmagus Vol once tricked Zane into betraying his fellow allies. With reckless abandon Zane will stop at nothing to avenge his fallen brethren even if it means sacrificing his own life.  You must not let this fight be his last.	false
boss_battles	boss_26_zane_name	Darkspear Zane	false
boss_battles	boss_26_zane_desc	Zane has a mind of his own. Deals double damage to Vol. Zane dies if his attack exceeds 6. Your general dies if Zane dies.	false
boss_battles	boss_27_name	Taskmaster Beatrix	false
boss_battles	boss_27_desc	Cannot be targeted by spells. Generals cannot move. All minions summoned act like Battle Pets.	false
boss_battles	boss_27_bio	A master of strange toxins and paralyzing venoms makes Taskmaster Beatrix a terrifying force to reckon with.  Covering the battlefield in maddening aromas, she brings out uncontrollable behavior for all but the strongest.  Those who can resist going mad end up nearly paralyzed, leaving them at the mercy of the combatants.	false
boss_battles	boss_28_name	Grym the Vengeful	false
boss_battles	boss_28_desc	Whenever a friendly minion dies, deal 3 damage to a random minion and restore 3 health.	false
boss_battles	boss_28_bio	After having fallen in battle to an Abyssian priestess, the rogue Magmar Grym was cursed to be reborn with corrupted flesh and an unquenchable hunger for death.  Uncaring of the lives of others he feeds on both friend and foe alike to feed his rage.	false
boss_battles	boss_29_name	Nahlgol	false
boss_battles	boss_29_desc	At the start of your turn spawn an Exhuming Sand tile randomly on the board.	false
boss_battles	boss_29_bio	Once guardian to a long dead king, Nahlgol was reanimated by a necromancer who sought to use him for his own gain.  Gazing upon this necromancer, Nahlgol immediately drew his sword and slew him without hesitation, with it gaining the power to summon the spirits of his forgotten kingsguard.  Nahlgol now forever wanders the Akram desert in search of his fallen king.	false
boss_battles	boss_30_name	Wolfpunch	false
boss_battles	boss_30_desc	Celerity Has +4 attack on opponent's turn. At the start of your turn, spawn a Fox Ravager.	false
boss_battles	boss_30_bio	Surviving the harsh winters of the Northern Whyte Mountains is an uncommon feat. Few grow stronger and fewer still revel in the sheer ferocity of nature. While some call upon animal spirits to survive, Wolfpunch instead becomes a beast of his own design, brutalizing any unfortunate enough to cross his path.	false
boss_battles	boss_31_name	Unhallowed	false
boss_battles	boss_31_desc	Whenever this takes damage, spawn a random Haunt nearby.	false
boss_battles	boss_31_bio	The Unhallowed has risen from the grave with a dark design to curse all of Mythron.  Not all of her tricks are devious though.  If luck is on your side, some of her twisted malcontents might even hold a treat.	false
boss_battles	boss_31_treat_name	Candy Panda	false
boss_battles	boss_31_treat_1_desc	Sentinel: General attacks. Treat! Restore 5 health to the attacking General and draw a card. Cannot attack Generals.	false
boss_battles	boss_31_treat_2_desc	Sentinel: Minion summoned. Treat! Give the minion that transformed this +2/+2 and draw a card. Cannot attack Generals.	false
boss_battles	boss_31_treat_3_desc	Sentinel: Spell cast. Treat! Refund the mana for the spell that was cast and draw a card. Cannot attack Generals.	false
boss_battles	boss_31_haunt_1_name	Corporeal Haunt	false
boss_battles	boss_31_haunt_1_desc	The enemy General's minions cost 1 more to play. Dying Wish: Draw 2 cards	false
boss_battles	boss_31_haunt_2_name	Enchanted Haunt	false
boss_battles	boss_31_haunt_2_desc	The enemy General's non-Bloodbound spells cost 1 more to cast. Dying Wish: Draw 2 cards	false
boss_battles	boss_31_haunt_3_name	Material Haunt	false
boss_battles	boss_31_haunt_3_desc	The enemy General's artifacts cost 1 more to play. Dying Wish: Draw 2 cards	false
boss_battles	boss_32_name	Santaur the Terrible	false
boss_battles	boss_32_desc	At the start of Santaur's turn, spawn a Frostfire Elf nearby	false
boss_battles	boss_32_bio	Normally a cave dweller, Santaur the Terrible emerges once a year with his elves to distribute presents to the people of Mythron. This would normally be a cause for celebration if he didn't always beat the recipient to death after giving them their gifts.	false
boss_battles	boss_32_elf_name	Frostfire Elf	false
boss_battles	boss_32_elf_desc	Celerity Dying Wish: Give the player a Holiday Gift	false
boss_battles	boss_32_gift_1_name	Jingle Bells	false
boss_battles	boss_32_gift_1_desc	Your General gains Flying.	false
boss_battles	boss_32_gift_2_name	Lump of Coal	false
boss_battles	boss_32_gift_2_desc	Your Bloodbound Spell cannot be cast.	false
boss_battles	boss_32_gift_3_name	Mistletoe	false
boss_battles	boss_32_gift_3_desc	Cards in your hand cost 1 less to play.	false
boss_battles	boss_32_gift_4_name	Snowball	false
boss_battles	boss_32_gift_4_desc	Your General gains Ranged and -1 Attack.	false
boss_battles	boss_32_gift_spell_name	Holiday Gift	false
boss_battles	boss_32_gift_spell_desc	Equip a random present.	false
boss_battles	boss_33_name	Legion	false
boss_battles	boss_33_desc	All Legion restore 3 health at the end of turn. All killed Legion respawn in a corner at the start of turn.	false
boss_battles	boss_33_bio	A being not quite machine, not quite organic, Legion can divide its strengths amongst multiple clones of itself.	false
boss_battles	boss_33_2_desc	All Legion gain +2 Attack. All killed Legion respawn in a corner at the start of turn.	false
boss_battles	boss_33_3_desc	All Legion can move 2 extra spaces. All killed Legion respawn in a corner at the start of turn.	false
boss_battles	boss_33_4_desc	All Legion cannot be targeted by spells. All killed Legion respawn in a corner at the start of turn.	false
boss_battles	boss_34_name	Harmony	false
boss_battles	boss_34_desc	All minions cost 0 mana.	false
boss_battles	boss_34_bio	A paragon of order and unity.  Those in its presence are blessed with a deeper connection to all life.  When Harmony falls Dissonance rises.	false
boss_battles	boss_34_2_name	Dissonance	false
boss_battles	boss_34_2_desc	Frenzy When Dissonance is spawned all minions switch allegiances and Dissonance gains +3/+3 for each of its minions that switched sides.	false
boss_battles	boss_35_name	Andromeda	false
boss_battles	boss_35_desc	Flying Whenever the enemy General plays a minion, transform it into a random minion with the same mana cost.	false
boss_battles	boss_35_bio	A sorceress able to transcend time and space, Andromeda can bend the very fabric of reality.  She alone holds the secrets to life, the universe, and everything.	false
boss_battles	boss_36_name	The Invader	false
boss_battles	boss_36_desc	At the start of your turn, deal 6 damage to a random minion or General.	false
boss_battles	boss_36_bio	The city of Kaero is under attack from an alien invader. The only way to save the city is to pilot an experimental new mech, the Protector. Save as many lives as you can, for every building that falls, the invader grows in power.	false
boss_battles	boss_36_2_name	Protector	false
boss_battles	boss_36_2_desc	Whenever an enemy minion dies, this gains attack equal to that minion's attack.	false
boss_battles	boss_36_3_name	Kaero Tower	false
boss_battles	boss_36_3_desc	When this dies, The Invader gains +2/+6	false
boss_battles	boss_37_name	Soulstealer	false
boss_battles	boss_37_desc	Whenever the enemy General plays a minion, it becomes their new General.  Whenever Soulstealer dies, he inhabits the body of one of his minions.	false
boss_battles	boss_37_bio	Historians have spoke of a demon who haunts the Echoing Depths. While not much is known about it, there are some who claim that they returned from the Echoing Depths in a different body than the one they entered with.	false
boss_battles	boss_38_name	Kahlmar the Spell Eater	false
boss_battles	boss_38_desc	Whenever the enemy casts a spell, gain a random keyword.  Whenever any minion is summoned it gains the keywords of its General.	false
boss_battles	boss_38_bio	An accomplished mage by any account, Kahlmar is known the world over for being an accomplished assassin of magic practitioners. Earning the nickname 'Spell Eater', Kahlmar possesses a unique talent for absorbing the spells cast against him and using them to grow stronger.	false
buddy_list	referral_program_callout_title	Earn Rewards for Inviting your Friends	false
buddy_list	referral_program_callout_message	Your friends start with bonus gold and you earn rewards as they battle.	false
buddy_list	referral_program_button_label	Referral Program	false
buddy_list	referral_program_redeem_button_label	claim a friend's referral code	false
buddy_list	your_referral_code_msg	Your referral CODE is	false
buddy_list	click_to_copy	click to copy.	false
buddy_list	your_friends_referral_instructions	Your friends have to use your code before playing a ranked game.	false
buddy_list	referral_learn_more	learn more	false
buddy_list	referrals	REFERRALS	false
buddy_list	referral_beginner_instructions	Every friend that uses your CODE starts with +100 Gold	false
buddy_list	silver	SILVER	false
buddy_list	referral_silver_instructions	For every friend that reaches SILVER DIVISION you gain +1 SPIRIT ORB	false
buddy_list	gold	GOLD	false
buddy_list	referral_gold_instructions	For every friend that reaches GOLD DIVISION you gain +200 Gold	false
buddy_list	rewards_label	Available Rewards:	false
buddy_list	rewards_claim_all	CLAIM ALL	false
buddy_list	rewards_claimed_success	rewards claimed	false
buddy_list	claim_rewards_instructions	Claim your rewards here as they become available.	false
buddy_list	details	details	false
buddy_list	referral_player	player	false
buddy_list	referral_level_reached	level reached	false
buddy_list	referral_time_ago	time ago	false
buddy_list	action_add_buddy	Add Buddy	false
buddy_list	action_do_not_disturb	Do Not Disturb	false
buddy_list	last_opponent	Last Opponent	false
buddy_list	add_buddy_instructions	Enter friend's username	false
buddy_list	action_spectate	Spectate	false
buddy_list	action_challenge	Challenge	false
buddy_list	message_input_instructions	Type your message	false
buddy_list	action_send_message	Send	false
buddy_list	action_share_replay	Share Last Replay	false
buddy_list	challenge_received_title	You've been challenged to a game by:	false
buddy_list	challenge_sent_title	Waiting for challenge to be accepted by:	false
buddy_list	message_rejected_game_invite	Your opponent rejected the invite.	false
buddy_list	message_cancelled_game_invite	Your opponent cancelled the invite.	false
buddy_list	accept_invite_button_label	Accept	false
buddy_list	decline_invite_button_label	Decline	false
buddy_list	status_loading	loading	false
buddy_list	status_online	online	false
buddy_list	status_away	away	false
buddy_list	status_queue	queue	false
buddy_list	status_game	game	false
buddy_list	status_watching	watching	false
buddy_list	status_challenge	challenge	false
buddy_list	status_offline	offline	false
card_sets	core_set_name_short	Core	false
card_sets	core_set_name	Core Set	false
card_sets	shimzar_set_name_short	ShimZar	false
card_sets	shimzar_set_name	Denizens of Shim'Zar	false
card_sets	bloodborn_set_name_short	Bloodbound	false
card_sets	bloodborn_set_name	Rise of the Bloodbound	false
card_sets	ancient_bonds_set_name_short	Ancient	false
card_sets	ancient_bonds_set_name	Ancient Bonds	false
card_sets	firstwatch_set_name_short	Unearthed	false
card_sets	firstwatch_set_name	Unearthed Prophecy	false
card_sets	wartech_set_name_short	Immortal	false
card_sets	wartech_set_name	Immortal Vanguard	false
card_sets	combined_unlockables_set_name_short	Ancients	false
card_sets	combined_unlockables_set_name	Bloodbound Ancients	false
card_sets	fate_set_name	Trials of Mythron	false
cards	building_name	Building	false
cards	faction_1_spell_roar_name	Roar	false
cards	faction_1_spell_roar_description	Give a friendly minion nearby your General +2 Attack.	false
cards	faction_1_spell_afterglow_name	Afterglow	false
cards	faction_1_spell_afterglow_description	Restore 3 Health to any Minion.	false
cards	faction_1_spell_sundrop_elixir_name	Sundrop Elixir	false
cards	faction_1_spell_sundrop_elixir_description	Restore 5 Health to anything.	false
cards	faction_1_spell_tempest_name	Tempest	false
cards	faction_1_spell_tempest_description	Deal 2 damage to everything.	false
cards	faction_1_spell_decimate_name	Decimate	false
cards	faction_1_spell_decimate_description	Destroy ALL minions that are not nearby any General.	false
cards	faction_1_spell_auryn_nexus_name	Auryn Nexus	false
cards	faction_1_spell_auryn_nexus_description	Give a friendly minion +3 Health.	false
cards	faction_1_spell_lasting_judgement_name	Lasting Judgement	false
cards	faction_1_spell_lasting_judgement_description	Give ANY minion +3 Attack, but -3 Health.	false
cards	faction_1_spell_martyrdom_name	Martyrdom	false
cards	faction_1_spell_martyrdom_description	Destroy ANY minion. Restore that minion's Health to its General.	false
cards	faction_1_spell_war_surge_name	War Surge	false
cards	faction_1_spell_war_surge_description	Give all friendly minions +1/+1.	false
cards	faction_1_spell_lionheart_blessing_name	Lionheart Blessing	false
cards	faction_1_spell_lionheart_blessing_description	Give a friendly minion, "Zeal: Whenever this minion deals damage, draw a card."	false
cards	faction_1_spell_sun_bloom_name	Sun Bloom	false
cards	faction_1_spell_sun_bloom_description	Dispel a 2x2 area.	false
cards	faction_1_spell_true_strike_name	True Strike	false
cards	faction_1_spell_true_strike_description	Deal 2 damage to a minion.	false
cards	faction_1_spell_circle_of_life_name	Circle of Life	false
cards	faction_1_spell_circle_of_life_description	Deal 5 damage to an enemy minion. Restore 5 Health to your General.	false
cards	faction_1_spell_beam_shock_name	Beam Shock	false
cards	faction_1_spell_beam_shock_description	Stun an enemy.	false
cards	faction_1_spell_holy_immolation_name	Holy Immolation	false
cards	faction_1_spell_holy_immolation_description	Restore 4 Health to a friendly minion. Deal 4 damage to enemies around it.	false
cards	faction_1_spell_divine_bond_name	Divine Bond	false
cards	faction_1_spell_divine_bond_description	Give a minion +Attack equal to its Health.	false
cards	faction_1_spell_aegis_barrier_name	Aegis Barrier	false
cards	faction_1_spell_aegis_barrier_description	Choose a friendly minion. It can't be targeted by enemy spells. Draw a card.	false
cards	faction_1_spell_aerial_rift_name	Aerial Rift	false
cards	faction_1_spell_aerial_rift_description	Give your minions Airdrop this turn.  Draw a card.	false
cards	faction_1_spell_magnetize_name	Magnetize	false
cards	faction_1_spell_magnetize_description	Pull ANY minion to the space in front of your General.	false
cards	faction_1_spell_ironcliffe_heart_name	Ironcliffe Heart	false
cards	faction_1_spell_ironcliffe_heart_description	Transform a friendly minion into an Ironcliffe Guardian.	false
cards	faction_1_spell_sky_burial_name	Sky Burial	false
cards	faction_1_spell_sky_burial_description	Destroy a minion that is not nearby any General.	false
cards	faction_1_spell_afterblaze_name	Afterblaze	false
cards	faction_1_spell_afterblaze_description	Give a friendly minion +2/+4. If that minion has Zeal, draw a card.	false
cards	faction_1_spell_fighting_spirit_name	Fighting Spirit	false
cards	faction_1_spell_fighting_spirit_description	Give all friendly minions +1 Health. Put a random Battle Pet into your action bar.	false
cards	faction_1_spell_lucent_beam_name	Lucent Beam	false
cards	faction_1_spell_lucent_beam_description	Deal 2 damage to an enemy. If anything was healed this turn, deal 4 damage instead.	false
