class_name	file_name	parent_class	type	is_keyword	is_watch	applied_name	applied_description	attribute_buffs	stack_type	triggers	effects
ModifierAuraAboveAndBelow	modifierAuraAboveAndBelow.coffee	Modifier	ModifierAuraAboveAndBelow	FALSE	FALSE						
ModifierBackstab	modifierBackstab.coffee	Modifier	ModifierBackstab	TRUE	FALSE	modifiers.backstab_name					damage, action_modify
ModifierBackstabWatch	modifierBackstabWatch.coffee	Modifier	ModifierBackstabWatch	FALSE	FALSE	Backstab Watch: Self	Backstab Watch: Self				
ModifierBackstabWatchAddCardToHand	modifierBackstabWatchAddCardToHand.coffee	ModifierBackstabWatch	ModifierBackstabWatchAddCardToHand	FALSE	FALSE						summon
ModifierBackstabWatchApplyModifiersToTarget	modifierBackstabWatchApplyModifiersToTarget.coffee	ModifierBackstabWatch	ModifierBackstabWatchApplyModifiersToTarget	FALSE	FALSE						grant_modifier
ModifierBackstabWatchApplyPlayerModifiers	modifierBackstabWatchApplyPlayerModifiers.coffee	ModifierBackstabWatch	ModifierBackstabWatchApplyPlayerModifiers	FALSE	FALSE						grant_modifier
ModifierBackstabWatchStealSpellFromDeck	modifierBackstabWatchStealSpellFromDeck.coffee	ModifierBackstabWatch	ModifierBackstabWatchStealSpellFromDeck	FALSE	FALSE	modifiers.backstab_watch_steal_spell_from_deck_name	modifiers.backstab_watch_steal_spell_from_deck_def				summon
ModifierBackstabWatchSummonBackstabMinion	modifierBackstabWatchSummonBackstabMinion.coffee	ModifierBackstabWatch	ModifierBackstabWatchSummonBackstabMinion	FALSE	FALSE						summon
ModifierBackstabWatchTransformToBuilding	modifierBackstabWatchTransformToBuilding.coffee	ModifierBackstabWatch	ModifierBackstabWatchTransformToBuilding	FALSE	FALSE						
ModifierBackupGeneral	modifierBackupGeneral.coffee	Modifier	ModifierBackupGeneral	FALSE	FALSE						
ModifierBanded	modifierBanded.coffee	Modifier	ModifierBanded	FALSE	FALSE	modifiers.banded_name	modifiers.banded_def				stat_modify
ModifierBandedDoubleAttack	modifierBandedDoubleAttack.coffee	ModifierBanded	ModifierBandedDoubleAttack	FALSE	FALSE	Zealed: Lion's Growth	Double this minion's Attack at the end of your turn			onEndTurn	
ModifierBandedFlying	modifierBandedFlying.coffee	ModifierFlying	ModifierBandedFlying	FALSE	FALSE						
ModifierBandedHeal	modifierBandedHeal.coffee	ModifierBanded	ModifierBandedHeal	FALSE	FALSE	modifiers.banded_heal_name	modifiers.banded_heal_desc			onEndTurn	
ModifierBandedProvoke	modifierBandedProvoke.coffee	ModifierProvoke	ModifierBandedProvoke	FALSE	FALSE						
ModifierBandedRanged	modifierBandedRanged.coffee	ModifierRanged	ModifierBandedRanged	FALSE	FALSE	modifiers.banded_ranged_name	modifiers.banded_ranged_def				
ModifierBanding	modifierBanding.coffee	ModifierSituationalBuffSelf	ModifierBanding	TRUE	FALSE	modifiers.zeal_name					
ModifierBandingApplyModifiers	modifierBandingApplyModifiers.coffee	ModifierBanding	ModifierBandingApplyModifiers	FALSE	FALSE		Apply buffs		maxStacks=1		grant_modifier
ModifierBandingAttack	modifierBandingAttack.coffee	ModifierBanding	ModifierBandingAttack	FALSE	FALSE						grant_modifier
ModifierBandingAttackAndHealth	modifierBandingAttackAndHealth.coffee	ModifierBanding	ModifierBandingAttackAndHealth	FALSE	FALSE		Gains %X / %Y				stat_modify, grant_modifier
ModifierBandingChangeCardDraw	modifierBandingChangeCardDraw.coffee	ModifierBanding	ModifierBandingChangeCardDraw	FALSE	FALSE		modifiers.banding_change_card_draw_def				grant_modifier
ModifierBandingDealDamageWatchDrawCard	modifierBandingDealDamageWatchDrawCard.coffee	ModifierBanding	ModifierBandingDealDamageWatchDrawCard	FALSE	TRUE				maxStacks=1		grant_modifier
ModifierBandingDoubleAttack	modifierBandingDoubleAttack.coffee	ModifierBanding	ModifierBandingDoubleAttack	FALSE	FALSE		Double this minion's Attack at the end of your turn		maxStacks=1		grant_modifier
ModifierBandingFlying	modifierBandingFlying.coffee	ModifierBanding	ModifierBandingFlying	FALSE	FALSE						grant_modifier
ModifierBandingHeal	modifierBandingHeal.coffee	ModifierBanding	ModifierBandingHeal	FALSE	FALSE				maxStacks=1		grant_modifier
ModifierBandingHealSelfAndGeneral	modifierBandingHealSelfAndGeneral.coffee	ModifierBanding	ModifierBandingHealSelfAndGeneral	FALSE	FALSE						grant_modifier
ModifierBandingProvoke	modifierBandingProvoke.coffee	ModifierBanding	ModifierBandingProvoke	FALSE	FALSE						grant_modifier
ModifierBandingRanged	modifierBandingRanged.coffee	ModifierBanding	ModifierBandingRanged	FALSE	FALSE	Zeal			maxStacks=1		grant_modifier
ModifierBattlePet	modifierBattlePet.coffee	Modifier	ModifierBattlePet	TRUE	FALSE	modifiers.battle_pet_name			maxStacks=1	onValidateAction	action_modify
ModifierBeforeMyAttackWatch	modifierBeforeMyAttackWatch.coffee	Modifier	ModifierBeforeMyAttackWatch	FALSE	TRUE					onBeforeAction	
ModifierBelongsToAllRaces	modifierBelongsToAllRaces.coffee	Modifier	ModifierBelongsToAllRaces	FALSE	FALSE	modifiers.belongs_to_all_races_name	modifiers.belongs_to_all_races_def				
ModifierBlastAttack	modifierBlastAttack.coffee	Modifier	ModifierBlastAttack	TRUE	FALSE	modifiers.blast_name			maxStacks=1	onBeforeAction	
ModifierBlastAttackStrong	modifierBlastAttackStrong.coffee	ModifierBlastAttack	ModifierBlastAttackStrong	FALSE	FALSE						
ModifierBond	modifierBond.coffee	Modifier	ModifierBond	TRUE	FALSE	modifiers.bond_name	Bond				
ModifierBondApplyModifiers	modifierBondApplyModifiers.coffee	ModifierBond	ModifierBondApplyModifiers	FALSE	FALSE						grant_modifier
ModifierBondApplyModifiersByRaceId	modifierBondApplyModifiersByRaceId.coffee	ModifierBondAplyModifiers	ModifierBondApplyModifiersByRaceId	FALSE	FALSE						grant_modifier
ModifierBondDrawCards	modifierBondDrawCards.coffee	ModifierBond	ModifierBondDrawCards	FALSE	FALSE		Draw some cards from the deck				
ModifierBondHealMyGeneral	modifierBondHealMyGeneral.coffee	ModifierBond	ModifierBondHealMyGeneral	FALSE	FALSE		Heal your General				
ModifierBondNightshroud	modifierBondNightshroud.coffee	ModifierBond	ModifierBondNightshroud	FALSE	FALSE		Your General steals 1 Health from the enemy General for each friendly minion				
ModifierBondPutCardsInHand	modifierBondPutCardsInHand.coffee	ModifierBond	ModifierBondPutCardsInHand	FALSE	FALSE		Draw some cards				summon
ModifierBondSpawnEntity	modifierBondSpawnEntity.coffee	ModifierBond	ModifierBondSpawnEntity	FALSE	FALSE		Summon %X				
ModifierBuffSelfOnReplace	modifierBuffSelfOnReplace.coffee	Modifier	ModifierBuffSelfOnReplace	FALSE	FALSE	Buff Self On Replace	modifiers.buff_self_on_replace_def				stat_modify, grant_modifier
ModifierBuild	modifierBuild.coffee	Modifier	ModifierBuild	TRUE	FALSE	modifiers.build_name			maxStacks=1		action_modify
ModifierBuildCompleteApplyModifiersToNearbyAllies	modifierBuildCompleteApplyModifiersToNearbyAllies.coffee	ModifierBuilding	ModifierBuildCompleteApplyModifiersToNearbyAllies	FALSE	FALSE						
ModifierBuildCompleteGainTempMana	modifierBuildCompleteGainTempMana.coffee	ModifierBuilding	ModifierBuildCompleteGainTempMana	FALSE	FALSE						
ModifierBuildCompleteHealGeneral	modifierBuildCompleteHealGeneral.coffee	ModifierBuilding	ModifierBuildCompleteHealGeneral	FALSE	FALSE						
ModifierBuildCompleteReplicateAndSummonDervish	modifierBuildCompleteReplicateAndSummonDervish.coffee	ModifierBuilding	ModifierBuildCompleteReplicateAndSummonDervish	FALSE	FALSE						
ModifierBuildWatch	modifierBuildWatch.coffee	Modifier	ModifierBuildWatch	FALSE	FALSE	Build Watch	Build Watch				
ModifierBuilding	modifierBuilding.coffee	ModifierStartTurnWatch	ModifierBuilding	FALSE	FALSE	Build			maxStacks=1	onApplyToCard	
ModifierBuildingSlowEnemies	modifierBuildingSlowEnemies.coffee	ModifierBuilding	ModifierBuildingSlowEnemies	FALSE	FALSE						stat_modify
ModifierCannot	modifierCannot.coffee	Modifier	ModifierCannot	FALSE	FALSE	Cannot					
ModifierCannotAttackGeneral	modifierCannotAttackGeneral.coffee	ModifierCannot	ModifierCannotAttackGeneral	FALSE	FALSE	modifiers.cannot_attack_general_name	modifiers.cannot_attack_general_def			onValidateAction	action_modify
ModifierCannotBeRemovedFromHand	modifierCannotBeRemovedFromHand.coffee	ModifierCannot	ModifierCannotBeRemovedFromHand	FALSE	FALSE					onValidateAction	action_modify
ModifierCannotBeReplaced	modifierCannotBeReplaced.coffee	ModifierCannot	ModifierCannotBeReplaced	FALSE	FALSE	modifiers.bound_name	modifiers.bound_desc			onValidateAction	action_modify
ModifierCannotCastBBS	modifierCannotCastBBS.coffee	ModifierCannot	ModifierCannotCastBBS	FALSE	FALSE	Cannot Cast BBS	Player can't cast Bloodbound Spell.			onValidateAction	action_modify
ModifierCannotCastSpellsByCost	modifierCannotCastSpellsByCost.coffee	ModifierCannot	ModifierCannotCastSpellsByCost	FALSE	FALSE	Cannot Cast Spells	Players can't cast spells.			onValidateAction	action_modify
ModifierCannotDamageGenerals	modifierCannotDamageGenerals.coffee	ModifierCannot	ModifierCannotDamageGenerals	FALSE	FALSE						action_modify
ModifierCannotMove	modifierCannotMove.coffee	ModifierCannot	ModifierCantMove	FALSE	FALSE	modifiers.faction_3_spell_sand_trap_1	modifiers.faction_3_spell_sand_trap_1	"speed:0; attributeBuffsAbsolute:[""speed""]; attributeBuffsFixed:[""speed""]"			stat_modify
ModifierCannotStrikeback	modifierCannotStrikeback.coffee	ModifierCannot	ModifierCannotStrikeback	FALSE	FALSE	modifiers.cannot_strikeback_name	modifiers.cannot_strikeback_def				action_modify
ModifierCardControlledPlayerModifiers	modifierCardControlledPlayerModifiers.coffee	Modifier	ModifierCardControlledPlayerModifiers	FALSE	FALSE						grant_modifier
ModifierCollectable	modifierCollectable.coffee	Modifier	ModifierCollectable	FALSE	FALSE	Collectable	When another entity moves onto this location..				
ModifierCollectableBonusMana	modifierCollectableBonusMana.coffee	ModifierCollectable	ModifierCollectableBonusMana	FALSE	FALSE	modifiers.bonus_mana_name	modifiers.bonus_mana_def				
ModifierCollectableCard	modifierCollectableCard.coffee	ModifierCollectable	ModifierCollectableCard	FALSE	FALSE	modifiers.bonus_mana_name	modifiers.bonus_mana_def				summon
ModifierCostChangeIfMyGeneralDamagedLastTurn	modifierCostChangeIfMyGeneralDamagedLastTurn.coffee	ModifierMyGeneralDamagedWatch	ModifierCostChangeIfMyGeneralDamagedLastTurn	FALSE	FALSE	My General Damaged Watch	modifiers.cost_change_if_my_general_damaged_last_turn_name_def			onEndTurn	grant_modifier
ModifierCostEqualGeneralHealth	modifierCostEqualGeneralHealth.coffee	Modifier	ModifierCostEqualGeneralHealth	FALSE	FALSE	Raging Taura	This minion's cost is equal to your General's Health		maxStacks=1		stat_modify
ModifierCounter	modifierCounter.coffee	Modifier	ModifierCounter	FALSE	FALSE						
ModifierCounterBuildProgress	modifierCounterBuildProgress.coffee	ModifierCounter	ModifierCounterBuildProgress	FALSE	FALSE				maxStacks=1	onAfterAction	
ModifierCounterBuildProgressDescription	modifierCounterBuildProgressDescription.coffee	Modifier	ModifierCounterBuildProgressDescription	FALSE	FALSE				maxStacks=1		
ModifierCounterIntensify	modifierCounterIntensify.coffee	ModifierCounter	ModifierCounterIntensify	FALSE	FALSE				maxStacks=1	onAfterAction	
ModifierCounterIntensifyDescription	modifierCounterIntensifyDescription.coffee	Modifier	ModifierCounterIntensifyDescription	FALSE	FALSE				maxStacks=1		
ModifierCounterMechazorBuildProgress	modifierCounterMechazorBuildProgress.coffee	ModifierCounter	ModifierCounterMechazorBuildProgress	FALSE	FALSE				maxStacks=1		
ModifierCounterMechazorBuildProgressDescription	modifierCounterMechazorBuildProgressDescription.coffee	Modifier	ModifierCounterMechazorBuildProgressDescription	FALSE	FALSE				maxStacks=1		
ModifierCounterShadowCreep	modifierCounterShadowCreep.coffee	ModifierCounter	ModifierCounterShadowCreep	FALSE	FALSE				maxStacks=1		
ModifierCounterShadowCreepDescriptionProgressDescription	modifierCounterShadowCreepDescription.coffee	Modifier	ModifierCounterShadowCreepDescriptionProgressDescription	FALSE	FALSE				maxStacks=1		
ModifierCustomSpawn	modifierCustomSpawn.coffee	Modifier	ModifierCustomSpawn	FALSE	FALSE	Custom Spawn					
ModifierCustomSpawnOnOtherUnit	modifierCustomSpawnOnOtherUnit.coffee	ModifierCustomSpawn	ModifierCustomSpawnOnOtherUnit	FALSE	FALSE	Custom Spawn					
ModifierDamageAreaAttack	modifierDamageAreaAttack.coffee	Modifier	ModifierDamageAreaAttack	FALSE	FALSE					onBeforeAction	
ModifierDamageBothGeneralsOnReplace	modifierDamageBothGeneralsOnReplace.coffee	Modifier	ModifierDamageBothGeneralsOnReplace	FALSE	FALSE						
ModifierDamageGeneralOnAttack	modifierDamageGeneralOnAttack.coffee	ModifierDealDamageWatch	ModifierDamageGeneralOnAttack	FALSE	FALSE	Damaging Attacks	Whenever this damages an enemy minion, deal %X damage to the enemy General				
ModifierDealDamageWatch	modifierDealDamageWatch.coffee	Modifier	ModifierDealDamageWatch	FALSE	TRUE	Deal Damage Watch	Each time this unit damages an enemy unit...				
ModifierDealDamageWatchApplyModifiersToAllies	modifierDealDamageWatchApplyModifiersToAllies.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchApplyModifiersToAllies	FALSE	TRUE						
ModifierDealDamageWatchBuffSelf	modifierDealDamageWatchBuffSelf.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchBuffSelf	FALSE	TRUE		Whenever this minion damages an enemy, this minion gains %X				stat_modify, grant_modifier
ModifierDealDamageWatchControlEnemyMinionUntilEOT	modifierDealDamageWatchControlEnemyMinionUntilEOT.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchControlEnemyMinionUntilEOT	FALSE	TRUE	Deal Damage to a minion and take control of it	Whenever this minion deals damage to a minion, take control of it until end of turn			onEndTurn	
ModifierDealDamageWatchDamageJoinedEnemies	modifierDealDamageWatchDamageJoinedEnemies.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchDamageJoinedEnemies	FALSE	TRUE	Deal Damage to an enemy and all joined enemies	Whenever this minion deals damage to an enemy, damage all joined enemies				
ModifierDealDamageWatchDrawCard	modifierDealDamageWatchDrawCard.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchDrawCard	FALSE	TRUE	Deal Damage and draw card	Whenever this minion deals damage, draw a card				draw
ModifierDealDamageWatchHatchEggs	modifierDealDamageWatchHatchEggs.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchHatchEggs	FALSE	TRUE	Deal Damage and hatch eggs	Whenever this deals damage, hatch all friendly eggs				
ModifierDealDamageWatchHealMyGeneral	modifierDealDamageWatchHealMyGeneral.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchHealMyGeneral	FALSE	TRUE	Deal Damage Watch	Whenever this minion deals damage, restore %X Health to your General				
ModifierDealDamageWatchHealorDamageGeneral	modifierDealDamageWatchHealorDamageGeneral.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchHealorDamageGeneral	FALSE	TRUE	Deal Damage Watch	Whenever this minion deals damage, either deal %X damage to the enemy General OR restore %X Health to your General				heal
ModifierDealDamageWatchIfMinionHealMyGeneral	modifierDealDamageWatchIfMinionHealMyGeneral.coffee	ModifierDealDamageWatchHealMyGeneral	ModifierDealDamageWatchIfMinionHealMyGeneral	FALSE	TRUE	Deal Damage Watch	Whenever this minion deals damage to a minion, restore Health to your General				
ModifierDealDamageWatchKillNeutralTarget	modifierDealDamageWatchKillNeutralTarget.coffee	ModifierDealDamageWatchKillTarget	ModifierDealDamageWatchKillNeutralTarget	FALSE	TRUE	Neutral Assassin	Whenever this damages a neutral minion, destroy that minion		maxStacks=1		
ModifierDealDamageWatchKillTarget	modifierDealDamageWatchKillTarget.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchKillTarget	FALSE	TRUE				maxStacks=1		
ModifierDealDamageWatchKillTargetAndSelf	modifierDealDamageWatchKillTargetAndSelf.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchKillTargetAndSelf	FALSE	TRUE	Clumsy Assassin	Whenever this unit deals damage to an enemy minion, destroy itself and the enemy minion				
ModifierDealDamageWatchModifyTarget	modifierDealDamageWatchModifyTarget.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchModifyTarget	FALSE	TRUE		Whenever this minion damages an enemy minion, %X				grant_modifier
ModifierDealDamageWatchRefreshSignatureCard	modifierDealDamageWatchRefreshSignatureCard.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchRefreshSignatureCard	FALSE	TRUE	Deal Damage and refresh BBS	When this minion deals damage, refresh your Bloodbound Spell				
ModifierDealDamageWatchSpawnEntity	modifierDealDamageWatchSpawnEntity.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchSpawnEntity	FALSE	TRUE	Deal Damage Watch	Whenever this minion damages an enemy, summon %X				
ModifierDealDamageWatchTeleportEnemyToYourSide	modifierDealDamageWatchTeleportEnemyToYourSide.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchTeleportEnemyToYourSide	FALSE	TRUE	Deal Damage Teleport Enemy	Whenever this minion deals damage to an enemy, teleport it to your starting side of the battlefield				
ModifierDealDamageWatchTeleportToMe	modifierDealDamageWatchTeleportToMe.coffee	ModifierDealDamageWatch	ModifierDealDamageWatchTeleportToMe	FALSE	TRUE	Deal Damage Watch Teleport To Me	Minions damaged by Syvrel are pulled in front of him		maxStacks=1		
ModifierDealOrTakeDamageWatch	modifierDealOrTakeDamageWatch.coffee	Modifier	ModifierDealOrTakeDamageWatch	FALSE	TRUE	Deal Or Take Damage Watch	Each time this unit takes damage or damages an enemy unit...				
ModifierDealOrTakeDamageWatchRandomTeleportOther	modifierDealOrTakeDamageWatchRandomTeleportOther.coffee	ModifierDealOrTakeDamageWatch	ModifierDealOrTakeDamageWatchRandomTeleportOther	FALSE	TRUE		Whenever an enemy damages or takes damage from this, teleport that enemy to a random location				
ModifierDeathWatch	modifierDeathWatch.coffee	Modifier	ModifierDeathWatch	TRUE	TRUE	modifiers.deathwatch_name	Deathwatch			onDeathWatch	
ModifierDeathWatchBuffMinionsInHand	modifierDeathWatchBuffMinionsInHand.coffee	ModifierDeathWatch	ModifierDeathWatchBuffMinionsInHand	FALSE	TRUE					onDeathWatch	grant_modifier
ModifierDeathWatchBuffRandomMinionInHand	modifierDeathWatchBuffRandomMinionInHand.coffee	ModifierDeathWatch	ModifierDeathWatchBuffRandomMinionInHand	FALSE	TRUE		Give a minion in your hand %X			onDeathWatch	grant_modifier
ModifierDeathWatchBuffSelf	modifierDeathWatchBuffSelf.coffee	ModifierDeathWatch	ModifierDeathWatchBuffSelf	TRUE	TRUE	modifiers.deathwatch_name	Gains %X			onDeathWatch	stat_modify, grant_modifier
ModifierDeathWatchDamageEnemyGeneralHealMyGeneral	modifierDeathWatchDamageEnemyGeneralHealMyGeneral.coffee	ModifierDeathWatch	ModifierDeathWatchDamageEnemyGeneral	FALSE	TRUE	Deathwatch	Deal %X damage to the enemy General, and restore %Y Health to your General			onDeathWatch	
ModifierDeathWatchDamageRandomMinionHealMyGeneral	modifierDeathWatchDamageRandomMinionHealMyGeneral.coffee	ModifierDeathWatch	ModifierDeathWatchDamageRandomMinionHealMyGeneral	FALSE	TRUE	Deathwatch	When a friendly minion dies, deal %X damage to a random minion, and restore %Y Health to your General			onDeathWatch	
ModifierDeathWatchDrawToXCards	modifierDeathWatchDrawToXCards.coffee	ModifierDeathWatch	ModifierDeathWatchDrawToXCards	FALSE	TRUE	Deathwatch	Draw until you have %X cards			onDeathWatch	
ModifierDeathWatchFriendlyMinionSwapAllegiance	modifierDeathWatchFriendlyMinionSwapAllegiance.coffee	ModifierDeathWatch	ModifierDeathWatchFriendlyMinionSwapAllegiance	FALSE	TRUE	Deathwatch	Whenever a friendly minion is destroyed, your opponent gains control of this minion.			onDeathWatch	
ModifierDeathWatchGainAttackEqualToEnemyAttack	modifierDeathWatchGainAttackEqualToEnemyAttack.coffee	ModifierDeathWatch	ModifierDeathWatchGainAttackEqualToEnemyAttack	FALSE	TRUE	Deathwatch	When an enemy minion dies, gain attack equal to its attack			onDeathWatch	
ModifierDeathWatchSpawnEntity	modifierDeathWatchSpawnEntity.coffee	ModifierDeathWatch	ModifierDeathWatchSpawnEntity	FALSE	TRUE	Deathwatch	Summon a %X on a random nearby space			onDeathWatch	
ModifierDeathWatchSpawnRandomDemon	modifierDeathWatchSpawnRandomDemon.coffee	ModifierDeathWatch	ModifierDeathWatchSpawnRandomDemon	FALSE	TRUE					onDeathWatch	
ModifierDestroyAtEndOfTurn	modifierDestroyAtEndOfTurn.coffee	Modifier	ModifierDestroyAtEndOfTurn	FALSE	FALSE		modifiers.destroy_at_end_of_turn_def		maxStacks=1	onEndTurn	
ModifierDestructible	modifierDestructible.coffee	Modifier	ModifierDestructible	TRUE	FALSE	modifiers.destructible_name			maxStacks=1		
ModifierDieSpawnNewGeneral	modifierDieSpawnNewGeneral.coffee	Modifier	ModifierDieSpawnNewGeneral	FALSE	FALSE	Die Spawn New General	When this reaches low HP, watch out!		maxStacks=1	onValidateAction	action_modify
ModifierDispelAreaAttack	modifierDispelAreaAttack.coffee	Modifier	ModifierDispelAreaAttack	FALSE	FALSE	Magic Buster Cannon	Whenever this attacks or counterattacks, it damages and dispels the enemy and all enemies nearby that target		maxStacks=1	onBeforeAction	
ModifierDispelOnAttack	modifierDispelOnAttack.coffee	Modifier	ModifierDispelOnAttack	FALSE	FALSE				maxStacks=1	onBeforeAction	
ModifierDoomed	modifierDoomed.coffee	ModifierEndTurnWatch	ModifierDoomed	FALSE	FALSE	modifiers.doomed_name	modifiers.doomed_1_def		maxStacks=1		
ModifierDoomed2	modifierDoomed2.coffee	ModifierEndTurnWatch	ModifierDoomed2	FALSE	FALSE	modifiers.doomed_name	modifiers.doomed_2_def		maxStacks=1		
ModifierDoomed3	modifierDoomed3.coffee	ModifierEndTurnWatch	ModifierDoomed3	FALSE	FALSE	modifiers.doomed_name	modifiers.doomed_3_def		maxStacks=1		
ModifierDoubleAttackStat	modifierDoubleAttackStat.coffee	Modifier	ModifierDoubleAttackStat	FALSE	FALSE		Doubled Attack			onApplyToCard	stat_modify
ModifierDoubleDamageToEnemyMinions	modifierDoubleDamageToEnemyMinions.coffee	Modifier	ModifierDoubleDamageToEnemyMinions	FALSE	FALSE	Double Damage To Enemy Minions	Deals double damage to enemy minions				action_modify
ModifierDoubleDamageToGenerals	modifierDoubleDamageToGenerals.coffee	Modifier	ModifierDoubleDamageToGenerals	FALSE	FALSE	Double Damage To Generals	Deals double damage to Generals				action_modify
ModifierDoubleDamageToMinions	modifierDoubleDamageToMinions.coffee	Modifier	ModifierDoubleDamageToMinions	FALSE	FALSE	Double Damage To Minions	Deals double damage to minions				action_modify
ModifierDoubleDamageToStunnedEnemies	modifierDoubleDamageToStunnedEnemies.coffee	Modifier	ModifierDoubleDamageToStunnedEnemies	FALSE	FALSE						action_modify
ModifierDoubleHealthStat	modifierDoubleHealthStat.coffee	Modifier	ModifierDoubleHealthStat	FALSE	FALSE		Doubled Health			onApplyToCard	stat_modify
