id	class_name	title	description	progress_required	reward_type	reward_amount	enabled	trigger_type	category
laborDayLoginAchievement	LaborDayLoginAchievement	HAPPY LABOR DAY	HERE'S 3 IMMORTAL ORBS TO CELEBRATE	1	giftChests	multiple	True	login	login
memorialDayLoginAchievement	MemorialDayLoginAchievement	HAPPY MEMORIAL DAY	HERE'S 3 CORE ORBS TO CELEBRATE	1	giftChests	multiple	True	login	login
midAugLoginAchievement	MidAugLoginAchievement	Thanks for playing Duelyst	Enjoy 3 Unearthed Prophecy Spirit Orbs on us for being a great community!	1	giftChests	multiple	True	login	login
midNov2017LoginAchievement	MidNov2017LoginAchievement	Immortal Vanguard Expansion Launch	Enjoy 3 Immortal Vanguard Spirit Orbs to kickstart your collection!	1	giftChests	multiple	True	login	login
newPlayerGoldLoginAchievement	NewPlayerGoldLoginAchievement	Welcome to Duelyst!	Use Gold to buy Spirit Orbs.	1	gold	2500	True	login	login
newPlayerSpiritLoginAchievement	NewPlayerSpiritLoginAchievement	Welcome to Duelyst!	Use Spirit to craft cards in the Collection menu.	1	spirit	50000	True	login	login
summerLoginAchievement	SummerLoginAchievement	SUMMER TIME CELEBRATION	HERE'S 3 UNEARTHED ORBS TO CELEBRATE	1	giftChests	multiple	True	login	login
thanksgivingLoginAchievement	ThanksgivingLoginAchievement	HAPPY THANKSGIVING	WE'RE THANKFUL TODAY FOR OUR LOVING FANS, SO WE'RE GIVING BACK WITH A SPECIAL GIFT	1	giftChests	multiple	True	login	login
mythron1	MythronOrb1Achievement	First Trial	You've opened 1 Mythron Orb, here's a brand new Mythron card. You'll get another after opening 10 more orbs.	1	mythronCard	1	True	spirit_orb	orb opening
mythron2	MythronOrb2Achievement	Second Trial	You've opened 11 Mythron Orbs, here's a brand new Mythron card. You'll get another after opening 10 more orbs.	11	mythronCard	1	True	spirit_orb	orb opening
mythron3	MythronOrb3Achievement	Third Trial	You've opened 21 Mythron Orbs, here's a brand new Mythron card. You'll get another after opening 10 more orbs.	21	mythronCard	1	True	spirit_orb	orb opening
mythron4	MythronOrb4Achievement	Fourth Trial	You've opened 31 Mythron Orbs, here's a brand new Mythron card. You'll get another after opening 10 more orbs.	31	mythronCard	1	True	spirit_orb	orb opening
mythron5	MythronOrb5Achievement	Fifth Trial	You've opened 41 Mythron Orbs, here's a brand new Mythron card. You'll get another after opening 10 more orbs.	41	mythronCard	1	True	spirit_orb	orb opening
mythron6	MythronOrb6Achievement	Sixth Trial	You've opened 51 Mythron Orbs, here's a brand new Mythron card. You'll get another after opening 10 more orbs.	51	mythronCard	1	True	spirit_orb	orb opening
mythron7	MythronOrb7Achievement	Seventh Trial	You've opened 61 Mythron Orbs, here's a brand new Mythron card.	61	mythronCard	1	True	spirit_orb	orb opening
epicQuestor	EpicQuestorAchievement	i18next:achievements.epic_questor_title	i18next:achievements.epic_questor_desc	5	neutralEpicCard	1	True	quest	quest
indominatableSpirit	IndomitableSpiritAchievement	i18next:achievements.indomitable_spirit_title	i18next:achievements.indomitable_spirit_desc	100	gold	100	True	quest	quest
journeymanQuestor	JourneymanQuestorAchievement	i18next:achievements.journeyman_questor_title	i18next:achievements.journeyman_questor_desc	1	neutralEpicCard	1	True	quest	quest
legendaryQuestor	LegendaryQuestorAchievement	i18next:achievements.legendary_questor_title	i18next:achievements.legendary_questor_desc	13	neutralLegendaryCard	1	True	quest	quest
silverDivisionAchievement	SilverDivisionAchievement	i18next:achievements.silver_division_title	i18next:achievements.silver_division_desc	1	spiritOrb	1	False	rank	rank
first_referral_purchase	FirstReferralPurchase	i18next:achievements.referral_title	i18next:achievements.referral_desc	1	cosmetics	multiple	True	referral	referral
wartechGeneralFaction1Achievement	WartechGeneralFaction1Achievement	i18next:factions.faction_1_abbreviated_name	i18next:factions.faction_1_abbreviated_name	10	cards	multiple	True	game	wartech
wartechGeneralFaction2Achievement	WartechGeneralFaction2Achievement	i18next:factions.faction_2_abbreviated_name	i18next:factions.faction_2_abbreviated_name	10	cards	multiple	True	game	wartech
wartechGeneralFaction3Achievement	WartechGeneralFaction3Achievement	i18next:factions.faction_3_abbreviated_name	i18next:factions.faction_3_abbreviated_name	10	cards	multiple	True	game	wartech
wartechGeneralFaction4Achievement	WartechGeneralFaction4Achievement	i18next:factions.faction_4_abbreviated_name	i18next:factions.faction_4_abbreviated_name	10	cards	multiple	True	game	wartech
wartechGeneralFaction5Achievement	WartechGeneralFaction5Achievement	i18next:factions.faction_5_abbreviated_name	i18next:factions.faction_5_abbreviated_name	10	cards	multiple	True	game	wartech
wartechGeneralFaction6Achievement	WartechGeneralFaction6Achievement	i18next:factions.faction_6_abbreviated_name	i18next:factions.faction_6_abbreviated_name	10	cards	multiple	True	game	wartech
