constant	value	category
CONFIG.FADE_SLOW_DURATION	CONFIG.ANIMATE_SLOW_DURATION	fade
CONFIG.FADE_TAG	1002	fade
CONFIG.GAME_BATTLE_NOTIFICATION_DURATION	5.0	duration
CONFIG.GAME_MAIN_NOTIFICATION_DURATION	3.0	duration
CONFIG.GAME_OVER_DELAY	0.5	delay
CONFIG.GAME_PLAYER_NOTIFICATION_DURATION	4.0	duration
CONFIG.GAME_TIP_DURATION	30	duration
CONFIG.GENERAL_CAST_END_DELAY	0.5	delay
CONFIG.GENERAL_CAST_START_DELAY	0.25	delay
CONFIG.GENERAL_FX_FADE_DURATION	CONFIG.FADE_FAST_DURATION	fade
CONFIG.GENERAL_SPEECH_DURATION	4.0	duration
CONFIG.HIGHLIGHT_GENERAL_TAUNT_DURATION	2.0	duration
CONFIG.HIGHLIGHT_MY_GENERAL_TAUNT_DELAY	0.5	delay
CONFIG.HIGHLIGHT_OPPONENT_GENERAL_TAUNT_DELAY	CONFIG.HIGHLIGHT_MY_GENERAL_TAUNT_DELAY + CONFIG.HIGHLIGHT_GENERAL_TAUNT_DURATION + 0.5	delay
CONFIG.HIGH_COST_SCREEN_FOCUS_DELAY	0.0	delay
CONFIG.HIGH_COST_SCREEN_FOCUS_IN_DURATION	0.1	duration
CONFIG.HIGH_COST_SCREEN_FOCUS_OUT_DURATION	0.5	duration
CONFIG.HIGH_COST_SCREEN_SHAKE_DURATION	1.0	duration
CONFIG.HIGH_DAMAGE_SCREEN_FOCUS_DELAY	0.0	delay
CONFIG.HIGH_DAMAGE_SCREEN_FOCUS_IN_DURATION	0.1	duration
CONFIG.HIGH_DAMAGE_SCREEN_FOCUS_OUT_DURATION	0.25	duration
CONFIG.HIGH_DAMAGE_SCREEN_SHAKE_DURATION	0.35	duration
CONFIG.INCOMING_MESSAGE_SFX_DELAY	5.0	delay
CONFIG.INSTRUCTIONAL_DEFAULT_DELAY	0.0	delay
CONFIG.INSTRUCTIONAL_DELAY_BEFORE_RESHOW	4.0	delay
CONFIG.INSTRUCTIONAL_DISMISSED_LOOP_DELAY	5.0	delay
CONFIG.INSTRUCTIONAL_LONG_DURATION	5.0	duration
CONFIG.INSTRUCTIONAL_MANUAL_DEFAULT_DELAY	0.25	delay
CONFIG.INSTRUCTIONAL_SHORT_DURATION	4.0	duration
CONFIG.INSTRUCTIONAL_ULTRAFAST_DURATION	2.5	duration
CONFIG.INTERACTION_SFX_BLOCKING_DURATION_THRESHOLD	0.5	duration
CONFIG.MOVE_ALT_COLOR	{ r: 255, g: 255, b: 255 }	movement
CONFIG.MOVE_COLOR	{ r: 240, g: 240, b: 240 }	movement
CONFIG.MOVE_FAST_DURATION	0.15	movement
CONFIG.MOVE_MEDIUM_DURATION	CONFIG.ANIMATE_MEDIUM_DURATION	movement
CONFIG.MOVE_OPPONENT_ALT_COLOR	{ r: 255, g: 255, b: 255 }	movement
CONFIG.MOVE_OPPONENT_COLOR	{ r: 240, g: 240, b: 240 }	movement
CONFIG.MOVE_PATTERN_STEP	[
  { x: -1, y: 0 },
  { x: 1, y: 0 },
  { x: 0, y: -1 },
  { x: 0, y: 1 },
]	movement
CONFIG.MOVE_SLOW_DURATION	CONFIG.ANIMATE_SLOW_DURATION	movement
CONFIG.MOVE_TAG	1003	movement
CONFIG.MUSIC_CROSSFADE_DURATION	0.5	fade
CONFIG.MY_PLAYED_CARD_SHOW_DURATION	1.0 + CONFIG.MY_PLAYED_CARD_TRANSITION_DURATION	duration
CONFIG.MY_PLAYED_CARD_TRANSITION_DURATION	0.5	duration
CONFIG.NEW_CARD_DURATION	1.5	duration
CONFIG.NOTIFICATION_DURATION	1.0	duration
CONFIG.NOTIFICATION_TRANSITION_DURATION	0.35	duration
CONFIG.OPPONENT_PLAYED_CARD_DELAY	CONFIG.OPPONENT_PLAYED_CARD_SHOW_DURATION + 1.0	delay
CONFIG.OPPONENT_PLAYED_CARD_SHOW_DURATION	1.0 + CONFIG.OPPONENT_PLAYED_CARD_TRANSITION_DURATION	duration
CONFIG.OPPONENT_PLAYED_CARD_TRANSITION_DURATION	1.0	duration
CONFIG.PARTICLE_SEQUENCE_DELAY	0.5	delay
CONFIG.PATH_FADE_DISTANCE	40.0	fade
CONFIG.PATH_MOVE_DURATION	1.5	movement
CONFIG.PLAYED_SPELL_FX_FADE_IN_DURATION	0.5	fade
CONFIG.PLAYED_SPELL_FX_FADE_OUT_DURATION	0.5	fade
CONFIG.POST_LOAD_DELAY	2	delay
CONFIG.PROMISE_TIMEOUT_UI_TRANSITION	5.0	unknown
CONFIG.PULSE_FAST_DURATION	CONFIG.ANIMATE_MEDIUM_DURATION	duration
CONFIG.PULSE_MEDIUM_DURATION	0.7	duration
CONFIG.PULSE_SLOW_DURATION	1.5	duration
CONFIG.QUEST_NOTIFICATION_DURATION	4	duration
CONFIG.QUEST_NOTIFICATION_FADE_DURATION	0.3	fade
CONFIG.RECONNECT_DELAY	1.0	delay
CONFIG.REMINDER_DELAY	0.25	delay
CONFIG.REPLAY_MAX_STEP_DELAY	5.0	delay
CONFIG.REPLAY_MAX_STEP_DELAY_STARTING_HAND	10.0	delay
CONFIG.REPLAY_PLAYED_CARD_DELAY	CONFIG.REPLAY_PLAYED_CARD_SHOW_DURATION + 1.0	delay
CONFIG.REPLAY_PLAYED_CARD_SHOW_DURATION	1.0 + CONFIG.REPLAY_PLAYED_CARD_TRANSITION_DURATION	duration
CONFIG.REPLAY_PLAYED_CARD_TRANSITION_DURATION	1.5	duration
CONFIG.REVEAL_HIDDEN_CARD_DELAY	CONFIG.REVEAL_HIDDEN_CARD_SHOW_DURATION + 1.0	delay
CONFIG.REVEAL_HIDDEN_CARD_SHOW_DURATION	2.0 + CONFIG.REVEAL_HIDDEN_CARD_TRANSITION_DURATION	duration
CONFIG.REVEAL_HIDDEN_CARD_TRANSITION_DURATION	1.0	duration
CONFIG.SFX_INTERACTION_DELAY	0.06	delay
CONFIG.SFX_MULTIPLIER_DURATION_THRESHOLD	0.35	duration
CONFIG.SHOW_MERGED_MOVE_ATTACK_TILES	false	attack
CONFIG.SHOW_PRISMATIC_CARD_SHINE_DELAY	4.0	delay
CONFIG.SIGNATURE_CARD_COOLDOWN_TIMER_BG_COLOR	{ r: 0.0, g: 0.0, b: 0.0 }	unknown
CONFIG.SIGNATURE_CARD_COOLDOWN_TIMER_BG_OPACITY	0.0	unknown
CONFIG.SIGNATURE_CARD_COOLDOWN_TIMER_COLOR	{ r: 0.0, g: 0.0, b: 0.0 }	unknown
CONFIG.SIGNATURE_CARD_COOLDOWN_TIMER_OPACITY	170.0	unknown
CONFIG.SPAWN_PATTERN_STEP	CONFIG.RANGE_PATTERN_STEP	unknown
CONFIG.SPEECH_DURATION	2.0	duration
CONFIG.SPEED_BASE	2	unknown
CONFIG.SPEED_FAST	3	unknown
CONFIG.SPEED_INFINITE	CONFIG.BOARDCOL + CONFIG.BOARDROW	unknown
CONFIG.STAGGER_FAST_DELAY	0.1	delay
CONFIG.STAGGER_MEDIUM_DELAY	0.15	delay
CONFIG.STAGGER_SLOW_DELAY	CONFIG.ANIMATE_MEDIUM_DURATION	delay
CONFIG.STARS_SEQUENCE_DELAY	0.5	delay
CONFIG.TILE_SELECT_FREEZE_ON_ATTACK_MOVE	false	attack
CONFIG.TURN_DELAY	0.0	delay
CONFIG.TURN_DURATION	90.0	duration
CONFIG.TURN_DURATION_INACTIVE	15.0	duration
CONFIG.TURN_DURATION_LATENCY_BUFFER	2.0	duration
CONFIG.TURN_TIME_SHOW	20.0	unknown
CONFIG.TUTORIAL_INSTRUCTION_FX_FADE_DURATION	CONFIG.FADE_MEDIUM_DURATION	fade
CONFIG.VIEW_TRANSITION_DURATION	0.3	duration
CONFIG.VOICE_CROSSFADE_DURATION	0.0	fade
CONFIG.VS_DELAY	4.0	delay
