unit_folder	event_type	sound_file
boss_decepticle	receiveDamage	sfx_neutral_wingsmechaz0r_hit
boss_decepticle	walk	sfx_unit_run_charge_4
boss_decepticlechassis	apply	sfx_ui_booster_packexplode
boss_decepticlechassis	attack	sfx_neutral_hailstonehowler_attack_swing
boss_decepticlechassis	attackDamage	sfx_neutral_hailstonehowler_impact
boss_decepticlechassis	death	sfx_neutral_hailstonehowler_death
boss_decepticlechassis	receiveDamage	sfx_neutral_hailstonehowler_hit
boss_decepticlechassis	walk	sfx_unit_run_charge_4
boss_decepticlehelm	apply	sfx_unit_deploy
boss_decepticlehelm	attack	sfx_neutral_sunseer_attack_swing
boss_decepticlehelm	attackDamage	sfx_neutral_sunseer_attack_impact
boss_decepticlehelm	death	sfx_neutral_sunseer_death
boss_decepticlehelm	receiveDamage	sfx_neutral_sunseer_hit
boss_decepticlehelm	walk	sfx_unit_run_charge_4
boss_decepticleprime	apply	sfx_summonlegendary
boss_decepticleprime	attack	sfx_neutral_wingsofparadise_attack_swing
boss_decepticleprime	attackDamage	sfx_f1_oserix_attack_impact
boss_decepticleprime	death	sfx_neutral_sunelemental_attack_swing
boss_decepticleprime	receiveDamage	sfx_f1_oserix_hit
boss_decepticleprime	walk	sfx_neutral_ladylocke_attack_impact
boss_decepticlesword	apply	sfx_unit_deploy_3
boss_decepticlesword	attack	sfx_neutral_swordmechaz0r_attack_swing
boss_decepticlesword	attackDamage	sfx_neutral_swordmechaz0r_attack_impact
boss_decepticlesword	death	sfx_neutral_swordmechaz0r_death
boss_decepticlesword	receiveDamage	sfx_neutral_swordmechaz0r_hit
boss_decepticlesword	walk	sfx_unit_run_charge_4
boss_decepticlewings	apply	sfx_unit_deploy_1
boss_decepticlewings	attack	sfx_neutral_wingsmechaz0r_attack_swing
boss_decepticlewings	attackDamage	sfx_neutral_wingsmechaz0r_impact
boss_decepticlewings	death	sfx_neutral_wingsmechaz0r_hit
boss_decepticlewings	receiveDamage	sfx_neutral_wingsmechaz0r_hit
boss_decepticlewings	walk	sfx_unit_run_charge_4
boss_dissonance	apply	sfx_spell_deathstrikeseal
boss_dissonance	attack	sfx_f2_jadeogre_attack_swing
boss_dissonance	attackDamage	sfx_f2_jadeogre_attack_impact
boss_dissonance	death	sfx_f2_jadeogre_death
boss_dissonance	receiveDamage	sfx_f2_jadeogre_hit
boss_dissonance	walk	sfx_unit_physical_4
boss_emp	apply	sfx_spell_immolation_b
boss_emp	attack	sfx_f1_ironcliffeguardian_attack_swing
boss_emp	attackDamage	sfx_f1_ironcliffeguardian_attack_impact
boss_emp	death	sfx_f1_ironcliffeguardian_death
boss_emp	receiveDamage	sfx_f1_ironcliffeguardian_hit
boss_emp	walk	sfx_unit_run_charge_4
boss_gol	apply	sfx_summonlegendary
boss_gol	attack	sfx_neutral_khymera_attack_swing
boss_gol	attackDamage	sfx_neutral_khymera_impact
boss_gol	death	sfx_neutral_khymera_death
boss_gol	receiveDamage	sfx_neutral_khymera_hit
boss_gol	walk	sfx_neutral_rook_hit
boss_grym	apply	sfx_screenshake
boss_grym	attack	sfx_neutral_earthwalker_attack_swing
boss_grym	attackDamage	sfx_neutral_earthwalker_attack_impact
boss_grym	death	sfx_neutral_earthwalker_death
boss_grym	receiveDamage	sfx_neutral_earthwalker_hit
boss_grym	walk	sfx_neutral_ladylocke_attack_impact
boss_harmony	apply	sfx_spell_deathstrikeseal
boss_harmony	attack	sfx_f2_jadeogre_attack_swing
boss_harmony	attackDamage	sfx_f2_jadeogre_attack_impact
boss_harmony	death	sfx_f2_jadeogre_death
boss_harmony	receiveDamage	sfx_f2_jadeogre_hit
boss_harmony	walk	sfx_unit_physical_4
boss_invader	apply	sfx_spell_ghostlightning
boss_invader	attack	sfx_neutral_makantorwarbeast_attack_swing
boss_invader	attackDamage	sfx_f6_boreanbear_attack_impact
boss_invader	death	sfx_f6_boreanbear_death
boss_invader	receiveDamage	sfx_f6_boreanbear_hit
boss_invader	walk	sfx_neutral_silitharveteran_death
boss_kane	apply	sfx_spell_immolation_b
boss_kane	attack	sfx_neutral_rook_attack_swing
boss_kane	attackDamage	sfx_neutral_rook_attack_impact
boss_kane	death	sfx_neutral_windstopper_death
boss_kane	receiveDamage	sfx_f2_kaidoassassin_hit
boss_kane	walk	sfx_neutral_arcanelimiter_attack_impact
boss_kron	apply	sfx_summonlegendary
boss_kron	attack	sfx_neutral_crossbones_attack_swing
boss_kron	attackDamage	sfx_neutral_mirkblooddevourer_attack_impact
boss_kron	death	sfx_neutral_mirkblooddevourer_death
boss_kron	receiveDamage	sfx_neutral_mirkblooddevourer_hit
boss_kron	walk	sfx_neutral_windstopper_attack_impact
boss_legion	apply	sfx_unit_deploy
boss_legion	attack	sfx_f4_engulfingshadow_attack_swing
boss_legion	attackDamage	sfx_f4_engulfingshadow_hit
boss_legion	death	sfx_f6_icebeetle_death
boss_legion	receiveDamage	sfx_f4_engulfingshadow_attack_impact
boss_legion	walk	sfx_neutral_ladylocke_attack_impact
boss_malyk	apply	sfx_unit_deploy
boss_malyk	attack	sfx_neutral_grimrock_attack_swing
boss_malyk	attackDamage	sfx_neutral_grimrock_attack_impact
boss_malyk	death	sfx_neutral_grimrock_death
boss_malyk	receiveDamage	sfx_neutral_grimrock_hit
boss_malyk	walk	sfx_neutral_ladylocke_attack_impact
boss_manaman	apply	sfx_ui_booster_packexplode
boss_manaman	attack	sfx_f4_blacksolus_attack_swing
boss_manaman	attackDamage	sfx_f4_blacksolus_attack_impact
boss_manaman	death	sfx_f4_blacksolus_death
boss_manaman	receiveDamage	sfx_f4_blacksolus_hit
boss_manaman	walk	sfx_neutral_ladylocke_attack_impact
boss_orias	apply	sfx_summonlegendary
boss_orias	attack	sfx_neutral_archonspellbinder_attack_swing
boss_orias	attackDamage	sfx_neutral_archonspellbinder_attack_impact
boss_orias	death	sfx_neutral_archonspellbinder_death
boss_orias	receiveDamage	sfx_neutral_archonspellbinder_hit
boss_orias	walk	sfx_neutral_ladylocke_attack_impact
boss_oriasidol	apply	sfx_spell_divineblood
boss_oriasidol	attack	sfx_neutral_spiritscribe_attack_swing
boss_oriasidol	attackDamage	sfx_neutral_spiritscribe_impact
boss_oriasidol	death	sfx_neutral_golembloodshard_death
boss_oriasidol	receiveDamage	sfx_neutral_spiritscribe_hit
boss_oriasidol	walk	sfx_neutral_ladylocke_attack_impact
boss_paragon	apply	sfx_ui_booster_packexplode
boss_paragon	attack	sfx_neutral_hailstonehowler_attack_swing
boss_paragon	attackDamage	sfx_neutral_hailstonehowler_impact
boss_paragon	death	sfx_neutral_hailstonehowler_death
boss_paragon	receiveDamage	sfx_neutral_hailstonehowler_hit
boss_paragon	walk	sfx_unit_run_charge_4
boss_protector	apply	sfx_spell_immolation_b
boss_protector	attack	sfx_f1_ironcliffeguardian_attack_swing
boss_protector	attackDamage	sfx_f1_ironcliffeguardian_attack_impact
boss_protector	death	sfx_f1_ironcliffeguardian_death
boss_protector	receiveDamage	sfx_f1_ironcliffeguardian_hit
boss_protector	walk	sfx_unit_run_charge_4
boss_sandpanther	apply	sfx_spell_ghostlightning
boss_sandpanther	attack	sfx_neutral_makantorwarbeast_attack_swing
boss_sandpanther	attackDamage	sfx_f6_boreanbear_attack_impact
boss_sandpanther	death	sfx_f6_boreanbear_death
boss_sandpanther	receiveDamage	sfx_f6_boreanbear_hit
boss_sandpanther	walk	sfx_neutral_silitharveteran_death
boss_serpenti	apply	sfx_unit_deploy
boss_serpenti	attack	sfx_neutral_serpenti_attack_swing
boss_serpenti	attackDamage	sfx_neutral_serpenti_attack_impact
boss_serpenti	death	sfx_neutral_serpenti_death
boss_serpenti	receiveDamage	sfx_neutral_serpenti_hit
boss_serpenti	walk	sfx_neutral_ladylocke_attack_impact
boss_shadowlord	apply	sfx_summonlegendary
boss_shadowlord	attack	sfx_f2_celestialphantom_attack_swing
boss_shadowlord	attackDamage	sfx_neutral_monsterdreamoracle_attack_impact
boss_shadowlord	death	sfx_neutral_monsterdreamoracle_death
boss_shadowlord	receiveDamage	sfx_neutral_monsterdreamoracle_hit
boss_shadowlord	walk	sfx_unit_run_magical_4
boss_shinkagezendo	apply	sfx_summonlegendary
boss_shinkagezendo	attack	sfx_spell_darkseed
boss_shinkagezendo	attackDamage	sfx_neutral_daggerkiri_attack_swing
boss_shinkagezendo	death	sfx_neutral_prophetofthewhite_death
boss_shinkagezendo	receiveDamage	sfx_f2_kaidoassassin_hit
boss_shinkagezendo	walk	sfx_unit_run_magical_3
boss_skurge	apply	sfx_ui_booster_packexplode
boss_skurge	attack	sfx_neutral_swornavenger_attack_swing
boss_skurge	attackDamage	sfx_neutral_swornavenger_attack_impact
boss_skurge	death	sfx_neutral_swornavenger_death
boss_skurge	receiveDamage	sfx_neutral_swornavenger_hit
boss_skurge	walk	sfx_neutral_ladylocke_attack_impact
boss_skyfalltyrant	apply	sfx_unit_deploy_2
boss_skyfalltyrant	attack	sfx_spell_blindscorch
boss_skyfalltyrant	attackDamage	sfx_f2_lanternfox_attack_impact
boss_skyfalltyrant	death	sfx_f6_draugarlord_death
boss_skyfalltyrant	receiveDamage	sfx_f2_jadeogre_hit
boss_skyfalltyrant	walk	sfx_neutral_ladylocke_attack_impact
boss_solfist	apply	sfx_spell_immolation_b
boss_solfist	attack	sfx_f1_ironcliffeguardian_attack_swing
boss_solfist	attackDamage	sfx_f1_ironcliffeguardian_attack_impact
boss_solfist	death	sfx_f1_ironcliffeguardian_death
boss_solfist	receiveDamage	sfx_f1_ironcliffeguardian_hit
boss_solfist	walk	sfx_unit_run_charge_4
boss_soulstealer	apply	sfx_spell_deathstrikeseal
boss_soulstealer	attack	sfx_f2_celestialphantom_attack_swing
boss_soulstealer	attackDamage	sfx_f2_celestialphantom_attack_impact
boss_soulstealer	death	sfx_f2_celestialphantom_death
boss_soulstealer	receiveDamage	sfx_f2_celestialphantom_hit
boss_soulstealer	walk	sfx_neutral_ladylocke_attack_impact
boss_spelleater	apply	sfx_spell_diretidefrenzy
boss_spelleater	attack	sfx_neutral_spiritscribe_attack_swing
boss_spelleater	attackDamage	sfx_neutral_spiritscribe_impact
boss_spelleater	death	sfx_neutral_spiritscribe_death
boss_spelleater	receiveDamage	sfx_neutral_spiritscribe_hit
boss_spelleater	walk	sfx_neutral_sai_attack_impact
boss_taskmaster	apply	sfx_spell_diretidefrenzy
boss_taskmaster	attack	sfx_neutral_spiritscribe_attack_swing
boss_taskmaster	attackDamage	sfx_neutral_spiritscribe_impact
boss_taskmaster	death	sfx_neutral_spiritscribe_death
boss_taskmaster	receiveDamage	sfx_neutral_spiritscribe_hit
boss_taskmaster	walk	sfx_neutral_ubo_attack_swing
boss_treatdemon	apply	sfx_spell_deathstrikeseal
boss_treatdemon	attack	sfx_f2_celestialphantom_attack_swing
boss_treatdemon	attackDamage	sfx_f2_celestialphantom_attack_impact
boss_treatdemon	death	sfx_f2_celestialphantom_death
boss_treatdemon	receiveDamage	sfx_f2_celestialphantom_hit
boss_treatdemon	walk	sfx_neutral_ladylocke_attack_impact
boss_treatdrake	apply	sfx_spell_deathstrikeseal
boss_treatdrake	attack	sfx_f2_celestialphantom_attack_swing
boss_treatdrake	attackDamage	sfx_f2_celestialphantom_attack_impact
boss_treatdrake	death	sfx_f2_celestialphantom_death
boss_treatdrake	receiveDamage	sfx_f2_celestialphantom_hit
boss_treatdrake	walk	sfx_neutral_ladylocke_attack_impact
boss_treatoni	apply	sfx_spell_deathstrikeseal
boss_treatoni	attack	sfx_f2_celestialphantom_attack_swing
boss_treatoni	attackDamage	sfx_f2_celestialphantom_attack_impact
boss_treatoni	death	sfx_f2_celestialphantom_death
boss_treatoni	receiveDamage	sfx_f2_celestialphantom_hit
boss_treatoni	walk	sfx_neutral_ladylocke_attack_impact
boss_umbra	apply	sfx_summonlegendary
boss_umbra	attack	sfx_neutral_mirkblooddevourer_attack_swing
boss_umbra	attackDamage	sfx_neutral_mirkblooddevourer_attack_impact
boss_umbra	death	sfx_neutral_mirkblooddevourer_death
boss_umbra	receiveDamage	sfx_neutral_mirkblooddevourer_hit
boss_umbra	walk	sfx_neutral_ladylocke_attack_impact
boss_unhallowed	apply	sfx_f4_blacksolus_attack_swing
boss_unhallowed	attack	sfx_f6_waterelemental_death
boss_unhallowed	attackDamage	sfx_f2_celestialphantom_attack_impact
boss_unhallowed	death	sfx_f1_elyxstormblade_death
boss_unhallowed	receiveDamage	sfx_f1_windbladecommander_hit
boss_unhallowed	walk	sfx_spell_icepillar_melt
boss_valiant	apply	sfx_ui_booster_packexplode
boss_valiant	attack	sfx_neutral_sunseer_attack_swing
boss_valiant	attackDamage	sfx_neutral_sunseer_attack_impact
boss_valiant	death	sfx_neutral_sunseer_death
boss_valiant	receiveDamage	sfx_neutral_sunseer_hit
boss_valiant	walk	sfx_neutral_ladylocke_attack_impact
boss_vampire	apply	sfx_neutral_prophetofthewhite_hit
boss_vampire	attack	sfx_neutral_firestarter_attack_swing
boss_vampire	attackDamage	sfx_neutral_firestarter_impact
boss_vampire	death	sfx_neutral_alcuinloremaster_death
boss_vampire	receiveDamage	sfx_neutral_firestarter_hit
boss_vampire	walk	sfx_neutral_firestarter_impact
boss_wolfpunch	apply	sfx_spell_immolation_b
boss_wolfpunch	attack	sfx_f1_silvermanevanguard_attack_swing
boss_wolfpunch	attackDamage	sfx_f1_silvermanevanguard_attack_impact
boss_wolfpunch	death	sfx_f1_silvermanevanguard_death
boss_wolfpunch	receiveDamage	sfx_f1_silvermanevanguard_hit
boss_wolfpunch	walk	sfx_neutral_ladylocke_attack_impact
boss_wraith	apply	sfx_f4_blacksolus_attack_swing
boss_wraith	attack	sfx_f6_waterelemental_death
boss_wraith	attackDamage	sfx_f2_celestialphantom_attack_impact
boss_wraith	death	sfx_f1_elyxstormblade_death
boss_wraith	receiveDamage	sfx_f1_windbladecommander_hit
boss_wraith	walk	sfx_spell_icepillar_melt
boss_wujin	apply	sfx_summonlegendary
boss_wujin	attack	sfx_neutral_firestarter_attack_swing
boss_wujin	attackDamage	sfx_neutral_prophetofthewhite_death
boss_wujin	death	sfx_neutral_daggerkiri_death
boss_wujin	receiveDamage	sfx_neutral_silitharveteran_hit
boss_wujin	walk	sfx_f1_oserix_death
critter_1	apply	sfx_spell_diretidefrenzy
critter_1	attack	sfx_f6_waterelemental_attack_swing
critter_1	attackDamage	sfx_neutral_fog_attack_impact
critter_1	death	sfx_neutral_fog_death
critter_1	receiveDamage	sfx_f6_waterelemental_hit
critter_1	walk	sfx_neutral_ladylocke_attack_impact
critter_2	apply	sfx_unit_deploy_3
critter_2	attack	sfx_neutral_beastphasehound_attack_swing
critter_2	attackDamage	sfx_neutral_beastphasehound_attack_impact
critter_2	death	sfx_neutral_beastphasehound_death
critter_2	receiveDamage	sfx_neutral_beastphasehound_hit
critter_2	walk	sfx_neutral_ladylocke_attack_impact
f1_3rdgeneral	apply	sfx_unit_deploy
f1_3rdgeneral	attack	sfx_f2_chakriavatar_attack_swing
f1_3rdgeneral	attackDamage	sfx_f6_draugarlord_attack_impact_
f1_3rdgeneral	death	sfx_f1general_death
f1_3rdgeneral	receiveDamage	sfx_f1_general_hit
f1_3rdgeneral	walk	sfx_unit_run_charge_4
f1_altgeneral	apply	sfx_unit_deploy
f1_altgeneral	attack	sfx_neutral_gambitgirl_attack_swing
f1_altgeneral	attackDamage	sfx_neutral_jaxtruesight_death
f1_altgeneral	death	sfx_neutral_pandora_death
f1_altgeneral	receiveDamage	sfx_f1_elyxstormblade_hit
f1_altgeneral	walk	sfx_neutral_ladylocke_attack_impact
f1_altgeneraltier2	apply	sfx_unit_deploy
f1_altgeneraltier2	attack	sfx_neutral_gambitgirl_attack_swing
f1_altgeneraltier2	attackDamage	sfx_neutral_jaxtruesight_death
f1_altgeneraltier2	death	sfx_neutral_pandora_death
f1_altgeneraltier2	receiveDamage	sfx_f1_elyxstormblade_hit
f1_altgeneraltier2	walk	sfx_neutral_ladylocke_attack_impact
f1_archdeacon	apply	sfx_unit_deploy_2
f1_archdeacon	attack	sfx_neutral_sunseer_attack_swing
f1_archdeacon	attackDamage	sfx_neutral_sunseer_attack_impact
f1_archdeacon	death	sfx_neutral_sunseer_death
f1_archdeacon	receiveDamage	sfx_neutral_sunseer_hit
f1_archdeacon	walk	sfx_unit_run_magical_4
f1_auroralioness	apply	sfx_spell_diretidefrenzy
f1_auroralioness	attack	sfx_neutral_spiritscribe_attack_swing
f1_auroralioness	attackDamage	sfx_neutral_spiritscribe_impact
f1_auroralioness	death	sfx_neutral_spiritscribe_death
f1_auroralioness	receiveDamage	sfx_neutral_spiritscribe_hit
f1_auroralioness	walk	sfx_neutral_ubo_attack_swing
f1_azuritelion	apply	sfx_spell_diretidefrenzy
f1_azuritelion	attack	sfx_neutral_beastsaberspinetiger_attack_swing
f1_azuritelion	attackDamage	sfx_neutral_beastsaberspinetiger_attack_impact
f1_azuritelion	death	sfx_neutral_beastsaberspinetiger_death
f1_azuritelion	receiveDamage	sfx_neutral_beastsaberspinetiger_hit
f1_azuritelion	walk	sfx_neutral_ladylocke_attack_impact
f1_baastchampion	apply	sfx_spell_immolation_b
f1_baastchampion	attack	sfx_neutral_rook_attack_swing
f1_baastchampion	attackDamage	sfx_neutral_rook_attack_impact
f1_baastchampion	death	sfx_neutral_windstopper_death
f1_baastchampion	receiveDamage	sfx_f2_kaidoassassin_hit
f1_baastchampion	walk	sfx_neutral_arcanelimiter_attack_impact
f1_backlinearcher	apply	sfx_unit_deploy_1
f1_backlinearcher	attack	sfx_f1_sunriser_attack_swing
f1_backlinearcher	attackDamage	sfx_neutral_swornavenger_attack_impact
f1_backlinearcher	death	sfx_f6_icedryad_death
f1_backlinearcher	receiveDamage	sfx_neutral_gambitgirl_hit
f1_backlinearcher	walk	sfx_neutral_ladylocke_attack_impact
f1_bromemk2	apply	sfx_unit_deploy
f1_bromemk2	attack	sfx_f1_general_attack_swing
f1_bromemk2	attackDamage	sfx_f6_draugarlord_attack_impact_
f1_bromemk2	death	sfx_f1general_death
f1_bromemk2	receiveDamage	sfx_f1_general_hit
f1_bromemk2	walk	sfx_neutral_ladylocke_attack_impact
f1_buildcommon	apply	sfx_spell_immolation_b
f1_buildcommon	attack	sfx_f1_silverguardsquire_attack_swing
f1_buildcommon	attackDamage	sfx_f1_silverguardsquire_attack_impact
f1_buildcommon	death	sfx_f1_silverguardsquire_death
f1_buildcommon	receiveDamage	sfx_f1_silverguardsquire_hit
f1_buildcommon	walk	sfx_neutral_ladylocke_attack_impact
f1_buildminion	apply	sfx_spell_divineblood
f1_buildminion	attack	sfx_neutral_spiritscribe_attack_swing
f1_buildminion	attackDamage	sfx_neutral_spiritscribe_impact
f1_buildminion	death	sfx_neutral_golembloodshard_death
f1_buildminion	receiveDamage	sfx_neutral_spiritscribe_hit
f1_buildminion	walk	sfx_neutral_ladylocke_attack_impact
f1_caliber-o	apply	sfx_summonlegendary
f1_caliber-o	attack	sfx_f6_draugarlord_attack_swing_
f1_caliber-o	attackDamage	sfx_neutral_chaoselemental_attack_impact
f1_caliber-o	death	sfx_spell_darkfiresacrifice
f1_caliber-o	receiveDamage	sfx_f6_draugarlord_hit
f1_caliber-o	walk	sfx_unit_physical_4
f1_caster	apply	sfx_spell_immolation_b
f1_caster	attack	sfx_spell_lastingjudgement
f1_caster	attackDamage	sfx_f1_silvermanevanguard_attack_impact
f1_caster	death	sfx_f1_silverguardsquire_death
f1_caster	receiveDamage	sfx_f1_silvermanevanguard_hit
f1_caster	walk	sfx_unit_run_charge_4
f1_elyxstormblade	apply	sfx_summonlegendary
f1_elyxstormblade	attack	sfx_f1_elyxstormblade_attack_swing
f1_elyxstormblade	attackDamage	sfx_f1_elyxstormblade_attack_impact
f1_elyxstormblade	death	sfx_f1_elyxstormblade_death
f1_elyxstormblade	receiveDamage	sfx_f1_elyxstormblade_hit
f1_elyxstormblade	walk	sfx_neutral_ladylocke_attack_impact
f1_elyxstormblademk2	apply	sfx_summonlegendary
f1_elyxstormblademk2	attack	sfx_f1_elyxstormblade_attack_swing
f1_elyxstormblademk2	attackDamage	sfx_f1_elyxstormblade_attack_impact
f1_elyxstormblademk2	death	sfx_f1_elyxstormblade_death
f1_elyxstormblademk2	receiveDamage	sfx_f1_elyxstormblade_hit
f1_elyxstormblademk2	walk	sfx_neutral_ladylocke_attack_impact
f1_excelsious	apply	sfx_spell_immolation_b
f1_excelsious	attack	sfx_f1_ironcliffeguardian_attack_swing
f1_excelsious	attackDamage	sfx_f1_ironcliffeguardian_attack_impact
f1_excelsious	death	sfx_f1_ironcliffeguardian_death
f1_excelsious	receiveDamage	sfx_f1_ironcliffeguardian_hit
f1_excelsious	walk	sfx_unit_run_charge_4
f1_fiz	apply	sfx_spell_diretidefrenzy
f1_fiz	attack	sfx_neutral_beastsaberspinetiger_attack_swing
f1_fiz	attackDamage	sfx_neutral_beastsaberspinetiger_attack_impact
f1_fiz	death	sfx_f6_draugarlord_death
f1_fiz	receiveDamage	sfx_neutral_beastsaberspinetiger_hit
f1_fiz	walk	sfx_f6_draugarlord_hit
f1_friendsguard	apply	sfx_unit_deploy_3
f1_friendsguard	attack	sfx_f5_vindicator_attack_impact
f1_friendsguard	attackDamage	sfx_neutral_grimrock_attack_impact
f1_friendsguard	death	sfx_neutral_grimrock_death
f1_friendsguard	receiveDamage	sfx_neutral_grimrock_hit
f1_friendsguard	walk	sfx_neutral_earthwalker_death
f1_general	apply	sfx_unit_deploy
f1_general	attack	sfx_f1_general_attack_swing
f1_general	attackDamage	sfx_f6_draugarlord_attack_impact_
f1_general	death	sfx_f1general_death
f1_general	receiveDamage	sfx_f1_general_hit
f1_general	walk	sfx_neutral_ladylocke_attack_impact
f1_general_skinroguelegacy	apply	sfx_unit_deploy
f1_general_skinroguelegacy	attack	sfx_f1_general_attack_swing
f1_general_skinroguelegacy	attackDamage	sfx_f6_draugarlord_attack_impact_
f1_general_skinroguelegacy	death	sfx_f1general_death
f1_general_skinroguelegacy	receiveDamage	sfx_f1_general_hit
f1_general_skinroguelegacy	walk	sfx_neutral_ladylocke_attack_impact
f1_grandmasterzir	apply	sfx_summonlegendary
f1_grandmasterzir	attack	sfx_f1_grandmasterzir_attack_swing
f1_grandmasterzir	attackDamage	sfx_f1_grandmasterzir_attack_impact
f1_grandmasterzir	death	sfx_f1_grandmasterzir_death
f1_grandmasterzir	receiveDamage	sfx_f1_grandmasterzir_hit
f1_grandmasterzir	walk	sfx_neutral_ladylocke_attack_impact
f1_groundbreaker	apply	sfx_summonlegendary
f1_groundbreaker	attack	sfx_neutral_khymera_attack_swing
f1_groundbreaker	attackDamage	sfx_neutral_khymera_impact
f1_groundbreaker	death	sfx_neutral_khymera_death
f1_groundbreaker	receiveDamage	sfx_neutral_khymera_hit
f1_groundbreaker	walk	sfx_neutral_rook_hit
f1_gryphinox	apply	sfx_neutral_ubo_attack_swing
f1_gryphinox	attack	sfx_neutral_wingsofparadise_attack_swing
f1_gryphinox	attackDamage	sfx_neutral_wingsofparadise_attack_impact
f1_gryphinox	death	sfx_neutral_wingsofparadise_death
f1_gryphinox	receiveDamage	sfx_neutral_wingsofparadise_hit
f1_gryphinox	walk	sfx_neutral_ubo_attack_swing
f1_invincibuddy	apply	sfx_spell_icepillar_melt
f1_invincibuddy	attack	sfx_neutral_pandora_attack_impact
f1_invincibuddy	attackDamage	sfx_neutral_makantorwarbeast_attack_impact
f1_invincibuddy	death	sfx_neutral_makantorwarbeast_death
f1_invincibuddy	receiveDamage	sfx_neutral_makantorwarbeast_hit
f1_invincibuddy	walk	sfx_neutral_primordialgazer_death
f1_ironcliffeguardian	apply	sfx_spell_immolation_b
f1_ironcliffeguardian	attack	sfx_f1_ironcliffeguardian_attack_swing
f1_ironcliffeguardian	attackDamage	sfx_f1_ironcliffeguardian_attack_impact
f1_ironcliffeguardian	death	sfx_f1_ironcliffeguardian_death
f1_ironcliffeguardian	receiveDamage	sfx_f1_ironcliffeguardian_hit
f1_ironcliffeguardian	walk	sfx_unit_run_charge_4
f1_ironcliffemonument	apply	sfx_spell_divineblood
f1_ironcliffemonument	attack	sfx_neutral_spiritscribe_attack_swing
f1_ironcliffemonument	attackDamage	sfx_neutral_spiritscribe_impact
f1_ironcliffemonument	death	sfx_neutral_golembloodshard_death
f1_ironcliffemonument	receiveDamage	sfx_neutral_spiritscribe_hit
